Abadzekhia                               | Animal    | Chordata                   | -33900000     | -28100000    | Abadzekhia
Abderites                                | Animal    | Chordata                   | -28400000     | -23030000    | <>
Abies                                    | Plant     | Pinophyta                  | -33900000     | -28100000    | Abies
Abra                                     | Animal    | Mollusca                   | -33900000     | -23030000    | Abra_(bivalve)
Abyssocypris                             | Animal    | Arthropoda                 | -33900000     | -28100000    | <>
Acacia                                   | Plant     | Spermatophyta              | -33900000     | -23030000    | Acacia
Acaena                                   | Plant     | Spermatophyta              | -28400000     | -11608000    | Acaena
Acalles                                  | Animal    | Arthropoda                 | -28400000     | -23030000    | Acalles
Acamana                                  | Animal    | Chordata                   | -29000000     | -21000000    | <>
Acamptogenotia                           | Animal    | Mollusca                   | -33900000     | -28100000    | Acamptogenotia
Acanthatrigla                            | Animal    | Chordata                   | -33900000     | -28100000    | <>
Acanthina                                | Animal    | Mollusca                   | -28400000     | -23030000    | Acanthina
Acanthocarpus                            | Animal    | Arthropoda                 | -33900000     | -28100000    | Acanthocarpus_(crab)
Acanthocella                             | Animal    | Bryozoa                    | -33900000     | -5333000     | <>
Acanthodesia                             | Animal    | Bryozoa                    | -33900000     | -23030000    | <>
Acanthogalathea                          | Animal    | Arthropoda                 | -56000000     | -23030000    | Acanthogalathea
Acanthognathus Syngnathidae              | Animal    | Chordata                   | -33900000     | -28400000    | <>
Acanthosoma                              | Animal    | Arthropoda                 | -33900000     | -28400000    | Acanthosoma
Acarechimys                              | Animal    | Chordata                   | -29000000     | -21000000    | <>
Acar                                     | Animal    | Mollusca                   | -33900000     | -28100000    | Acar
Acdestodon                               | Animal    | Chordata                   | -29000000     | -21000000    | <>
Acdestoides                              | Animal    | Chordata                   | -29000000     | -21000000    | <>
Aceratherium                             | Animal    | Chordata                   | -28400000     | -23030000    | Aceratherium
Acericecis                               | Animal    | Arthropoda                 | -33900000     | -28400000    | Acericecis
Acerinucleus                             | Animal    | Bryozoa                    | -33900000     | -5333000     | <>
Acer                                     | Plant     | Spermatophyta              | -28400000     | -15970000    | Acer
Acesta                                   | Animal    | Mollusca                   | -28400000     | -23030000    | Acesta
Acharax                                  | Animal    | Mollusca                   | -28400000     | -23030000    | <>
Acheronictis                             | Animal    | Chordata                   | -30800000     | -20430000    | <>
Acila                                    | Animal    | Mollusca                   | -28400000     | -15970000    | Acila
Acipenser                                | Animal    | Chordata                   | -28400000     | -23030000    | Acipenser
Aciprion                                 | Animal    | Chordata                   | -33900000     | -33300000    | <>
Aclis                                    | Animal    | Mollusca                   | -33900000     | -28100000    | Aclis
Acmaea                                   | Animal    | Mollusca                   | -33900000     | -28100000    | Acmaea
Acmena                                   | Plant     | Spermatophyta              | -33900000     | -15970000    | Acmena
Acmopyle                                 | Plant     | Coniferophyta              | -33900000     | -28400000    | Acmopyle
Acotherulum                              | Animal    | Chordata                   | -33900000     | -28400000    | <>
Acrocyon                                 | Animal    | Chordata                   | -48600000     | -15970000    | <>
Acronychia                               | Plant     | Spermatophyta              | -33900000     | -15970000    | Acronychia
Acropora                                 | Animal    | Cnidaria                   | -28400000     | -23030000    | Acropora
Acrosmilia                               | Animal    | Cnidaria                   | -33900000     | -28100000    | <>
Acsmithia                                | Plant     | Spermatophyta              | -33900000     | -28400000    | Acsmithia
Actaeites                                | Animal    | Arthropoda                 | -33900000     | -28100000    | <>
Acteocina                                | Animal    | Mollusca                   | -33900000     | -23030000    | Acteocina
Acteon                                   | Animal    | Mollusca                   | -28400000     | -23030000    | Acteon
Actinacis                                | Animal    | Cnidaria                   | -28400000     | -23030000    | <>
Actinocythereis                          | Animal    | Arthropoda                 | -28400000     | -23030000    | <>
Acutostrea                               | Animal    | Mollusca                   | -33900000     | -23030000    | <>
Adekunbiella                             | Animal    | Pogonophora                | -33900000     | -28100000    | <>
Adelalopus                               | Animal    | Chordata                   | -33900000     | -28400000    | <>
Adelomelon                               | Animal    | Mollusca                   | -37200000     | -11608000    | Adelomelon
Adelomyarion                             | Animal    | Chordata                   | -28400000     | -23030000    | <>
Adelpharctos                             | Animal    | Chordata                   | -28400000     | -23030000    | <>
Adeona                                   | Animal    | Bryozoa                    | -33900000     | -5333000     | Adeona
Adeonellopsis                            | Animal    | Bryozoa                    | -33900000     | -28100000    | <>
Adiantum                                 | Plant     | Pteridophyta               | -33900000     | -5333000     | Adiantum
Adilophontes                             | Animal    | Chordata                   | -30800000     | -20430000    | Adilophontes
Adjidaumo                                | Animal    | Chordata                   | -33300000     | -30800000    | <>
Admete                                   | Animal    | Mollusca                   | -33900000     | -28400000    | <>
Admetula                                 | Animal    | Mollusca                   | -38000000     | -28100000    | Admetula
Adocus                                   | Animal    | Chordata                   | -33900000     | -28400000    | Adocus
Adrana                                   | Animal    | Mollusca                   | -28400000     | -23030000    | Adrana
Aechmella                                | Animal    | Bryozoa                    | -33900000     | -5333000     | <>
Aegyptopithecus                          | Animal    | Chordata                   | -33900000     | -28100000    | Aegyptopithecus
Aeneator                                 | Animal    | Mollusca                   | -28400000     | -23030000    | <>
Aeoliscus                                | Animal    | Chordata                   | -33900000     | -28100000    | Aeoliscus
Aeolothrips                              | Animal    | Arthropoda                 | -33900000     | -28100000    | Aeolothrips
Aepinacodon                              | Animal    | Chordata                   | -33900000     | -33300000    | <>
Aequipecten                              | Animal    | Mollusca                   | -28400000     | -23030000    | Aequipecten
Aeshna                                   | Animal    | Arthropoda                 | -28400000     | -23030000    | Aeshna
Aetiocetus                               | Animal    | Chordata                   | -33900000     | -28100000    | Aetiocetus
Aetomylaeus                              | Animal    | Chordata                   | -33900000     | -28100000    | Aetomylaeus
Aforia                                   | Animal    | Mollusca                   | -33900000     | -28100000    | Aforia
Aframonius                               | Animal    | Chordata                   | -33900000     | -28100000    | Aframonius
Africtis                                 | Animal    | Chordata                   | -33900000     | -28400000    | <>
Afrohyrax                                | Animal    | Chordata                   | -28400000     | -23030000    | <>
Afrotarsius                              | Animal    | Chordata                   | -33900000     | -28100000    | Afrotarsius
Agabus                                   | Animal    | Arthropoda                 | -28400000     | -23030000    | <>
Agapilia                                 | Animal    | Mollusca                   | -28400000     | -23030000    | <>
Agaricia                                 | Animal    | Cnidaria                   | -28400000     | -23030000    | Agaricia
Agaronia                                 | Animal    | Mollusca                   | -28400000     | -23030000    | Agaronia
Agassizia                                | Animal    | Echinodermata              | -33900000     | -23030000    | Agassizia
