Abajudon                                 | Animal    | Chordata                   | -298900000    | -252170000   | <>
Acaciapora                               | Animal    | Cnidaria                   | -296400000    | -268000000   | <>
Acanthocladia                            | Animal    | Bryozoa                    | -295500000    | -279300000   | <>
Acanthocrania                            | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Acanthodes                               | Animal    | Chordata                   | -295500000    | -290100000   | Acanthodes
Acanthopecten                            | Animal    | Mollusca                   | -295500000    | -290100000   | <>
Acanthoscapha                            | Animal    | Arthropoda                 | -295500000    | -290100000   | <>
Acanthostomatops                         | Animal    | Chordata                   | -295500000    | -290100000   | Acanthostomatops
Acanthotriletes                          | Plant     | Lycophyta                  | -298900000    | -252170000   | <>
Acervoschwagerina                        | Micro     | Foraminifera               | -295500000    | -290100000   | <>
Acharax                                  | Animal    | Mollusca                   | -295500000    | -290100000   | <>
Acheloma                                 | Animal    | Chordata                   | -296400000    | -268000000   | Acheloma
Achlamydocarpon                          | Plant     | Lycophyta                  | -298900000    | -290100000   | <>
Acolosia                                 | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Acosarina                                | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Acratia                                  | Animal    | Arthropoda                 | -295500000    | -290100000   | <>
Acritosia                                | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Acroplous                                | Animal    | Chordata                   | -295500000    | -290100000   | Acroplous
Acteonina                                | Animal    | Mollusca                   | -296400000    | -268000000   | <>
Actinoconchus                            | Animal    | Brachiopoda                | -295500000    | -290100000   | Actinoconchus
Actinocrinites                           | Animal    | Echinodermata              | -295500000    | -290100000   | Actinocrinites
Actinodon                                | Animal    | Chordata                   | -298900000    | -290100000   | Actinodon
Adetognathus                             | Animal    | Chordata                   | -298900000    | -290100000   | <>
Adlatipora                               | Animal    | Bryozoa                    | -295500000    | -290100000   | <>
Adrianites                               | Animal    | Mollusca                   | -295500000    | -279300000   | Adrianites
Advenella                                | Micro     | Foraminifera               | -295500000    | -290100000   | Advenella
Aechmina                                 | Animal    | Arthropoda                 | -295500000    | -290100000   | <>
Aeduella                                 | Animal    | Chordata                   | -295500000    | -290100000   | Aeduella
Aeolisaccus                              | Micro     | Foraminifera               | -298900000    | -252170000   | <>
Aerosaurus                               | Animal    | Chordata                   | -303400000    | -268000000   | Aerosaurus
Aesiocrinus                              | Animal    | Echinodermata              | -318100000    | -268000000   | <>
Agassizodus                              | Animal    | Chordata                   | -295500000    | -290100000   | Agassizodus
Agathammina                              | Micro     | Foraminifera               | -298900000    | -2.599e+08   | <>
Agathiceras                              | Animal    | Mollusca                   | -295500000    | -279300000   | Agathiceras
Akatchania                               | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Akmilleria                               | Animal    | Mollusca                   | -295500000    | -290100000   | <>
Albaillella                              | Micro     | Radiolaria                 | -295500000    | -290100000   | <>
Alexenia                                 | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Alienus                                  | Animal    | Arthropoda                 | -298900000    | -290100000   | Alienus
Alispiriferella                          | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Alisporites                              | Plant     | Gymnospermophyta           | -296400000    | -290100000   | <>
Allorisma                                | Animal    | Mollusca                   | -295500000    | -290100000   | <>
Almites                                  | Animal    | Mollusca                   | -295500000    | -290100000   | Almites
Alpavlia                                 | Animal    | Brachiopoda                | -295500000    | -279300000   | <>
Alphachoristites                         | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Alphaneospirifer                         | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Alternifenestella                        | Animal    | Bryozoa                    | -295500000    | -279300000   | <>
Altiplecus                               | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Amandophyllum                            | Animal    | Cnidaria                   | -295500000    | -290100000   | <>
Ambedus                                  | Animal    | Chordata                   | -295500000    | -290100000   | Ambedus
Ambikella                                | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Amblypterus                              | Animal    | Chordata                   | -298900000    | -272300000   | Amblypterus
Ambocoelia                               | Animal    | Brachiopoda                | -298900000    | -252170000   | <>
Ammobaculites                            | Micro     | Foraminifera               | -295500000    | -290100000   | <>
Ammodiscus                               | Micro     | Foraminifera               | -295500000    | -290100000   | Ammodiscus
Ammovertella                             | Micro     | Foraminifera               | -295500000    | -290100000   | <>
Amphisauropus                            | Animal    | Chordata                   | -298900000    | -254000000   | <>
Amphiscapha                              | Animal    | Mollusca                   | -295500000    | -290100000   | Amphiscapha
Amphissites                              | Animal    | Arthropoda                 | -295500000    | -290100000   | <>
Amphoratheca                             | Micro     | Foraminifera               | -295500000    | -290100000   | <>
Amplexocarinia                           | Animal    | Cnidaria                   | -295500000    | -290100000   | <>
Amplexus                                 | Animal    | Cnidaria                   | -295500000    | -279300000   | Amplexus
Ananias                                  | Animal    | Mollusca                   | -298900000    | -290100000   | Ananias
Anchicodium                              | Plant     | Chlorophyta                | -298900000    | -252170000   | <>
Anderssonites                            | Micro     | Foraminifera               | -295500000    | -290100000   | <>
Andrianovia                              | Animal    | Mollusca                   | -295500000    | -290100000   | <>
Anematina                                | Animal    | Mollusca                   | -295500000    | -290100000   | <>
Anemonaria                               | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Angaridium                               | Plant     | Peltaspermophyta           | -298900000    | -290100000   | <>
Angarocarpus                             | Plant     | Ginkgophyta                | -298900000    | -272300000   | <>
Angaropteridium                          | Plant     | Peltaspermophyta           | -295500000    | -279300000   | <>
Angioblastus                             | Animal    | Echinodermata              | -298900000    | -272300000   | <>
Anidanthus                               | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Anisotrypella                            | Animal    | Bryozoa                    | -295500000    | -290100000   | <>
Annularia                                | Plant     | Sphenophyta                | -295500000    | -272300000   | Annularia
Annuliconcha                             | Animal    | Mollusca                   | -298900000    | -290100000   | <>
Anomphalus                               | Animal    | Mollusca                   | -295500000    | -290100000   | Anomphalus
Anteridocus                              | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Anthracoblattina                         | Animal    | Arthropoda                 | -295500000    | -290100000   | <>
Anthraconeilo                            | Animal    | Mollusca                   | -295500000    | -290100000   | <>
Anthracoporella                          | Plant     | Chlorophyta                | -298900000    | -290100000   | <>
Antiquatonia                             | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Antronaria                               | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Apachella                                | Animal    | Mollusca                   | -295500000    | -290100000   | <>
Apateon                                  | Animal    | Chordata                   | -295500000    | -290100000   | Apateon
Aphanaia                                 | Animal    | Mollusca                   | -295500000    | -290100000   | <>
Aphelaeceras                             | Animal    | Mollusca                   | -295500000    | -290100000   | Aphelaeceras
Apiculatisporites                        | Plant     | Pteridophyta               | -298900000    | -252170000   | <>
Apographiocrinus                         | Animal    | Echinodermata              | -295500000    | -290100000   | <>
Apsisaurus                               | Animal    | Chordata                   | -296400000    | -268000000   | Apsisaurus
Apterrinella                             | Micro     | Foraminifera               | -296400000    | -268000000   | <>
Arachnolasma                             | Animal    | Cnidaria                   | -295500000    | -290100000   | <>
Araucarioxylon                           | Plant     | Pinophyta                  | -295500000    | -272300000   | Araucarioxylon
Araucarites                              | Plant     | Pinophyta                  | -295500000    | -272300000   | <>
Araxathyris                              | Animal    | Brachiopoda                | -298900000    | -252170000   | <>
Arceodomus                               | Animal    | Mollusca                   | -296400000    | -268000000   | <>
Archaeocycas                             | Plant     | Cycadophyta                | -295500000    | -272300000   | <>
Archaeolithophyllum                      | Plant     | Rhodophyta                 | -296400000    | -268000000   | Archaeolithophyllum
Archaeophiomusium                        | Animal    | Echinodermata              | -295500000    | -290100000   | <>
Archboldina                              | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Archegosaurus                            | Animal    | Chordata                   | -295500000    | -290100000   | Archegosaurus
Archeria                                 | Animal    | Chordata                   | -295500000    | -279300000   | Archeria
Archimedes                               | Animal    | Bryozoa                    | -295500000    | -290100000   | Archimedes
Archiulus                                | Animal    | Arthropoda                 | -298900000    | -290100000   | <>
Arcochiton                               | Animal    | Mollusca                   | -296400000    | -268000000   | <>
Arctitreta                               | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Arctophyllum                             | Animal    | Cnidaria                   | -295500000    | -290100000   | <>
Arcullina                                | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Ariekanerpeton                           | Animal    | Chordata                   | -298900000    | -254000000   | Ariekanerpeton
Aristoceras                              | Animal    | Mollusca                   | -295500000    | -290100000   | Aristoceras
Armenina                                 | Micro     | Foraminifera               | -298900000    | -2.599e+08   | <>
Arribazona                               | Animal    | Mollusca                   | -295500000    | -290100000   | <>
Arthropitys                              | Plant     | Sphenophyta                | -298900000    | -272300000   | Arthropitys
Arthropleura                             | Animal    | Arthropoda                 | -298900000    | -290100000   | Arthropleura
Arthroxylon                              | Plant     | Equisetophyta              | -298900000    | -290100000   | <>
Artinskia                                | Animal    | Mollusca                   | -295500000    | -279300000   | <>
Ascendonanus                             | Animal    | Chordata                   | -295500000    | -279300000   | Ascendonanus
Ascopora                                 | Animal    | Bryozoa                    | -295500000    | -290100000   | <>
Ascoporella                              | Animal    | Bryozoa                    | -295500000    | -290100000   | <>
Asketochiton                             | Animal    | Mollusca                   | -298900000    | -252170000   | <>
Aspidosaurus                             | Animal    | Chordata                   | -303400000    | -268000000   | Aspidosaurus
Astartella                               | Animal    | Mollusca                   | -295500000    | -290100000   | <>
Astartila                                | Animal    | Mollusca                   | -295500000    | -290100000   | <>
Astegosia                                | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Asterophyllites                          | Plant     | Sphenophyta                | -298900000    | -254000000   | <>
Asterotheca                              | Plant     | Pteridophyta               | -295500000    | -290100000   | Asterotheca
Astromyelon                              | Plant     | Equisetophyta              | -298900000    | -290100000   | <>
Atahococeras                             | Animal    | Mollusca                   | -295500000    | -290100000   | <>
Athyris                                  | Animal    | Brachiopoda                | -295500000    | -290100000   | Athyris
Atomodesma                               | Animal    | Mollusca                   | -295500000    | -290100000   | <>
Atsabites                                | Animal    | Mollusca                   | -295500000    | -279300000   | Atsabites
Attenuatella                             | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Aulophyllum                              | Animal    | Cnidaria                   | -296400000    | -268000000   | <>
Aulosteges                               | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Auriculispina                            | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Aurikirkbya                              | Animal    | Arthropoda                 | -295500000    | -290100000   | <>
Australomya                              | Animal    | Mollusca                   | -295500000    | -290100000   | <>
Autunia                                  | Plant     | Peltaspermophyta           | -298900000    | -290100000   | <>
Aviculopecten                            | Animal    | Mollusca                   | -295500000    | -290100000   | Aviculopecten
Aviculopinna                             | Animal    | Mollusca                   | -295500000    | -290100000   | <>
Avonia                                   | Animal    | Brachiopoda                | -295500000    | -290100000   | Avonia
Bactrites                                | Animal    | Mollusca                   | -295500000    | -290100000   | <>
Baculatisporites                         | Plant     | Pteridophyta               | -298900000    | -252170000   | <>
Baiera                                   | Plant     | Ginkgophyta                | -295500000    | -279300000   | Baiera
