Abludoglyptocrinus                       | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Abrograptus                              | Animal    | Hemichordata               | -466000000    | -449500000   | <>
Acanthambonia                            | Animal    | Brachiopoda                | -455800000    | -445600000   | <>
Acanthobolbina                           | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Acanthocordylodus                        | Animal    | Chordata                   | -458400000    | -445200000   | <>
Acanthocrania                            | Animal    | Brachiopoda                | -455800000    | -445600000   | <>
Acanthodina                              | Animal    | Chordata                   | -455800000    | -445600000   | <>
Acanthodus                               | Animal    | Chordata                   | -455800000    | -445600000   | Acanthodus
Acanthograptus                           | Animal    | Hemichordata               | -460900000    | -449500000   | <>
Acantholaminatus                         | Animal    | Bryozoa                    | -460900000    | -449500000   | <>
Acanthoparypha                           | Animal    | Arthropoda                 | -457500000    | -455800000   | <>
Acanthoscapha                            | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Acculina                                 | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Acdalopora                               | Animal    | Cnidaria                   | -455800000    | -445600000   | <>
Achatella                                | Animal    | Arthropoda                 | -460900000    | -443700000   | Achatella
Achradocystites                          | Animal    | Echinodermata              | -457500000    | -449500000   | <>
Acidaspis                                | Animal    | Arthropoda                 | -455800000    | -443400000   | Acidaspis
Acidiphorus                              | Animal    | Arthropoda                 | -457500000    | -455800000   | <>
Acidolites                               | Animal    | Cnidaria                   | -456100000    | -449500000   | <>
Acodus                                   | Animal    | Chordata                   | -455800000    | -445600000   | Acodus
Acolocrinus                              | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Acrosaccus                               | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Acrothele                                | Animal    | Brachiopoda                | -457500000    | -452000000   | <>
Acrotreta                                | Animal    | Brachiopoda                | -455800000    | -443700000   | <>
Acrotretella                             | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Actinoceras                              | Animal    | Mollusca                   | -458400000    | -443400000   | Actinoceras
Actinochilina                            | Animal    | Arthropoda                 | -457500000    | -452000000   | <>
Actinodiscus                             | Animal    | Echinodermata              | -455800000    | -445600000   | Actinodiscus
