Abavornis                                | Animal    | Chordata                   | -100500000    | -66000000    | Abavornis
Abdarainurus                             | Animal    | Chordata                   | -86300000     | -72100000    | Abdarainurus
Acaeniotyle                              | Micro     | Radiolaria                 | -85800000     | -83500000    | <>
Acanthichthys                            | Animal    | Chordata                   | -145000000    | -66000000    | <>
Acanthocardia                            | Animal    | Mollusca                   | -89800000     | -83600000    | Acanthocardia
Acanthochirana                           | Animal    | Arthropoda                 | -145000000    | -66000000    | Acanthochirana
Acanthocircus                            | Micro     | Radiolaria                 | -85800000     | -83500000    | <>
Acanthodiaulax                           | Animal    | Arthropoda                 | -86300000     | -83600000    | <>
Acanthoscyllium                          | Animal    | Chordata                   | -85800000     | -83500000    | <>
Acanthoxenophora                         | Animal    | Mollusca                   | -85800000     | -83500000    | <>
Acastea                                  | Micro     | Radiolaria                 | -89800000     | -83600000    | <>
Accordiella                              | Micro     | Foraminifera               | -86300000     | -72100000    | <>
Achillesaurus                            | Animal    | Chordata                   | -86300000     | -83600000    | Achillesaurus
Achillobator                             | Animal    | Chordata                   | -100500000    | -83600000    | Achillobator
Acicularia                               | Plant     | Chlorophyta                | -86300000     | -83600000    | Acicularia
Acila                                    | Animal    | Mollusca                   | -86300000     | -83600000    | Acila
Acirsa                                   | Animal    | Mollusca                   | -85800000     | -83500000    | Acirsa
Aclistochara                             | Plant     | Charophyta                 | -100500000    | -66000000    | <>
Acmaea                                   | Animal    | Mollusca                   | -86300000     | -83600000    | Acmaea
Acmopyle                                 | Plant     | Coniferophyta              | -100500000    | -55800000    | Acmopyle
Acrosmilia                               | Animal    | Cnidaria                   | -85800000     | -72100000    | <>
Acrotemnus                               | Animal    | Chordata                   | -100500000    | -66000000    | Acrotemnus
Acrotholus                               | Animal    | Chordata                   | -85800000     | -83500000    | Acrotholus
Acteonella                               | Animal    | Mollusca                   | -85800000     | -83500000    | Acteonella
Actinacis                                | Animal    | Cnidaria                   | -100500000    | -66000000    | <>
Actinaraea                               | Animal    | Cnidaria                   | -89300000     | -85800000    | <>
Actinastrea                              | Animal    | Cnidaria                   | -100500000    | -83600000    | <>
Actinocamax                              | Animal    | Mollusca                   | -100500000    | -66000000    | Actinocamax
Actinomma                                | Micro     | Radiolaria                 | -86300000     | -70600000    | <>
Actinopora                               | Animal    | Bryozoa                    | -85800000     | -83500000    | Actinopora
Actinostromarianina                      | Animal    | Porifera                   | -86300000     | -83600000    | <>
Adelocoenia                              | Animal    | Cnidaria                   | -86300000     | -72100000    | <>
Adelodonax                               | Animal    | Mollusca                   | -85800000     | -83500000    | <>
Adelohelea                               | Animal    | Arthropoda                 | -89800000     | -83600000    | <>
Adnetoscyllium                           | Animal    | Chordata                   | -85800000     | -83500000    | Adnetoscyllium
Adocus                                   | Animal    | Chordata                   | -100500000    | -83600000    | Adocus
Aeger                                    | Animal    | Arthropoda                 | -145000000    | -66000000    | Aeger
Aegyptosuchus                            | Animal    | Chordata                   | -100500000    | -66000000    | Aegyptosuchus
Aeolisaccus                              | Micro     | Foraminifera               | -85800000     | -72100000    | <>
Aequipecten                              | Animal    | Mollusca                   | -85800000     | -83500000    | Aequipecten
Aequitriradites                          | Plant     | Bryophyta                  | -86300000     | -72100000    | <>
Aethocephalichthys                       | Animal    | Chordata                   | -85800000     | -83500000    | <>
Afraster                                 | Animal    | Echinodermata              | -89300000     | -85800000    | <>
Afrocypraea                              | Animal    | Mollusca                   | -86300000     | -83600000    | <>
Afropollis                               | Plant     | Angiospermae               | -89800000     | -83600000    | <>
