Aaptoryctes                              | Animal    | Chordata                   | -61700000     | -56800000    | <>
Aatotomus                                | Animal    | Chordata                   | -61700000     | -56800000    | <>
Abderospira                              | Animal    | Mollusca                   | -61600000     | -59200000    | <>
Abdounia                                 | Animal    | Chordata                   | -61600000     | -56000000    | Abdounia
Abdounodus                               | Animal    | Chordata                   | -61600000     | -59200000    | Abdounodus
Acanthocardia                            | Animal    | Mollusca                   | -66000000     | -59200000    | Acanthocardia
Acanthodiscus Centrales                  | Plant     | Ochrophyta                 | -66000000     | -56000000    | <>
Acar                                     | Animal    | Mollusca                   | -66000000     | -56000000    | Acar
Acer                                     | Plant     | Spermatophyta              | -66000000     | -2588000     | Acer
Acervulina                               | Micro     | Foraminifera               | -66000000     | -56000000    | <>
Acesta                                   | Animal    | Mollusca                   | -61600000     | -47800000    | Acesta
Acheronodon                              | Animal    | Chordata                   | -61700000     | -56800000    | Acheronodon
Acherontisuchus                          | Animal    | Chordata                   | -61700000     | -55800000    | Acherontisuchus
Acicularia                               | Plant     | Chlorophyta                | -61600000     | -56000000    | Acicularia
Aciculella                               | Plant     | Chlorophyta                | -66000000     | -56000000    | <>
Acila                                    | Animal    | Mollusca                   | -66000000     | -56000000    | Acila
Acipenser                                | Animal    | Chordata                   | -61700000     | -56800000    | Acipenser
Acleistochelys                           | Animal    | Chordata                   | -61700000     | -55800000    | <>
Acmaea                                   | Animal    | Mollusca                   | -61600000     | -59200000    | Acmaea
Acmeodon                                 | Animal    | Chordata                   | -61700000     | -56800000    | <>
Acmopyle                                 | Plant     | Coniferophyta              | -100500000    | -55800000    | Acmopyle
Acrilla                                  | Animal    | Mollusca                   | -61600000     | -59200000    | <>
Acrocoelum                               | Animal    | Mollusca                   | -61600000     | -59200000    | <>
Acropoma                                 | Animal    | Chordata                   | -61600000     | -59200000    | Acropoma
Acroporella                              | Plant     | Chlorophyta                | -61600000     | -56000000    | <>
Acrosmilia                               | Animal    | Cnidaria                   | -61600000     | -56000000    | <>
Acrostichum                              | Plant     | Pteridophyta               | -61700000     | -55800000    | Acrostichum
Actaeites                                | Animal    | Arthropoda                 | -66000000     | -23030000    | <>
Actaeopyramis                            | Animal    | Mollusca                   | -61600000     | -59200000    | Actaeopyramis
Acteocina                                | Animal    | Mollusca                   | -61600000     | -56000000    | Acteocina
Acteon                                   | Animal    | Mollusca                   | -61600000     | -56000000    | Acteon
Actinacis                                | Animal    | Cnidaria                   | -61600000     | -56000000    | <>
Actinastrea                              | Animal    | Cnidaria                   | -61600000     | -56000000    | <>
Actinodonta                              | Animal    | Mollusca                   | -61700000     | -56800000    | <>
Actinoptychus                            | Plant     | Ochrophyta                 | -66000000     | -56000000    | Actinoptychus
Adapisorex                               | Animal    | Chordata                   | -61600000     | -59200000    | <>
Adegokeastrea                            | Animal    | Cnidaria                   | -61600000     | -59200000    | <>
Adeonellopsis                            | Animal    | Bryozoa                    | -66000000     | 2030         | <>
Adeorbis                                 | Animal    | Mollusca                   | -61600000     | -59200000    | Adeorbis
Admete                                   | Animal    | Mollusca                   | -61600000     | -56000000    | Admete
Admetula                                 | Animal    | Mollusca                   | -61600000     | -59200000    | Admetula
Adocus                                   | Animal    | Chordata                   | -61700000     | -58700000    | Adocus
Adrana                                   | Animal    | Mollusca                   | -61700000     | -55800000    | Adrana
Adunator                                 | Animal    | Chordata                   | -61700000     | -56800000    | <>
Aenigmatistes                            | Animal    | Arthropoda                 | -66000000     | -37200000    | <>
Aeora                                    | Animal    | Mollusca                   | -61600000     | -59200000    | <>
Aeshna                                   | Animal    | Arthropoda                 | -61600000     | -59200000    | Aeshna
Afrollonia                               | Animal    | Mollusca                   | -61600000     | -59200000    | <>
Agaronia                                 | Animal    | Mollusca                   | -61600000     | -59200000    | Agaronia
Agathiphyllia                            | Animal    | Cnidaria                   | -66000000     | -56000000    | <>
Agathis                                  | Plant     | Pinophyta                  | -100500000    | -33900000    | Agathis
Agonum                                   | Animal    | Arthropoda                 | -61600000     | -59200000    | Agonum
Ailanthipites                            | Plant     | Spermatophyta              | -100500000    | -23030000    | <>
Akania                                   | Plant     | Spermatophyta              | -66000000     | -59200000    | Akania
Alaba                                    | Animal    | Mollusca                   | -61600000     | -59200000    | Alaba
Alangium                                 | Plant     | Spermatophyta              | -66000000     | -2588000     | Alangium
Albanerpeton                             | Animal    | Chordata                   | -61700000     | -56800000    | Albanerpeton
Albertipollenites                        | Plant     | Spermatophyta              | -100500000    | -23030000    | <>
Albertoilus                              | Animal    | Arthropoda                 | -61700000     | -56800000    | <>
Albula                                   | Animal    | Chordata                   | -61600000     | -59200000    | Albula_(fish)
Albulidarum                              | Animal    | Chordata                   | -61600000     | -59200000    | <>
Alcespina                                | Animal    | Arthropoda                 | -66000000     | -23030000    | <>
Aletodon                                 | Animal    | Chordata                   | -61700000     | -56800000    | Aletodon
Alisma                                   | Plant     | Angiospermae               | -66000000     | -5333000     | Alisma
Alismaphyllites                          | Plant     | Angiospermae               | -66000000     | -56000000    | <>
Alisporites                              | Plant     | Gymnospermophyta           | -66000000     | -56000000    | <>
Allaeochelys                             | Animal    | Chordata                   | -66000000     | -33900000    | Allaeochelys
