Acanthocladia                            | Animal    | Bryozoa                    | -336000000    | -326400000   | <>
Acanthonautilus                          | Animal    | Mollusca                   | -339400000    | -326400000   | Acanthonautilus
Acanthopecten                            | Animal    | Mollusca                   | -330900000    | -323200000   | <>
Acanthoplecta                            | Animal    | Brachiopoda                | -336000000    | -326400000   | <>
Acanthospirina                           | Animal    | Brachiopoda                | -330900000    | -323200000   | <>
Acharax                                  | Animal    | Mollusca                   | -326400000    | -318100000   | <>
Acherontiscus                            | Animal    | Chordata                   | -326400000    | -318100000   | Acherontiscus
Achistrum                                | Animal    | Echinodermata              | -358900000    | -323200000   | Achistrum
Achlamydocarpon                          | Plant     | Lycophyta                  | -358900000    | -323200000   | <>
Aclisina                                 | Animal    | Mollusca                   | -326400000    | -318100000   | <>
Acondylacanthus                          | Animal    | Chordata                   | -358900000    | -323200000   | Acondylacanthus
Acratia                                  | Animal    | Arthropoda                 | -339400000    | -314600000   | <>
Acrocrinus                               | Animal    | Echinodermata              | -326400000    | -318100000   | <>
Acrocyathus                              | Animal    | Cnidaria                   | -336000000    | -326400000   | <>
Acrolepis                                | Animal    | Chordata                   | -326400000    | -314600000   | Acrolepis
Acteonina                                | Animal    | Mollusca                   | -336000000    | -326400000   | <>
Actinoconchus                            | Animal    | Brachiopoda                | -326400000    | -318100000   | Actinoconchus
Actinopteria                             | Animal    | Mollusca                   | -326400000    | -318100000   | <>
Adamanophyllum                           | Animal    | Cnidaria                   | -336000000    | -326400000   | <>
Adelospondylus                           | Animal    | Chordata                   | -326400000    | -318100000   | Adelospondylus
Adetognathus                             | Animal    | Chordata                   | -339400000    | -318100000   | <>
Adiantites                               | Plant     | Ginkgophyta                | -346700000    | -314600000   | <>
Adinocrinus                              | Animal    | Echinodermata              | -336000000    | -326400000   | <>
Admirandopora                            | Animal    | Bryozoa                    | -346700000    | -323200000   | Admirandopora
Adnatoceras                              | Animal    | Mollusca                   | -336000000    | -326400000   | Adnatoceras
Aesopichthys                             | Animal    | Chordata                   | -326400000    | -318100000   | <>
Aexitrophocrinus                         | Animal    | Echinodermata              | -336000000    | -326400000   | <>
Afghanospirifer                          | Animal    | Brachiopoda                | -326400000    | -314600000   | <>
Agassizocrinus                           | Animal    | Echinodermata              | -326400000    | -318100000   | <>
Agnesia                                  | Animal    | Mollusca                   | -336000000    | -326400000   | Agnesia
Akiyosiphyllum                           | Animal    | Cnidaria                   | -346700000    | -323200000   | <>
Akmonistion                              | Animal    | Chordata                   | -358900000    | -298900000   | Akmonistion
Alaoceras                                | Animal    | Mollusca                   | -326400000    | -318100000   | Alaoceras
Albaillella                              | Micro     | Radiolaria                 | -330900000    | -323200000   | <>
Alcicornopteris                          | Plant     | Pteridophyta               | -358900000    | -323200000   | <>
Alispirifer                              | Animal    | Brachiopoda                | -326400000    | -306950000   | <>
Alisporites                              | Plant     | Gymnospermophyta           | -358900000    | -252170000   | <>
Alitaria                                 | Animal    | Brachiopoda                | -326400000    | -318100000   | <>
Allagecrinus                             | Animal    | Echinodermata              | -336000000    | -326400000   | <>
Allenypterus                             | Animal    | Chordata                   | -326400000    | -318100000   | Allenypterus
Allocatillocrinus                        | Animal    | Echinodermata              | -336000000    | -326400000   | <>
Allorisma                                | Animal    | Mollusca                   | -326400000    | -318100000   | <>
Allotropiophyllum                        | Animal    | Cnidaria                   | -336000000    | -326400000   | <>
Alveolites                               | Animal    | Cnidaria                   | -339400000    | -326400000   | <>
Amaurotoma                               | Animal    | Mollusca                   | -330900000    | -323200000   | <>
Ambocoelia                               | Animal    | Brachiopoda                | -326400000    | -318100000   | <>
Ambozone                                 | Animal    | Mollusca                   | -336000000    | -326400000   | <>
Amelacanthus                             | Animal    | Chordata                   | -358900000    | -323200000   | Amelacanthus
Ameura                                   | Animal    | Arthropoda                 | -358900000    | -323200000   | <>
Ammobaculites                            | Micro     | Foraminifera               | -330900000    | -323200000   | <>
Ammodiscus                               | Micro     | Foraminifera               | -326400000    | -318100000   | Ammodiscus
Ammovertella                             | Micro     | Foraminifera               | -330900000    | -323200000   | <>
Ampelocrinus                             | Animal    | Echinodermata              | -336000000    | -326400000   | <>
Amphicrinus                              | Animal    | Echinodermata              | -336000000    | -326400000   | <>
Amphiscapha                              | Animal    | Mollusca                   | -326400000    | -318100000   | Amphiscapha
Amphissites                              | Animal    | Arthropoda                 | -330900000    | -323200000   | <>
Amplexizaphrentis                        | Animal    | Cnidaria                   | -326400000    | -318100000   | <>
Amplexocarinia                           | Animal    | Cnidaria                   | -339400000    | -326400000   | <>
Amplexus                                 | Animal    | Cnidaria                   | -336000000    | -326400000   | Amplexus
Amusium                                  | Animal    | Mollusca                   | -336000000    | -326400000   | Amusium
Amygdalophylloides                       | Animal    | Cnidaria                   | -330900000    | -323200000   | <>
Ananias                                  | Animal    | Mollusca                   | -326400000    | -318100000   | <>
Anapiculatisporites                      | Plant     | Bryophyta                  | -326400000    | -314600000   | <>
Anatolipora                              | Plant     | Chlorophyta                | -336000000    | -326400000   | <>
Aneimites                                | Plant     | Peltaspermophyta           | -358900000    | -298900000   | <>
Anematina                                | Animal    | Mollusca                   | -336000000    | -326400000   | <>
Anemetocrinus                            | Animal    | Echinodermata              | -336000000    | -326400000   | <>
Angiospirifer                            | Animal    | Brachiopoda                | -326400000    | -318100000   | <>
Angochitina                              | Micro     | Sarcodina                  | -336000000    | -326400000   | Angochitina
Anguloserra                              | Animal    | Echinodermata              | -330900000    | -323200000   | <>
Angyomphalus                             | Animal    | Mollusca                   | -326400000    | -314600000   | <>
Anisotrypa                               | Animal    | Bryozoa                    | -326400000    | -318100000   | <>
Ankyropteris                             | Plant     | Pteridophyta               | -326400000    | -314600000   | <>
Annularia                                | Plant     | Sphenophyta                | -358900000    | -252170000   | Annularia
Annuliconcha                             | Animal    | Mollusca                   | -336000000    | -326400000   | <>
Anomphalus                               | Animal    | Mollusca                   | -326400000    | -318100000   | Anomphalus
Antholithes                              | Plant     | Pteridospermophyta         | -358900000    | -298900000   | <>
Anthracoceras                            | Animal    | Mollusca                   | -326400000    | -314600000   | Anthracoceras
Anthracomartus                           | Animal    | Arthropoda                 | -336000000    | -323200000   | <>
Anthracomya                              | Animal    | Mollusca                   | -326400000    | -306950000   | Anthracomya
Anthraconauta                            | Animal    | Mollusca                   | -339400000    | -318100000   | <>
Anthraconeilo                            | Animal    | Mollusca                   | -326400000    | -318100000   | <>
Anthracospirifer                         | Animal    | Brachiopoda                | -326400000    | -318100000   | <>
Anthroosasterias                         | Animal    | Echinodermata              | -358900000    | -298900000   | <>
Antiquatonia                             | Animal    | Brachiopoda                | -326400000    | -318100000   | <>
Antonoceras                              | Animal    | Mollusca                   | -326400000    | -318100000   | <>
Aoujgalia                                | Plant     | Rhodophyta                 | -339400000    | -326400000   | <>
Aphantomartus                            | Animal    | Arthropoda                 | -336000000    | -326400000   | <>
Aphelaeceras                             | Animal    | Mollusca                   | -326400000    | -318100000   | Aphelaeceras
Aphelakardia                             | Animal    | Mollusca                   | -358900000    | -323200000   | <>
Aphelecrinus                             | Animal    | Echinodermata              | -326400000    | -318100000   | <>
Aphralysia                               | Micro     | Cyanobacteria              | -330900000    | -323200000   | <>
Aphrophyllum                             | Animal    | Cnidaria                   | -336000000    | -326400000   | <>
Apiculatasporites                        | Plant     | Pteridophyta               | -358900000    | -298900000   | <>
