Abderospira                              | Animal    | Mollusca                   | -13820000     | -11620000    | <>
Abelmoschomys                            | Animal    | Chordata                   | -13600000     | -10300000    | <>
Abertella                                | Animal    | Echinodermata              | -15970000     | -11608000    | <>
Abies                                    | Plant     | Pinophyta                  | -13600000     | -10300000    | Abies
Aboma                                    | Animal    | Chordata                   | -23030000     | -5333000     | Aboma
Abra                                     | Animal    | Mollusca                   | -12700000     | -11608000    | Abra_(bivalve)
Abruzzoichthys                           | Animal    | Chordata                   | -15970000     | -11608000    | <>
Acacia                                   | Plant     | Spermatophyta              | -23030000     | -2588000     | Acacia
Acaena                                   | Plant     | Spermatophyta              | -28400000     | -11608000    | Acaena
Acalypha                                 | Plant     | Spermatophyta              | -13820000     | -11620000    | Acalypha
Acamptogenotia                           | Animal    | Mollusca                   | -13650000     | -12700000    | Acamptogenotia
Acanthastrea                             | Animal    | Cnidaria                   | -13650000     | -12700000    | Acanthastrea
Acanthicus                               | Animal    | Chordata                   | -13800000     | -11800000    | Acanthicus
Acanthina                                | Animal    | Mollusca                   | -15970000     | -11608000    | Acanthina
Acanthocardia                            | Animal    | Mollusca                   | -13650000     | -12700000    | Acanthocardia
Acanthocarpus                            | Animal    | Arthropoda                 | -15970000     | -11620000    | Acanthocarpus_(crab)
Acanthocella                             | Animal    | Bryozoa                    | -33900000     | -5333000     | <>
Acanthochelys                            | Animal    | Chordata                   | -13800000     | -11800000    | Acanthochelys
Acanthochitona                           | Animal    | Mollusca                   | -12700000     | -11608000    | Acanthochitona
Acanthocybium                            | Animal    | Chordata                   | -13650000     | -12700000    | Acanthocybium
Acanthoderes                             | Animal    | Arthropoda                 | -12700000     | -11608000    | Acanthoderes
Acanthodesia                             | Animal    | Bryozoa                    | -15970000     | -11608000    | <>
Acanthosoma                              | Animal    | Arthropoda                 | -12700000     | -11608000    | Acanthosoma
Acarechimys                              | Animal    | Chordata                   | -11800000     | -10000000    | <>
Acar                                     | Animal    | Mollusca                   | -13820000     | -11620000    | Acar
Acdestis                                 | Animal    | Chordata                   | -13800000     | -11800000    | <>
Acentrophryne                            | Animal    | Chordata                   | -13600000     | -10300000    | Acentrophryne
Aceratherium                             | Animal    | Chordata                   | -12700000     | -11608000    | Aceratherium
Acerinucleus                             | Animal    | Bryozoa                    | -33900000     | -5333000     | <>
Acerorhinus                              | Animal    | Chordata                   | -13820000     | -11620000    | Acerorhinus
Acer                                     | Plant     | Spermatophyta              | -13820000     | -11620000    | Acer
Acervulina                               | Micro     | Foraminifera               | -15970000     | -11620000    | <>
Acesta                                   | Animal    | Mollusca                   | -15970000     | -7246000     | Acesta
Acetabularia                             | Plant     | Chlorophyta                | -15970000     | -11620000    | Acetabularia
Acharax                                  | Animal    | Mollusca                   | -13650000     | -12700000    | <>
Achlyoscapter                            | Animal    | Chordata                   | -15970000     | -13600000    | <>
Acicula                                  | Animal    | Mollusca                   | -15970000     | -12750000    | Acicula
Acila                                    | Animal    | Mollusca                   | -15970000     | -11608000    | Acila
Acipenser                                | Animal    | Chordata                   | -15970000     | -781000      | Acipenser
Acirsa                                   | Animal    | Mollusca                   | -15970000     | -11608000    | Acirsa
Acmaea                                   | Animal    | Mollusca                   | -12700000     | -11608000    | Acmaea
Acmaeodera                               | Animal    | Arthropoda                 | -12700000     | -11608000    | Acmaeodera
Acmopyle                                 | Plant     | Coniferophyta              | -55800000     | -5333000     | Acmopyle
Acocephalus                              | Animal    | Arthropoda                 | -12700000     | -11608000    | <>
Acoenitus                                | Animal    | Arthropoda                 | -12700000     | -11608000    | <>
Acomys                                   | Animal    | Chordata                   | -23030000     | -2588000     | Acomys
Acregoliath                              | Animal    | Chordata                   | -13800000     | -11800000    | <>
Acrilla                                  | Animal    | Mollusca                   | -13650000     | -12700000    | <>
