Aardonyx                                 | Animal    | Chordata                   | -201300000    | -190800000   | Aardonyx
Abiadisaurus                             | Animal    | Chordata                   | -237000000    | -163500000   | Abiadisaurus
Abietites                                | Plant     | Coniferophyta              | -201300000    | -174100000   | <>
Aboilus                                  | Animal    | Arthropoda                 | -196500000    | -189600000   | <>
Abrictosaurus                            | Animal    | Chordata                   | -201300000    | -190800000   | Abrictosaurus
Absoluta                                 | Animal    | Arthropoda                 | -201300000    | -190800000   | Absoluta
Acanthocircus                            | Micro     | Radiolaria                 | -196500000    | -189600000   | <>
Acanthopleuroceras                       | Animal    | Mollusca                   | -196500000    | -183000000   | Acanthopleuroceras
Acesta                                   | Animal    | Mollusca                   | -201300000    | -145000000   | Acesta
Achistrum                                | Animal    | Echinodermata              | -199300000    | -190800000   | Achistrum
Acratia                                  | Animal    | Arthropoda                 | -196500000    | -189600000   | <>
Acridomima                               | Animal    | Arthropoda                 | -201300000    | -196500000   | <>
Acrodus                                  | Animal    | Chordata                   | -196500000    | -189600000   | Acrodus
Acrostichites                            | Plant     | Pteridophyta               | -201300000    | -174100000   | <>
Acteonina                                | Animal    | Mollusca                   | -196500000    | -189600000   | <>
Actinastrea                              | Animal    | Cnidaria                   | -196500000    | -189600000   | <>
Actinostreon                             | Animal    | Mollusca                   | -196500000    | -189600000   | <>
Acuneopsis                               | Animal    | Mollusca                   | -201300000    | -163500000   | <>
Acutisclerus                             | Animal    | Echinodermata              | -201300000    | -190800000   | <>
Adeopapposaurus                          | Animal    | Chordata                   | -201300000    | -174100000   | Adeopapposaurus
Adnethiceras                             | Animal    | Mollusca                   | -196500000    | -189600000   | Adnethiceras
Adynasia                                 | Animal    | Arthropoda                 | -201300000    | -196500000   | <>
Aegasteroceras                           | Animal    | Mollusca                   | -196500000    | -189600000   | Aegasteroceras
Aeger                                    | Animal    | Arthropoda                 | -196500000    | -189600000   | Aeger
Aegoceras                                | Animal    | Mollusca                   | -196500000    | -183000000   | Aegoceras
Aequipecten                              | Animal    | Mollusca                   | -196500000    | -189600000   | Aequipecten
Agaleus                                  | Animal    | Chordata                   | -196500000    | -189600000   | Agaleus
Agassiceras                              | Animal    | Mollusca                   | -196500000    | -189600000   | Agassiceras
Agathoxylon                              | Plant     | Pinophyta                  | -201300000    | -174100000   | Agathoxylon
Agerchlamys                              | Animal    | Mollusca                   | -196500000    | -189600000   | <>
Aguilerella                              | Animal    | Mollusca                   | -196500000    | -189600000   | <>
Aka                                      | Animal    | Porifera                   | -196500000    | -189600000   | Aka
Alebusirhynchia                          | Animal    | Brachiopoda                | -196500000    | -189600000   | <>
Alethodontus                             | Animal    | Chordata                   | -201300000    | -196500000   | Alethodontus
Alisporites                              | Plant     | Gymnospermophyta           | -196500000    | -189600000   | <>
Allochiton                               | Animal    | Mollusca                   | -199300000    | -190800000   | Allochiton
Allocoeniopsis                           | Animal    | Cnidaria                   | -199300000    | -190800000   | <>
Allophalerus                             | Animal    | Arthropoda                 | -201300000    | -190800000   | Allophalerus
Alocolytoceras                           | Animal    | Mollusca                   | -196500000    | -189600000   | Alocolytoceras
Alsatites                                | Animal    | Mollusca                   | -201300000    | -190800000   | Alsatites
Alsophilidites                           | Plant     | Pteridophyta               | -196500000    | -189600000   | <>
Amaltheocrinus                           | Animal    | Echinodermata              | -199300000    | -190800000   | <>
Amaltheus                                | Animal    | Mollusca                   | -196500000    | -183000000   | Amaltheus
Ambercyclus                              | Animal    | Mollusca                   | -201300000    | -196500000   | <>
Amberleya                                | Animal    | Mollusca                   | -196500000    | -189600000   | <>
Amblypus                                 | Animal    | Chordata                   | -201300000    | -190800000   | <>
Ambulocapsa                              | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Amdrupia                                 | Plant     | Gymnospermophyta           | -201300000    | -174100000   | <>
Ameghinichnus                            | Animal    | Chordata                   | -199300000    | -190800000   | <>
Amijiella                                | Micro     | Foraminifera               | -201300000    | -190800000   | <>
Ammobaculites                            | Micro     | Foraminifera               | -199300000    | -190800000   | <>
Ammodiscus                               | Micro     | Foraminifera               | -199300000    | -190800000   | Ammodiscus
Ammonites                                | Animal    | Mollusca                   | -201300000    | -174100000   | Ammonites
Ammopus                                  | Animal    | Chordata                   | -201300000    | -190800000   | <>
Ammosaurus                               | Animal    | Chordata                   | -201300000    | -196500000   | Ammosaurus
Amphibiopodiscus                         | Animal    | Chordata                   | -201300000    | -190800000   | <>
Amphiclinodonta                          | Animal    | Brachiopoda                | -199300000    | -190800000   | <>
Amphorispermum                           | Plant     | Ginkgophyta                | -199300000    | -190800000   | <>
Amuria                                   | Micro     | Radiolaria                 | -196500000    | -189600000   | Amuria
Amusium                                  | Animal    | Mollusca                   | -201300000    | -145000000   | Amusium
Anagyrinus                               | Animal    | Arthropoda                 | -201300000    | -196500000   | Anagyrinus
Analytoceras                             | Animal    | Mollusca                   | -201300000    | -174100000   | Analytoceras
Anaticapitula                            | Micro     | Radiolaria                 | -196500000    | -189600000   | <>
Anchisauripus                            | Animal    | Chordata                   | -196500000    | -189600000   | Anchisauripus
Anchisaurus                              | Animal    | Chordata                   | -201300000    | -190800000   | Anchisaurus
Ancyropus                                | Animal    | Chordata                   | -201300000    | -190800000   | <>
Andenipora                               | Animal    | Porifera                   | -196500000    | -189600000   | <>
Androstrobus                             | Plant     | Cycadophyta                | -201300000    | -145000000   | <>
Anglophlebia                             | Animal    | Arthropoda                 | -196500000    | -189600000   | <>
Angulataphrus                            | Animal    | Mollusca                   | -196500000    | -189600000   | <>
Angulaticeras                            | Animal    | Mollusca                   | -196500000    | -183000000   | Angulaticeras
Angyomphalus                             | Animal    | Mollusca                   | -201300000    | -196500000   | <>
Anhydrophilus                            | Animal    | Arthropoda                 | -208500000    | -196500000   | <>
Anisobairdia                             | Animal    | Arthropoda                 | -196500000    | -189600000   | <>
Anisocardia                              | Animal    | Mollusca                   | -196500000    | -189600000   | <>
Anisozygopteron                          | Animal    | Arthropoda                 | -201300000    | -196500000   | <>
Ankylokypha                              | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Anningasaura                             | Animal    | Chordata                   | -201300000    | -183000000   | Anningasaura
Anningella                               | Animal    | Mollusca                   | -196500000    | -189600000   | <>
Annulariopsis                            | Plant     | Sphenophyta                | -201300000    | -174100000   | <>
Anomia                                   | Animal    | Mollusca                   | -196500000    | -189600000   | Anomia
Anomoepus                                | Animal    | Chordata                   | -199300000    | -182700000   | Anomoepus
Anomozamites                             | Plant     | Cycadeoideophyta           | -199300000    | -190800000   | <>
Anoptychia                               | Animal    | Mollusca                   | -196500000    | -189600000   | <>
Antetonitrus                             | Animal    | Chordata                   | -201300000    | -190800000   | Antetonitrus
Antevsia                                 | Plant     | Peltaspermophyta           | -208500000    | -174100000   | <>
Anthrophyopsis                           | Plant     | Cycadophyta                | -201300000    | -174100000   | <>
Anticheiropus                            | Animal    | Chordata                   | -201300000    | -190800000   | Anticheiropus
Anticonulus                              | Animal    | Mollusca                   | -196500000    | -183000000   | <>
Antiptychina                             | Animal    | Brachiopoda                | -196500000    | -183000000   | <>
Antipus                                  | Animal    | Chordata                   | -201300000    | -190800000   | Antipus
Antiquilima                              | Animal    | Mollusca                   | -196500000    | -189600000   | <>
Antrimpos                                | Animal    | Arthropoda                 | -201300000    | -190800000   | Antrimpos
Aphodiites                               | Animal    | Arthropoda                 | -201300000    | -196500000   | Aphodiites
Aplocoma                                 | Animal    | Echinodermata              | -201300000    | -196500000   | <>
Apodidichnus                             | Animal    | Arthropoda                 | -199300000    | -190800000   | <>
Appenninoceras                           | Animal    | Mollusca                   | -196500000    | -189600000   | <>
Apringia                                 | Animal    | Brachiopoda                | -196500000    | -183000000   | <>
Aptyxiella                               | Animal    | Mollusca                   | -199300000    | -190800000   | <>
Araucariacites                           | Plant     | Pinophyta                  | -196500000    | -189600000   | <>
Araucarioxylon                           | Plant     | Pinophyta                  | -201300000    | -174100000   | Araucarioxylon
Araucarites                              | Plant     | Pinophyta                  | -199300000    | -182700000   | <>
Arberophyllum                            | Plant     | Peltaspermophyta           | -196500000    | -189600000   | <>
Arca                                     | Animal    | Mollusca                   | -201300000    | -174100000   | Arca
Archaboilus                              | Animal    | Arthropoda                 | -201300000    | -190800000   | Archaboilus
Archaeocarabus                           | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Archaeocenosphaera                       | Micro     | Radiolaria                 | -196500000    | -189600000   | <>
