Abadiella                                | Animal    | Arthropoda                 | -516000000    | -513000000   | <>
Abakania                                 | Animal    | Arthropoda                 | -516000000    | -513000000   | Abakania
Abakanicyathus                           | Animal    | Porifera                   | -516000000    | -513000000   | <>
Abakolia                                 | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Absidaticonus                            | Animal    | Mollusca                   | -541000000    | -485400000   | <>
Acadagnostus                             | Animal    | Arthropoda                 | -513000000    | -501000000   | Acadagnostus
Acadolenus                               | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Acanthograptus                           | Animal    | Hemichordata               | -541000000    | -485400000   | <>
Acanthomeridion                          | Animal    | Arthropoda                 | -516000000    | -513000000   | Acanthomeridion
Acanthomicmacca                          | Animal    | Arthropoda                 | -516000000    | -513000000   | <>
Acanthopyrgus                            | Animal    | Porifera                   | -516000000    | -513000000   | <>
Acanthotretella                          | Animal    | Brachiopoda                | -513000000    | -501000000   | Acanthotretella
Acareorthis                              | Animal    | Brachiopoda                | -513000000    | -501000000   | <>
Acerocare                                | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Achlysopsis                              | Animal    | Arthropoda                 | -513000000    | -505000000   | <>
Acidiscus                                | Animal    | Arthropoda                 | -516000000    | -513000000   | Acidiscus
Acimetopus                               | Animal    | Arthropoda                 | -516000000    | -513000000   | Acimetopus
Acontheus                                | Animal    | Arthropoda                 | -513000000    | -501000000   | Acontheus
Acrocephalites                           | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Acrocephalops                            | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Acrothele                                | Animal    | Brachiopoda                | -513000000    | -498500000   | <>
Acrothyra                                | Animal    | Brachiopoda                | -513000000    | -501000000   | Acrothyra
Acrotreta                                | Animal    | Brachiopoda                | -513000000    | -501000000   | <>
Acuticloudina                            | Animal    | Annelida                   | -516000000    | -513000000   | <>
Adaecyathus                              | Animal    | Porifera                   | -516000000    | -501000000   | <>
Adyshevitheca                            | Animal    | Mollusca                   | -516000000    | -513000000   | <>
Aegitellus                               | Animal    | Mollusca                   | -541000000    | -485400000   | <>
Afiacyathus                              | Animal    | Porifera                   | -516000000    | -513000000   | <>
Agaso                                    | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Agastrocyathus                           | Animal    | Porifera                   | -516000000    | -513000000   | <>
Agelagma                                 | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Agnostus                                 | Animal    | Arthropoda                 | -513000000    | -498500000   | Agnostus
Agraulos                                 | Animal    | Arthropoda                 | -513000000    | -498500000   | Agraulos
Agyrekia                                 | Animal    | Brachiopoda                | -516000000    | -513000000   | <>
Ajacicyathellus                          | Animal    | Porifera                   | -516000000    | -513000000   | <>
Ajacicyathus                             | Animal    | Porifera                   | -516000000    | -513000000   | <>
Akadocrinus                              | Animal    | Echinodermata              | -513000000    | -498500000   | <>
Aksarinaia                               | Animal    | Brachiopoda                | -513000000    | -505000000   | <>
Alacephalus                              | Animal    | Arthropoda                 | -516000000    | -513000000   | <>
Aladraco                                 | Animal    | Hyolitha                   | -513000000    | -501000000   | <>
Alalcomenaeus                            | Animal    | Arthropoda                 | -513000000    | -501000000   | Alalcomenaeus
Alanisia                                 | Animal    | Arthropoda                 | -516000000    | -513000000   | <>
Alanisicystis                            | Animal    | Echinodermata              | -516000000    | -513000000   | <>
Alataucyathus                            | Animal    | Porifera                   | -520000000    | -513000000   | <>
Albansia                                 | Animal    | Arthropoda                 | -513000000    | -501000000   | Albansia
Albertella                               | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Albertellina                             | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Albertelloides                           | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Albiconus                                | Animal    | Chordata                   | -541000000    | -485400000   | <>
Albrunnicola                             | Animal    | Arthropoda                 | -516000000    | -513000000   | <>
Aldanaspis                               | Animal    | Arthropoda                 | -513000000    | -501000000   | Aldanaspis
Aldanella                                | Animal    | Mollusca                   | -520000000    | -513000000   | Aldanella
Aldanocyathus                            | Animal    | Porifera                   | -516000000    | -513000000   | <>
Aldonaia                                 | Animal    | Arthropoda                 | -516000000    | -513000000   | <>
Alexandricyathus                         | Animal    | Porifera                   | -516000000    | -513000000   | <>
Allantospongia                           | Animal    | Porifera                   | -541000000    | -513000000   | <>
Allatheca                                | Animal    | Hyolitha                   | -516000000    | -513000000   | <>
Almohadella                              | Animal    | Brachiopoda                | -513000000    | -501000000   | <>
Alokistocare                             | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Altaicyathus                             | Animal    | Porifera                   | -516000000    | -513000000   | <>
Altikolia                                | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Altiocculus                              | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Alueva                                   | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Aluta                                    | Animal    | Arthropoda                 | -516000000    | -513000000   | Aluta
Alutella                                 | Animal    | Arthropoda                 | -516000000    | -513000000   | <>
Amblysiphonella                          | Animal    | Porifera                   | -516000000    | -513000000   | <>
Ambrolinevitus                           | Animal    | Hyolitha                   | -516000000    | -513000000   | <>
Amecephalina                             | Animal    | Arthropoda                 | -516000000    | -513000000   | <>
Amecephalites                            | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Amecephaloides                           | Animal    | Arthropoda                 | -516000000    | -513000000   | <>
Amecephalus                              | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Amgaspis                                 | Animal    | Arthropoda                 | -513000000    | -505000000   | <>
Ammagnostus                              | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Ammodiscus                               | Micro     | Foraminifera               | -541000000    | -513000000   | Ammodiscus
Amphigeisina                             | Animal    | Chaetognatha               | -513000000    | -501000000   | <>
Amphoton                                 | Animal    | Arthropoda                 | -513000000    | -505000000   | Amphoton
Amplectobelua                            | Animal    | Arthropoda                 | -513000000    | -505000000   | Amplectobelua
Anabarella                               | Animal    | Mollusca                   | -513000000    | -501000000   | Anabarella
Anabaroconus                             | Animal    | Mollusca                   | -513000000    | -501000000   | <>
Anabolotreta                             | Animal    | Brachiopoda                | -513000000    | -498500000   | <>
Analox                                   | Animal    | Arthropoda                 | -516000000    | -513000000   | Analox
Anaptyctocyathus                         | Animal    | Porifera                   | -516000000    | -513000000   | <>
Ancalagon                                | Animal    | Priapulida                 | -513000000    | -505000000   | Ancalagon
Andrarina                                | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Angulocellularia                         | Plant     | Rhodophyta                 | -516000000    | -513000000   | <>
Angulosuspongia                          | Animal    | Porifera                   | -513000000    | -501000000   | <>
Angulotreta                              | Animal    | Brachiopoda                | -513000000    | -501000000   | <>
Anhuiconus                               | Animal    | Mollusca                   | -516000000    | -513000000   | <>
Ankoura                                  | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Annulocyathella                          | Animal    | Porifera                   | -516000000    | -513000000   | <>
Annulocyathus                            | Animal    | Porifera                   | -516000000    | -513000000   | <>
Annulofungia                             | Animal    | Porifera                   | -516000000    | -513000000   | <>
Anomalocaris                             | Animal    | Arthropoda                 | -513000000    | -498500000   | Anomalocaris
Anomocare                                | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Anomocarella                             | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Anomocarina                              | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Anopolenus                               | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Anoria                                   | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Antagmus                                 | Animal    | Arthropoda                 | -513000000    | -505000000   | <>
Anthomorpha                              | Animal    | Porifera                   | -516000000    | -513000000   | <>
Antoniocoscinus                          | Animal    | Porifera                   | -516000000    | -513000000   | <>
Anuliconus                               | Animal    | Mollusca                   | -516000000    | -513000000   | <>
Aphelaspis                               | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Apheoorthis                              | Animal    | Brachiopoda                | -541000000    | -485400000   | <>
Aporosocyathus                           | Animal    | Porifera                   | -516000000    | -513000000   | <>
Aptocyathella                            | Animal    | Porifera                   | -516000000    | -513000000   | <>
Aptocyathus                              | Animal    | Porifera                   | -516000000    | -513000000   | <>
Aragocystites                            | Animal    | Echinodermata              | -513000000    | -501000000   | <>
Araneocyathus                            | Animal    | Porifera                   | -516000000    | -513000000   | <>
Arapahoia                                | Animal    | Arthropoda                 | -513000000    | -485400000   | <>
Archaeagnostus                           | Animal    | Arthropoda                 | -516000000    | -513000000   | Archaeagnostus
Archaeocothurnus                         | Animal    | Echinodermata              | -513000000    | -498500000   | <>
Archaeocyathellus                        | Animal    | Porifera                   | -516000000    | -513000000   | <>
Archaeofungia                            | Animal    | Porifera                   | -516000000    | -513000000   | <>
Archaeolafoea                            | Animal    | Hemichordata               | -513000000    | -501000000   | <>
Archaeolynthus                           | Animal    | Porifera                   | -516000000    | -513000000   | <>
Archaeopharetra                          | Animal    | Porifera                   | -516000000    | -513000000   | <>
Archaeorthis                             | Animal    | Brachiopoda                | -541000000    | -485400000   | <>
Archaeosycon                             | Animal    | Porifera                   | -516000000    | -513000000   | <>
Archaeotrypa                             | Animal    | Cnidaria                   | -516000000    | -513000000   | <>
Archeoentactinia                         | Micro     | Radiolaria                 | -513000000    | -507000000   | <>
Archotuba                                | Animal    | Priapulida                 | -516000000    | -513000000   | Archotuba
Arctohedra                               | Animal    | Brachiopoda                | -513000000    | -501000000   | <>
Arcuolenellus                            | Animal    | Arthropoda                 | -516000000    | -513000000   | <>
Arcuolimbus                              | Animal    | Arthropoda                 | -541000000    | -485400000   | Arcuolimbus
Ardrossacyathus                          | Animal    | Porifera                   | -516000000    | -513000000   | <>
Ardrossania                              | Animal    | Mollusca                   | -516000000    | -513000000   | <>
Arellanella                              | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Arisacyathus                             | Animal    | Porifera                   | -516000000    | -513000000   | <>
Aristaluta                               | Animal    | Arthropoda                 | -513000000    | -507000000   | <>
Armonia                                  | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Arrowipora                               | Animal    | Cnidaria                   | -516000000    | -513000000   | <>
Arrythmocricus                           | Animal    | Porifera                   | -516000000    | -513000000   | <>
Arthricocephalus                         | Animal    | Arthropoda                 | -516000000    | -513000000   | Arthricocephalus
Arthrochites                             | Animal    | Cnidaria                   | -541000000    | -485400000   | <>
Asaphiscus                               | Animal    | Arthropoda                 | -513000000    | -498500000   | Asaphiscus
Asiapatella                              | Animal    | Mollusca                   | -541000000    | -485400000   | <>
Askepasma                                | Animal    | Brachiopoda                | -516000000    | -513000000   | Askepasma
Asperconella                             | Animal    | Mollusca                   | -516000000    | -513000000   | <>
Aspidagnostus                            | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Asterocyathus                            | Animal    | Porifera                   | -516000000    | -513000000   | <>
Asturiaspis                              | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Asturicystis                             | Animal    | Echinodermata              | -513000000    | -501000000   | <>
Atdabanella                              | Animal    | Arthropoda                 | -516000000    | -513000000   | Atdabanella
Athabaskia                               | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Athabaskiella                            | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Atops                                    | Animal    | Arthropoda                 | -516000000    | -513000000   | Atops
Aulocricus                               | Animal    | Porifera                   | -516000000    | -513000000   | <>
Auricullina                              | Animal    | Mollusca                   | -516000000    | -513000000   | <>
Austinvillia                             | Animal    | Arthropoda                 | -513000000    | -505000000   | <>
Australaspis                             | Animal    | Arthropoda                 | -541000000    | -513000000   | <>
Australimicola                           | Animal    | Arthropoda                 | -516000000    | -513000000   | <>
Australohalkieria                        | Animal    | Mollusca                   | -516000000    | -513000000   | Australohalkieria
Austrohedra                              | Animal    | Brachiopoda                | -513000000    | -501000000   | <>
Aysheaia                                 | Animal    | Onychophora                | -513000000    | -505000000   | Aysheaia
Bactrotheca                              | Animal    | Hyolitha                   | -516000000    | -513000000   | Bactrotheca
Badulesia                                | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Bagenovia                                | Animal    | Mollusca                   | -516000000    | -513000000   | Bagenovia
Bagongshania                             | Animal    | Arthropoda                 | -513000000    | -505000000   | <>
Baikalocyathus                           | Animal    | Porifera                   | -516000000    | -513000000   | <>
Bailiaspis                               | Animal    | Arthropoda                 | -513000000    | -501000000   | Bailiaspis
Bailiella                                | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Balangcunaspis                           | Animal    | Arthropoda                 | -516000000    | -513000000   | <>
Balangicystis                            | Animal    | Echinodermata              | -513000000    | -505000000   | <>
Balcoracania                             | Animal    | Arthropoda                 | -516000000    | -513000000   | Balcoracania
Balderia                                 | Animal    | Arthropoda                 | -513000000    | -498500000   | Balderia
Baltagnostus                             | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Banffia                                  | Animal    | Vetulicolia                | -513000000    | -501000000   | Banffia
Batenioides                              | Animal    | Arthropoda                 | -516000000    | -513000000   | <>
Bathydiscus                              | Animal    | Arthropoda                 | -516000000    | -513000000   | Bathydiscus
Bathynotus                               | Animal    | Arthropoda                 | -516000000    | -513000000   | Bathynotus
Bathyocos                                | Animal    | Arthropoda                 | -513000000    | -505000000   | <>
Bathyuriscellus                          | Animal    | Arthropoda                 | -516000000    | -513000000   | Bathyuriscellus
Bathyuriscidella                         | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Bathyuriscus                             | Animal    | Arthropoda                 | -513000000    | -498500000   | Bathyuriscus
Bayfieldia                               | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Beldirella                               | Animal    | Arthropoda                 | -516000000    | -513000000   | <>
Belemnites                               | Animal    | Mollusca                   | -541000000    | -252170000   | Belemnites
Bellistrophia                            | Animal    | Brachiopoda                | -513000000    | -485400000   | <>
Beltanacyathus                           | Animal    | Porifera                   | -520000000    | -513000000   | <>
Bemella                                  | Animal    | Mollusca                   | -513000000    | -501000000   | <>
Benxiaspis                               | Animal    | Arthropoda                 | -513000000    | -505000000   | <>
Berabichia                               | Animal    | Arthropoda                 | -516000000    | -513000000   | Berabichia
Bergeroniaspis                           | Animal    | Arthropoda                 | -516000000    | -513000000   | <>
Bergeroniellus                           | Animal    | Arthropoda                 | -516000000    | -513000000   | <>
Beshtashella                             | Animal    | Mollusca                   | -516000000    | -513000000   | <>
Bhargavia                                | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Bicarinellata                            | Animal    | Arthropoda                 | -520000000    | -513000000   | <>
Biceratops                               | Animal    | Arthropoda                 | -516000000    | -513000000   | Biceratops
Bicia                                    | Animal    | Brachiopoda                | -516000000    | -513000000   | <>
Biligulitheca                            | Animal    | Hyolitha                   | -516000000    | -513000000   | <>
Billingsaspis                            | Animal    | Arthropoda                 | -516000000    | -513000000   | <>
Billingsella                             | Animal    | Brachiopoda                | -541000000    | -485400000   | <>
Binodaspis                               | Animal    | Arthropoda                 | -516000000    | -513000000   | <>
Bipallicyathus                           | Animal    | Porifera                   | -520000000    | -513000000   | <>
Biscoia                                  | Animal    | Arthropoda                 | -541000000    | -485400000   | Biscoia
Blainia                                  | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Blainiopsis                              | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Blastulospongia                          | Animal    | Porifera                   | -516000000    | -513000000   | <>
Blountia                                 | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Blountiella                              | Animal    | Arthropoda                 | -513000000    | -498500000   | Blountiella
Blountina                                | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Bohemiella                               | Animal    | Brachiopoda                | -513000000    | -501000000   | <>
Bolaspidella                             | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Bolaspis                                 | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Bolbolenellus                            | Animal    | Arthropoda                 | -516000000    | -513000000   | Bolbolenellus
Bolboparia                               | Animal    | Arthropoda                 | -516000000    | -513000000   | Bolboparia
Bonnaria                                 | Animal    | Arthropoda                 | -516000000    | -513000000   | <>
Bonnaspis                                | Animal    | Arthropoda                 | -516000000    | -513000000   | <>
Bonneterrina                             | Animal    | Arthropoda                 | -513000000    | -498500000   | Bonneterrina
Bonnia                                   | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Bonniella                                | Animal    | Arthropoda                 | -516000000    | -513000000   | <>
Bonnima                                  | Animal    | Arthropoda                 | -516000000    | -513000000   | <>
Bonniopsis                               | Animal    | Arthropoda                 | -530000000    | -513000000   | <>
Botomella                                | Animal    | Arthropoda                 | -516000000    | -513000000   | Botomella
Botomocyathus                            | Animal    | Porifera                   | -516000000    | -513000000   | <>
Botsfordia                               | Animal    | Brachiopoda                | -516000000    | -513000000   | Botsfordia
Bottonaecyathus                          | Animal    | Porifera                   | -516000000    | -513000000   | <>
Bowmania                                 | Animal    | Arthropoda                 | -541000000    | -485400000   | Bowmania
Boyarinovicyathus                        | Animal    | Porifera                   | -516000000    | -513000000   | <>
Brachyaspidion                           | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Bractocyathus                            | Animal    | Porifera                   | -516000000    | -513000000   | <>
Bradoria                                 | Animal    | Arthropoda                 | -513000000    | -507000000   | <>
Bradyfallotaspis                         | Animal    | Arthropoda                 | -516000000    | -513000000   | Bradyfallotaspis
Brahimorthis                             | Animal    | Brachiopoda                | -513000000    | -501000000   | <>
Braintreella                             | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Branchiocaris                            | Animal    | Arthropoda                 | -513000000    | -498500000   | Branchiocaris
Brevibelus                               | Animal    | Mollusca                   | -516000000    | -513000000   | Brevibelus
Breviredlichia                           | Animal    | Arthropoda                 | -516000000    | -513000000   | <>
Briscoia                                 | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Bristolia                                | Animal    | Arthropoda                 | -516000000    | -513000000   | Bristolia
Brooksella                               | Animal    | Porifera                   | -513000000    | -501000000   | <>
Brunswickia                              | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Burgessia                                | Animal    | Arthropoda                 | -513000000    | -505000000   | Burgessia
Burgessochaeta                           | Animal    | Annelida                   | -513000000    | -501000000   | Burgessochaeta
Burithes                                 | Animal    | Hyolitha                   | -516000000    | -513000000   | <>
Burlingia                                | Animal    | Arthropoda                 | -513000000    | -501000000   | Burlingia
Buttsia                                  | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Bynguanoia                               | Animal    | Brachiopoda                | -513000000    | -501000000   | <>
Bynumia                                  | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Bythicheilus                             | Animal    | Arthropoda                 | -513000000    | -505000000   | <>
Caborcella                               | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Cadniacyathus                            | Animal    | Porifera                   | -516000000    | -513000000   | <>
Calcihexactina                           | Animal    | Porifera                   | -516000000    | -513000000   | <>
Callavia                                 | Animal    | Arthropoda                 | -520000000    | -513000000   | Callavia
Callograptus                             | Animal    | Hemichordata               | -541000000    | -485400000   | Callograptus
Calodiscus                               | Animal    | Arthropoda                 | -513000000    | -501000000   | Calodiscus
Cambraster                               | Animal    | Echinodermata              | -513000000    | -501000000   | Cambraster
Cambretina                               | Animal    | Mollusca                   | -513000000    | -501000000   | <>
Cambridium                               | Animal    | Mollusca                   | -516000000    | -513000000   | <>
Cambrocyathellus                         | Animal    | Porifera                   | -516000000    | -513000000   | <>
Cambromedusa                             | Animal    | Cnidaria                   | -513000000    | -501000000   | <>
Cambropallas                             | Animal    | Arthropoda                 | -513000000    | -505000000   | Cambropallas
Cambroproteus                            | Animal    | Arthropoda                 | -513000000    | -505000000   | Cambroproteus
Cambrunicornia                           | Animal    | Arthropoda                 | -513000000    | -505000000   | <>
Camenella                                | Animal    | Brachiopoda                | -516000000    | -513000000   | Camenella
Camptostroma                             | Animal    | Echinodermata              | -516000000    | -513000000   | Camptostroma
Canadaspis                               | Animal    | Arthropoda                 | -513000000    | -498500000   | Canadaspis
Canadia                                  | Animal    | Annelida                   | -513000000    | -505000000   | Canadia
Canalilatus                              | Animal    | Brachiopoda                | -513000000    | -505000000   | <>
Canopoconus                              | Animal    | Mollusca                   | -541000000    | -485400000   | <>
Canthylotreta                            | Animal    | Brachiopoda                | -513000000    | -498500000   | <>
Capitoconus                              | Animal    | Mollusca                   | -513000000    | -501000000   | <>
Capsospongia                             | Animal    | Porifera                   | -513000000    | -505000000   | Capsospongia
Capsulocyathus                           | Animal    | Porifera                   | -516000000    | -513000000   | <>
Cardiodictyon                            | Animal    | Onychophora                | -516000000    | -513000000   | Cardiodictyon
Carinacyathus                            | Animal    | Porifera                   | -516000000    | -513000000   | <>
Carinamala                               | Animal    | Arthropoda                 | -513000000    | -498500000   | Carinamala
Carinolithes                             | Animal    | Hyolitha                   | -513000000    | -505000000   | <>
Carinopelta                              | Animal    | Mollusca                   | -516000000    | -513000000   | Carinopelta
Carpicyathus                             | Animal    | Porifera                   | -516000000    | -513000000   | <>
Caryosyntrips                            | Animal    | Arthropoda                 | -513000000    | -505000000   | Caryosyntrips
Castericystis                            | Animal    | Echinodermata              | -513000000    | -498500000   | <>
Catillicephala                           | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Catinouyia                               | Animal    | Arthropoda                 | -513000000    | -505000000   | <>
Cedaria                                  | Animal    | Arthropoda                 | -513000000    | -498500000   | Cedaria
Cedarina                                 | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Centropleura                             | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
