Abacocrinus                              | Animal    | Echinodermata              | -438500000    | -433400000   | <>
Abyssocrinus                             | Animal    | Echinodermata              | -443400000    | -419200000   | <>
Acacocrinus                              | Animal    | Echinodermata              | -443400000    | -433400000   | <>
Acanthoclema                             | Animal    | Bryozoa                    | -438500000    | -433400000   | <>
Acanthocyclus                            | Animal    | Cnidaria                   | -438500000    | -433400000   | Acanthocyclus
Acanthohalysites                         | Animal    | Cnidaria                   | -438500000    | -433400000   | <>
Acaretyrricula                           | Animal    | Brachiopoda                | -438500000    | -433400000   | <>
Acaste                                   | Animal    | Arthropoda                 | -443400000    | -433400000   | Acaste
Acernaspis                               | Animal    | Arthropoda                 | -438500000    | -433400000   | Acernaspis
Achradocrinus                            | Animal    | Echinodermata              | -443400000    | -433400000   | <>
Acidaspis                                | Animal    | Arthropoda                 | -438500000    | -433400000   | Acidaspis
Acidolites                               | Animal    | Cnidaria                   | -443400000    | -433400000   | <>
Acodus                                   | Animal    | Chordata                   | -438500000    | -430500000   | Acodus
Actinoceras                              | Animal    | Mollusca                   | -438500000    | -433400000   | Actinoceras
Actinodictyon                            | Animal    | Porifera                   | -438500000    | -427400000   | <>
Actinodochmioceras                       | Animal    | Mollusca                   | -438500000    | -433400000   | <>
Actinopteria                             | Animal    | Mollusca                   | -438500000    | -433400000   | <>
Actinostroma                             | Animal    | Porifera                   | -438500000    | -427400000   | <>
Aechmina                                 | Animal    | Arthropoda                 | -438500000    | -433400000   | <>
Aechminaria                              | Animal    | Arthropoda                 | -443400000    | -419200000   | <>
Aegiria                                  | Animal    | Brachiopoda                | -443400000    | -433400000   | <>
Aegiromena                               | Animal    | Brachiopoda                | -438500000    | -433400000   | <>
Aetocrinus                               | Animal    | Echinodermata              | -438500000    | -433400000   | <>
Akidograptus                             | Animal    | Hemichordata               | -443400000    | -433400000   | <>
Alaskospira                              | Animal    | Brachiopoda                | -438500000    | -433400000   | <>
Alispira                                 | Animal    | Brachiopoda                | -438500000    | -433400000   | <>
Allocrinus                               | Animal    | Echinodermata              | -438500000    | -430500000   | <>
Allocystites                             | Animal    | Echinodermata              | -438500000    | -427400000   | <>
Allopalaeophonus                         | Animal    | Arthropoda                 | -438500000    | -430500000   | <>
Allotropiophyllum                        | Animal    | Cnidaria                   | -443400000    | -419200000   | <>
Allozygocrinus                           | Animal    | Echinodermata              | -438500000    | -430500000   | <>
Altaja                                   | Animal    | Cnidaria                   | -438500000    | -433400000   | <>
Alveolites                               | Animal    | Cnidaria                   | -438500000    | -427400000   | <>
Ambonychia                               | Animal    | Mollusca                   | -443400000    | -436000000   | <>
Amorphognathus                           | Animal    | Chordata                   | -443400000    | -419200000   | Amorphognathus
Amosina                                  | Animal    | Brachiopoda                | -443400000    | -423000000   | <>
Amphicoelia                              | Animal    | Mollusca                   | -438500000    | -433400000   | <>
Amphicyrtoceras                          | Animal    | Mollusca                   | -438500000    | -427400000   | <>
Amphilichas                              | Animal    | Arthropoda                 | -449500000    | -433400000   | <>
Amphiocoelia                             | Animal    | Mollusca                   | -443400000    | -419200000   | <>
Amphipora                                | Animal    | Porifera                   | -443400000    | -358900000   | <>
Amphisella                               | Animal    | Arthropoda                 | -443400000    | -419200000   | <>
Amphistrophia                            | Animal    | Brachiopoda                | -438500000    | -430500000   | <>
Amplexoides                              | Animal    | Cnidaria                   | -438500000    | -425600000   | <>
Amplexus                                 | Animal    | Cnidaria                   | -443400000    | -433400000   | Amplexus
Amsdenina                                | Animal    | Brachiopoda                | -443400000    | -419200000   | <>
Amsdenoides                              | Animal    | Cnidaria                   | -438500000    | -425600000   | <>
Anabaia                                  | Animal    | Brachiopoda                | -443400000    | -423000000   | <>
Anabaria                                 | Animal    | Brachiopoda                | -438500000    | -433400000   | <>
Anacaenaspis                             | Animal    | Arthropoda                 | -438500000    | -430500000   | <>
Ananaspis                                | Animal    | Arthropoda                 | -438500000    | -430500000   | Ananaspis
Anaphragma                               | Animal    | Bryozoa                    | -438500000    | -433400000   | <>
Anartiocystis                            | Animal    | Echinodermata              | -443400000    | -433400000   | <>
Anasobella                               | Animal    | Arthropoda                 | -443400000    | -419200000   | <>
Anastrophia                              | Animal    | Brachiopoda                | -438500000    | -427400000   | <>
Ancillotoechia                           | Animal    | Brachiopoda                | -438500000    | -427400000   | <>
Ancyrochitina                            | Micro     | Sarcodina                  | -438500000    | -433400000   | Ancyrochitina
Angochitina                              | Micro     | Sarcodina                  | -438500000    | -433400000   | Angochitina
Angullophyllum                           | Animal    | Cnidaria                   | -443400000    | -433400000   | <>
Anisophyllum                             | Animal    | Cnidaria                   | -443400000    | -419200000   | Anisophyllum
Anodontopsis                             | Animal    | Mollusca                   | -438500000    | -433400000   | <>
Anomalocoelia                            | Animal    | Mollusca                   | -438500000    | -433400000   | <>
Anoplotheca                              | Animal    | Brachiopoda                | -438500000    | -433400000   | <>
Anticostiodus                            | Animal    | Chordata                   | -443400000    | -433400000   | Anticostiodus
Antirhynchonella                         | Animal    | Brachiopoda                | -438500000    | -430500000   | <>
Apatobolbina                             | Animal    | Arthropoda                 | -438500000    | -430500000   | <>
Aphelognathus                            | Animal    | Chordata                   | -443400000    | -422900000   | <>
Aphrosalpinx                             | Animal    | Porifera                   | -443400000    | -419200000   | <>
Aphyllum                                 | Animal    | Cnidaria                   | -438500000    | -433400000   | <>
Appendispinograptus                      | Animal    | Hemichordata               | -449500000    | -433400000   | <>
Apsidognathus                            | Animal    | Chordata                   | -438500000    | -430500000   | <>
Aptilechinus                             | Animal    | Echinodermata              | -438500000    | -433400000   | <>
Aptychopsis                              | Animal    | Mollusca                   | -438500000    | -433400000   | <>
Arachnophyllum                           | Animal    | Cnidaria                   | -438500000    | -433400000   | <>
Araeopoma                                | Animal    | Cnidaria                   | -443400000    | -433400000   | <>
Aratanea                                 | Animal    | Brachiopoda                | -443400000    | -433400000   | <>
Archaeocalyptocrinus                     | Animal    | Echinodermata              | -438500000    | -433400000   | <>
Archaeofenestella                        | Animal    | Bryozoa                    | -438500000    | -433400000   | <>
Archaeoscyphia                           | Animal    | Porifera                   | -443400000    | -433400000   | <>
Archipelepis                             | Animal    | Chordata                   | -443400000    | -433400000   | Archipelepis
Archiretiolites                          | Animal    | Hemichordata               | -443400000    | -433400000   | <>
Arctinurus                               | Animal    | Arthropoda                 | -438500000    | -427400000   | Arctinurus
Arctomeristina                           | Animal    | Brachiopoda                | -438500000    | -430500000   | <>
Arcuaria                                 | Animal    | Arthropoda                 | -439000000    | -428200000   | <>
Argopora                                 | Animal    | Bryozoa                    | -443400000    | -433400000   | <>
Ariaspis                                 | Animal    | Chordata                   | -443400000    | -419200000   | Ariaspis
Arjamannia                               | Animal    | Mollusca                   | -438500000    | -433400000   | <>
Armenoceras                              | Animal    | Mollusca                   | -438500000    | -433400000   | Armenoceras
Asaphocrinus                             | Animal    | Echinodermata              | -443400000    | -419200000   | <>
Ascanigypa                               | Animal    | Brachiopoda                | -438500000    | -433400000   | <>
Ascoceras                                | Animal    | Mollusca                   | -443400000    | -422900000   | <>
Ascograptus                              | Animal    | Hemichordata               | -443400000    | -419200000   | <>
Aspelundia                               | Animal    | Chordata                   | -438500000    | -430500000   | <>
Asperopora                               | Animal    | Bryozoa                    | -438500000    | -433400000   | <>
Aspidopora                               | Animal    | Bryozoa                    | -438500000    | -433400000   | <>
Asthenophyllum                           | Animal    | Cnidaria                   | -438500000    | -427400000   | <>
Astraeospongium                          | Animal    | Porifera                   | -438500000    | -427400000   | <>
Astrocerium                              | Animal    | Cnidaria                   | -443400000    | -419200000   | <>
Astropentagnathus                        | Animal    | Chordata                   | -438500000    | -433400000   | <>
Astroproetus                             | Animal    | Arthropoda                 | -438500000    | -433400000   | <>
Atactotoechus                            | Animal    | Bryozoa                    | -443400000    | -433400000   | <>
Atavograptus                             | Animal    | Hemichordata               | -443400000    | -433400000   | <>
Athenaegis                               | Animal    | Chordata                   | -443400000    | -433400000   | <>
Athyris                                  | Animal    | Brachiopoda                | -443400000    | -419200000   | Athyris
Athyrisinoides                           | Animal    | Brachiopoda                | -443400000    | -433400000   | <>
Atrypa                                   | Animal    | Brachiopoda                | -438500000    | -427400000   | Atrypa
Atrypina                                 | Animal    | Brachiopoda                | -438500000    | -427400000   | <>
Atrypoidea                               | Animal    | Brachiopoda                | -438500000    | -430500000   | <>
Aulacera                                 | Animal    | Porifera                   | -449500000    | -433400000   | <>
Aulacognathus                            | Animal    | Chordata                   | -438500000    | -430500000   | <>
Aulacopleura                             | Animal    | Arthropoda                 | -438500000    | -433400000   | Aulacopleura
Aulopora                                 | Animal    | Cnidaria                   | -439000000    | -428200000   | Aulopora
Auloporella                              | Animal    | Cnidaria                   | -439000000    | -426200000   | <>
Australoacaste                           | Animal    | Arthropoda                 | -438500000    | -430500000   | <>
Australostrophia                         | Animal    | Brachiopoda                | -438500000    | -430500000   | <>
Axolasma                                 | Animal    | Cnidaria                   | -443400000    | -433400000   | <>
Bactrocrinites                           | Animal    | Echinodermata              | -443400000    | -419200000   | <>
Bairdiocypris                            | Animal    | Arthropoda                 | -443400000    | -419200000   | <>
Barrandeograptus                         | Animal    | Hemichordata               | -438500000    | -433400000   | <>
Barrandina                               | Animal    | Brachiopoda                | -443400000    | -427400000   | <>
Batocara                                 | Animal    | Arthropoda                 | -438500000    | -430500000   | Batocara
Batostoma                                | Animal    | Bryozoa                    | -438500000    | -433400000   | <>
Becsciecrinus                            | Animal    | Echinodermata              | -440800000    | -433400000   | <>
Beitaia                                  | Animal    | Brachiopoda                | -438500000    | -433400000   | <>
Belemnites                               | Animal    | Mollusca                   | -541000000    | -252170000   | Belemnites_(genus)
Belodella                                | Animal    | Chordata                   | -438500000    | -430500000   | <>
Belodina                                 | Animal    | Chordata                   | -449500000    | -427400000   | <>
Belonechitina                            | Micro     | Sarcodina                  | -438500000    | -433400000   | Belonechitina
Bembicosoma                              | Animal    | Arthropoda                 | -438500000    | -433400000   | Bembicosoma
Bessazoon                                | Animal    | Arthropoda                 | -438500000    | -433400000   | Bessazoon
Besselodus                               | Animal    | Chordata                   | -449500000    | -427400000   | <>
Bevocastria                              | Micro     | Cyanobacteria              | -443400000    | -433400000   | <>
Beyrichia                                | Animal    | Arthropoda                 | -438500000    | -430500000   | <>
Bicrenucula                              | Animal    | Mollusca                   | -443400000    | -433400000   | <>
Bicuspina                                | Animal    | Brachiopoda                | -449500000    | -433400000   | <>
Bikocrinus                               | Animal    | Echinodermata              | -443400000    | -433400000   | <>
Billevittia                              | Animal    | Arthropoda                 | -438500000    | -433400000   | <>
Birkenia                                 | Animal    | Chordata                   | -443400000    | -427400000   | Birkenia
Bitrigonocardia                          | Animal    | Mollusca                   | -443400000    | -436000000   | <>
Blakeoceras                              | Animal    | Mollusca                   | -438500000    | -427400000   | Blakeoceras
Bobellis                                 | Animal    | Mollusca                   | -438500000    | -433400000   | <>
Boiotremus                               | Animal    | Mollusca                   | -438500000    | -433400000   | <>
Bolbineossia                             | Animal    | Arthropoda                 | -438500000    | -433400000   | <>
Bolicrinus                               | Animal    | Echinodermata              | -438500000    | -433400000   | <>
Bollia                                   | Animal    | Arthropoda                 | -443400000    | -427400000   | <>
Bonnemaia                                | Animal    | Arthropoda                 | -438500000    | -433400000   | <>
Borealis                                 | Animal    | Brachiopoda                | -438500000    | -433400000   | <>
Borelasma                                | Animal    | Cnidaria                   | -438500000    | -433400000   | <>
Botryocrinus                             | Animal    | Echinodermata              | -438500000    | -427400000   | <>
Boucotinskia                             | Animal    | Brachiopoda                | -443400000    | -427400000   | <>
Brachyprion                              | Animal    | Brachiopoda                | -438500000    | -427400000   | <>
Brachytomaria                            | Animal    | Mollusca                   | -438500000    | -433400000   | <>
Bracteoleptaena                          | Animal    | Brachiopoda                | -443400000    | -419200000   | <>
Brevilamnulella                          | Animal    | Brachiopoda                | -438500000    | -433400000   | <>
Brianurus                                | Animal    | Arthropoda                 | -438500000    | -433400000   | <>
Brockocystis                             | Animal    | Echinodermata              | -443400000    | -433400000   | <>
Brongniartella                           | Animal    | Arthropoda                 | -443400000    | -419200000   | Brongniartella
Brooksina                                | Animal    | Brachiopoda                | -443400000    | -419200000   | <>
Bryantodus                               | Animal    | Chordata                   | -443400000    | -419200000   | <>
Bucanella                                | Animal    | Mollusca                   | -438500000    | -433400000   | <>
Bucania                                  | Animal    | Mollusca                   | -438500000    | -433400000   | <>
Bucanopsis                               | Animal    | Mollusca                   | -438500000    | -433400000   | <>
Bucucrinus                               | Animal    | Echinodermata              | -440800000    | -433400000   | <>
Bumastus                                 | Animal    | Arthropoda                 | -438500000    | -430500000   | Bumastus
Bursachitina                             | Micro     | Sarcodina                  | -438500000    | -433400000   | Bursachitina
Bythocypris                              | Animal    | Arthropoda                 | -443400000    | -423000000   | <>
Calamospora                              | Plant     | Sphenophyta                | -443400000    | -419200000   | <>
Calapoecia                               | Animal    | Cnidaria                   | -449500000    | -433400000   | <>
Calceocrinus                             | Animal    | Echinodermata              | -443400000    | -419200000   | <>
Calliocrinus                             | Animal    | Echinodermata              | -438500000    | -427400000   | <>
Callistocrinus                           | Animal    | Echinodermata              | -443400000    | -433400000   | <>
Callocystites                            | Animal    | Echinodermata              | -438500000    | -427400000   | <>
Calocyrtocerina                          | Animal    | Mollusca                   | -438500000    | -433400000   | <>
Calostylis                               | Animal    | Cnidaria                   | -439000000    | -428200000   | <>
Calpichitina                             | Micro     | Rhizopodea                 | -438500000    | -433400000   | <>
Calymene                                 | Animal    | Arthropoda                 | -438500000    | -427400000   | Calymene
Calymenella                              | Animal    | Arthropoda                 | -438500000    | -433400000   | Calymenella
Camarotoechia                            | Animal    | Brachiopoda                | -438500000    | -427400000   | Camarotoechia
Camerella                                | Animal    | Brachiopoda                | -438500000    | -427400000   | <>
Campograptus                             | Animal    | Hemichordata               | -440800000    | -433400000   | <>
Campophyllum                             | Animal    | Cnidaria                   | -440800000    | -433400000   | <>
Camptodictyon                            | Animal    | Porifera                   | -438500000    | -433400000   | <>
Camptolithus                             | Animal    | Cnidaria                   | -443400000    | -419200000   | <>
Cannapora                                | Animal    | Cnidaria                   | -443400000    | -433400000   | <>
Cantrillia                               | Animal    | Cnidaria                   | -438500000    | -433400000   | <>
Capelliniella                            | Animal    | Brachiopoda                | -443400000    | -427400000   | <>
Capnophyllum                             | Animal    | Cnidaria                   | -443400000    | -419200000   | Capnophyllum
Carcinosoma                              | Animal    | Arthropoda                 | -438500000    | -433400000   | Carcinosoma
Cardavia                                 | Animal    | Mollusca                   | -438500000    | -433400000   | <>
Cardiola                                 | Animal    | Mollusca                   | -438500000    | -427400000   | Cardiola
Carniodus                                | Animal    | Chordata                   | -438500000    | -430500000   | Carniodus
Carpocrinus                              | Animal    | Echinodermata              | -438500000    | -433400000   | <>
Caryocaris                               | Animal    | Arthropoda                 | -443400000    | -419200000   | <>
Caryocrinites                            | Animal    | Echinodermata              | -438500000    | -427400000   | <>
Caryogyps                                | Animal    | Brachiopoda                | -443400000    | -427400000   | <>
Catatonocrinus                           | Animal    | Echinodermata              | -443400000    | -427400000   | <>
Catazone                                 | Animal    | Mollusca                   | -438500000    | -433400000   | <>
Catazyga                                 | Animal    | Brachiopoda                | -443400000    | -433400000   | <>
Catenipora                               | Animal    | Cnidaria                   | -438500000    | -430500000   | Catenipora
Caudicriodus                             | Animal    | Chordata                   | -443400000    | -410800000   | <>
Cephalograptus                           | Animal    | Hemichordata               | -440800000    | -433400000   | <>
Ceramopora                               | Animal    | Bryozoa                    | -438500000    | -430500000   | Ceramopora
Ceramoporella                            | Animal    | Bryozoa                    | -438500000    | -433400000   | <>
Cerasina                                 | Animal    | Brachiopoda                | -438500000    | -433400000   | <>
Ceratocephala                            | Animal    | Arthropoda                 | -438500000    | -433400000   | Ceratocephala_(trilobite)
Ceraurinus                               | Animal    | Arthropoda                 | -449500000    | -433400000   | Ceraurinus
Cerauromeros                             | Animal    | Arthropoda                 | -443400000    | -427400000   | Cerauromeros
Ceriaster                                | Animal    | Cnidaria                   | -438500000    | -433400000   | <>
Chaetetes                                | Animal    | Porifera                   | -438500000    | -433400000   | Chaetetes
Chaetosalpinx                            | Animal    | Annelida                   | -443400000    | -436000000   | Chaetosalpinx
Charactocrinus                           | Animal    | Echinodermata              | -443400000    | -427400000   | <>
Chasmatopora                             | Animal    | Bryozoa                    | -438500000    | -433400000   | Chasmatopora
Cheilotrypa                              | Animal    | Bryozoa                    | -443400000    | -419200000   | <>
Cheirocrinus                             | Animal    | Echinodermata              | -443400000    | -427400000   | <>
Cheirurus                                | Animal    | Arthropoda                 | -438500000    | -427400000   | Cheirurus
Chenocrinus                              | Animal    | Echinodermata              | -438500000    | -433400000   | <>
Chilobolbina                             | Animal    | Arthropoda                 | -438500000    | -433400000   | <>
Chiozoon                                 | Animal    | Arthropoda                 | -438500000    | -433400000   | Chiozoon
Chonetes                                 | Animal    | Brachiopoda                | -438500000    | -433400000   | Chonetes
Chonetoidea                              | Animal    | Brachiopoda                | -443400000    | -433400000   | <>
Chonophyllum                             | Animal    | Cnidaria                   | -438500000    | -433400000   | <>
Chuanqianoproetus                        | Animal    | Arthropoda                 | -438500000    | -430500000   | <>
Cimitaria                                | Animal    | Mollusca                   | -439000000    | -426200000   | <>
Cincinnetina                             | Animal    | Brachiopoda                | -440800000    | -433400000   | Cincinnetina
Cladochonus                              | Animal    | Cnidaria                   | -443400000    | -433400000   | Cladochonus
Cladopora                                | Animal    | Cnidaria                   | -438500000    | -433400000   | <>
Clarkeia                                 | Animal    | Brachiopoda                | -443400000    | -423000000   | Clarkeia
Clathrochitina                           | Micro     | Sarcodina                  | -438500000    | -433400000   | Clathrochitina
Clathrodictyon                           | Animal    | Porifera                   | -438500000    | -427400000   | <>
Clathropora                              | Animal    | Bryozoa                    | -443400000    | -422900000   | <>
Clavidictyon                             | Animal    | Porifera                   | -443400000    | -433400000   | <>
Clematocrinus                            | Animal    | Echinodermata              | -443400000    | -433400000   | <>
Clidophorus                              | Animal    | Mollusca                   | -443400000    | -423000000   | <>
Climacograptus                           | Animal    | Hemichordata               | -438500000    | -433400000   | Climacograptus
Clinoclimacograptus                      | Animal    | Hemichordata               | -443400000    | -419200000   | <>
Clintonella                              | Animal    | Brachiopoda                | -438500000    | -427400000   | <>
Clisiophyllum                            | Animal    | Cnidaria                   | -438500000    | -430500000   | <>
Clorilamnulella                          | Animal    | Brachiopoda                | -438500000    | -433400000   | <>
Clorinda                                 | Animal    | Brachiopoda                | -438500000    | -427400000   | <>
Coelocaulus                              | Animal    | Mollusca                   | -438500000    | -427400000   | <>
Coelocerodontus                          | Animal    | Chordata                   | -438500000    | -433400000   | <>
Coelocyclus                              | Animal    | Mollusca                   | -440800000    | -433400000   | <>
Coelospira                               | Animal    | Brachiopoda                | -438500000    | -433400000   | <>
Coelozone                                | Animal    | Mollusca                   | -438500000    | -433400000   | <>
Coenites                                 | Animal    | Cnidaria                   | -438500000    | -433400000   | Coenites
Colpomya                                 | Animal    | Mollusca                   | -438500000    | -433400000   | <>
Columenoceras                            | Animal    | Mollusca                   | -443400000    | -433400000   | <>
Compacoleus                              | Animal    | Annelida                   | -438500000    | -433400000   | <>
Compsocrinus                             | Animal    | Echinodermata              | -443400000    | -433400000   | <>
Conbathella                              | Animal    | Arthropoda                 | -443400000    | -422900000   | <>
Conchidium                               | Animal    | Brachiopoda                | -438500000    | -427400000   | Conchidium
Condracypris                             | Animal    | Arthropoda                 | -443400000    | -419200000   | <>
Conocardium                              | Animal    | Mollusca                   | -438500000    | -433400000   | Conocardium
Conotoma                                 | Animal    | Mollusca                   | -443400000    | -422900000   | <>
Contortophyllum                          | Animal    | Cnidaria                   | -443400000    | -419200000   | <>
Contracheirurus                          | Animal    | Arthropoda                 | -443400000    | -427400000   | Contracheirurus
Conularia                                | Animal    | Cnidaria                   | -438500000    | -433400000   | <>
Cooksonia                                | Plant     | Psilophytophyta            | -443400000    | -419200000   | Cooksonia
Copenychia                               | Animal    | Mollusca                   | -438500000    | -433400000   | <>
Cordylodus                               | Animal    | Chordata                   | -443400000    | -419200000   | Cordylodus
