Aaptoryctes                              | Animal    | Chordata                   | -56800000     | -55800000    | <>
Aatotomus                                | Animal    | Chordata                   | -61700000     | -56800000    | <>
Abdounia                                 | Animal    | Chordata                   | -58700000     | -55800000    | Abdounia
Abelia                                   | Plant     | Spermatophyta              | -59200000     | -56000000    | Abelia
Aberisphaera                             | Micro     | Foraminifera               | -59200000     | -47800000    | <>
Aboletylestes                            | Animal    | Chordata                   | -59200000     | -56000000    | <>
Acanthodiscus Centrales                  | Plant     | Ochrophyta                 | -66000000     | -56000000    | <>
Acarinina                                | Micro     | Foraminifera               | -59200000     | -56000000    | Acarinina
Acar                                     | Animal    | Mollusca                   | -66000000     | -56000000    | Acar
Acer                                     | Plant     | Spermatophyta              | -56800000     | -55800000    | Acer
Acervulina                               | Micro     | Foraminifera               | -58700000     | -48600000    | <>
Acesta                                   | Animal    | Mollusca                   | -61600000     | -47800000    | Acesta
Acheronodon                              | Animal    | Chordata                   | -61700000     | -56800000    | Acheronodon
Acherontisuchus                          | Animal    | Chordata                   | -61700000     | -55800000    | Acherontisuchus
Acicularia                               | Plant     | Chlorophyta                | -59200000     | -47800000    | Acicularia
Aciculella                               | Plant     | Chlorophyta                | -66000000     | -56000000    | <>
Acidomomys                               | Animal    | Chordata                   | -56800000     | -55800000    | Acidomomys
Acila                                    | Animal    | Mollusca                   | -66000000     | -56000000    | Acila
Acipenser                                | Animal    | Chordata                   | -61700000     | -56800000    | Acipenser
Acirsa                                   | Animal    | Mollusca                   | -59200000     | -56000000    | Acirsa
Acleistochelys                           | Animal    | Chordata                   | -61700000     | -55800000    | <>
Acmaea                                   | Animal    | Mollusca                   | -59200000     | -56000000    | Acmaea
Acmeodon                                 | Animal    | Chordata                   | -61700000     | -56800000    | <>
Acmopyle                                 | Plant     | Coniferophyta              | -100500000    | -55800000    | Acmopyle
Acrilla                                  | Animal    | Mollusca                   | -59200000     | -56000000    | <>
Acritoparamys                            | Animal    | Chordata                   | -56800000     | -55800000    | <>
Acrocoelum                               | Animal    | Mollusca                   | -59200000     | -56000000    | <>
Acrodus                                  | Animal    | Chordata                   | -59200000     | -56000000    | Acrodus
Acropoma                                 | Animal    | Chordata                   | -59200000     | -56000000    | Acropoma
Acropora                                 | Animal    | Cnidaria                   | -59200000     | -56000000    | Acropora
Acroporella                              | Plant     | Chlorophyta                | -59200000     | -47800000    | <>
Acrosmilia                               | Animal    | Cnidaria                   | -61600000     | -56000000    | <>
Acrostichum                              | Plant     | Pteridophyta               | -61700000     | -55800000    | Acrostichum
Actaeites                                | Animal    | Arthropoda                 | -66000000     | -23030000    | <>
Acteocina                                | Animal    | Mollusca                   | -59200000     | -56000000    | Acteocina
Acteon                                   | Animal    | Mollusca                   | -59200000     | -47800000    | Acteon
Actinacis                                | Animal    | Cnidaria                   | -59200000     | -56000000    | <>
Actinastrea                              | Animal    | Cnidaria                   | -58700000     | -55800000    | <>
Actinodonta                              | Animal    | Mollusca                   | -56800000     | -55800000    | <>
Actinoptychus                            | Plant     | Ochrophyta                 | -66000000     | -56000000    | Actinoptychus
Actinosiphon                             | Micro     | Foraminifera               | -58700000     | -55800000    | <>
Acuticosta                               | Animal    | Mollusca                   | -58700000     | -55800000    | <>
Acutostrea                               | Animal    | Mollusca                   | -58700000     | -48600000    | <>
Adapisorex                               | Animal    | Chordata                   | -59200000     | -56000000    | <>
Adapisoriculus                           | Animal    | Chordata                   | -59200000     | -56000000    | <>
Adelopneustes                            | Animal    | Echinodermata              | -59200000     | -56000000    | <>
Adeonellopsis                            | Animal    | Bryozoa                    | -66000000     | 2030         | <>
