Aboilus                                  | Animal    | Arthropoda                 | -152100000    | -145000000   | <>
Abyssophthalmus                          | Animal    | Arthropoda                 | -150800000    | -145000000   | <>
Acaeniotyle                              | Micro     | Radiolaria                 | -150800000    | -140200000   | <>
Acanthochirana                           | Animal    | Arthropoda                 | -155700000    | -150800000   | Acanthochirana
Acanthocircus                            | Micro     | Radiolaria                 | -150800000    | -139800000   | <>
Acanthodiscus Neocomitidae               | Animal    | Mollusca                   | -163500000    | -145000000   | Acanthodiscus
Acanthogyra                              | Animal    | Cnidaria                   | -150800000    | -145000000   | <>
Acanthorhynchia                          | Animal    | Brachiopoda                | -152100000    | -145000000   | <>
Acanthosphaera                           | Micro     | Radiolaria                 | -150800000    | -139800000   | Acanthosphaera
Acanthoteuthis                           | Animal    | Mollusca                   | -155700000    | -150800000   | Acanthoteuthis
Acastea                                  | Micro     | Radiolaria                 | -150800000    | -139800000   | <>
Acervulina                               | Micro     | Foraminifera               | -150800000    | -145000000   | <>
Acesta                                   | Animal    | Mollusca                   | -150800000    | -145000000   | Acesta
Acharax                                  | Animal    | Mollusca                   | -150800000    | -145000000   | <>
Achelonia                                | Animal    | Chordata                   | -155700000    | -150800000   | Achelonia
Achistrum                                | Animal    | Echinodermata              | -155700000    | -150800000   | Achistrum
Acicularia                               | Plant     | Chlorophyta                | -150800000    | -145000000   | Acicularia
Aclistochara                             | Plant     | Charophyta                 | -157300000    | -145000000   | <>
Acrocidaris                              | Animal    | Echinodermata              | -150800000    | -145000000   | <>
Acrocoelites                             | Animal    | Mollusca                   | -152100000    | -145000000   | Acrocoelites
Acrodus                                  | Animal    | Chordata                   | -163500000    | -145000000   | Acrodus
Acropeltis                               | Animal    | Echinodermata              | -150800000    | -145000000   | <>
Acrosaurus                               | Animal    | Chordata                   | -150800000    | -145000000   | <>
Acrosmilia                               | Animal    | Cnidaria                   | -150800000    | -145000000   | <>
Acrostichopteris                         | Plant     | Pteridophyta               | -163500000    | -145000000   | <>
Acroura                                  | Animal    | Echinodermata              | -155700000    | -150800000   | <>
Acruliammina                             | Micro     | Foraminifera               | -150800000    | -145000000   | <>
Actea                                    | Animal    | Arthropoda                 | -150800000    | -145000000   | <>
Acteonina                                | Animal    | Mollusca                   | -150800000    | -145000000   | <>
Actinaraea                               | Animal    | Cnidaria                   | -150800000    | -145000000   | <>
Actinastrea                              | Animal    | Cnidaria                   | -150800000    | -145000000   | <>
Actinomma                                | Micro     | Radiolaria                 | -150800000    | -139800000   | <>
Actinoporella                            | Plant     | Chlorophyta                | -150800000    | -145000000   | <>
Actinostreon                             | Animal    | Mollusca                   | -150800000    | -145000000   | <>
Actinostromarianina                      | Animal    | Porifera                   | -150800000    | -145000000   | <>
Actinostromina                           | Animal    | Porifera                   | -152100000    | -145000000   | <>
Actostroma                               | Animal    | Porifera                   | -163500000    | -145000000   | <>
Acusten                                  | Micro     | Radiolaria                 | -150800000    | -140200000   | <>
Acuticassis                              | Micro     | Radiolaria                 | -150800000    | -145000000   | <>
Acuticostites                            | Animal    | Mollusca                   | -150800000    | -145000000   | Acuticostites
Adelocoenia                              | Animal    | Cnidaria                   | -150800000    | -145000000   | <>
Adiantites                               | Plant     | Ginkgophyta                | -163500000    | -145000000   | <>
Adiantopteris                            | Plant     | Pteridophyta               | -157300000    | -145000000   | <>
Adiantum                                 | Plant     | Pteridophyta               | -157300000    | -145000000   | Adiantum
