Aaleniella                               | Animal    | Arthropoda                 | -175600000    | -171600000   | <>
Abbasites                                | Animal    | Mollusca                   | -175600000    | -171600000   | Abbasites
Abbasitoides                             | Animal    | Mollusca                   | -175600000    | -171600000   | <>
Abiadisaurus                             | Animal    | Chordata                   | -237000000    | -163500000   | Abiadisaurus
Abietites                                | Plant     | Coniferophyta              | -201300000    | -174100000   | <>
Aboilus                                  | Animal    | Arthropoda                 | -182700000    | -174100000   | <>
Acaeniotyle                              | Micro     | Radiolaria                 | -182000000    | -175600000   | <>
Acaeniotylopsis                          | Micro     | Radiolaria                 | -175600000    | -168300000   | <>
Acanthocircus                            | Micro     | Radiolaria                 | -175600000    | -171600000   | <>
Acanthodesmia                            | Micro     | Radiolaria                 | -190800000    | -168300000   | <>
Acanthopleuroceras                       | Animal    | Mollusca                   | -201300000    | -174100000   | Acanthopleuroceras
Acanthorhina                             | Animal    | Chordata                   | -183000000    | -182000000   | Acanthorhina
Acanthothiris                            | Animal    | Brachiopoda                | -175600000    | -171600000   | <>
Acanthothyropsis                         | Animal    | Brachiopoda                | -175600000    | -171600000   | <>
Acastea                                  | Micro     | Radiolaria                 | -175600000    | -171600000   | <>
Acesta                                   | Animal    | Mollusca                   | -201300000    | -145000000   | Acesta
Acridiopsis                              | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Acrocoelites                             | Animal    | Mollusca                   | -175600000    | -171600000   | Acrocoelites
Acrocythere                              | Animal    | Arthropoda                 | -175600000    | -171600000   | <>
Acromocoris                              | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Acrosalenia                              | Animal    | Echinodermata              | -182700000    | -174100000   | <>
Acrostichites                            | Plant     | Pteridophyta               | -201300000    | -174100000   | <>
Acteonina                                | Animal    | Mollusca                   | -182700000    | -174100000   | <>
Actinaraea                               | Animal    | Cnidaria                   | -175600000    | -171600000   | <>
Actinastrea                              | Animal    | Cnidaria                   | -182700000    | -174100000   | <>
Actinomma                                | Micro     | Radiolaria                 | -175600000    | -171600000   | <>
Actinophlebia                            | Animal    | Arthropoda                 | -183000000    | -182000000   | Actinophlebia
Actinoptilon                             | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Actinostreon                             | Animal    | Mollusca                   | -180100000    | -175600000   | <>
Acuneopsis                               | Animal    | Mollusca                   | -201300000    | -163500000   | <>
Adelocoris                               | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Adelophlebia                             | Animal    | Arthropoda                 | -182700000    | -174100000   | <>
Ademosynoides                            | Animal    | Arthropoda                 | -182700000    | -174100000   | <>
Adeopapposaurus                          | Animal    | Chordata                   | -201300000    | -174100000   | Adeopapposaurus
Aeger                                    | Animal    | Arthropoda                 | -175600000    | -171600000   | Aeger
Aenne                                    | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Aeolisaccus                              | Micro     | Foraminifera               | -182700000    | -174100000   | <>
Agaleus                                  | Animal    | Chordata                   | -182700000    | -174100000   | Agaleus
Agathoxylon                              | Plant     | Pinophyta                  | -201300000    | -174100000   | Agathoxylon
Agerchlamys                              | Animal    | Mollusca                   | -182700000    | -174100000   | <>
Agmatozoon                               | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Agrilium                                 | Animal    | Arthropoda                 | -182700000    | -170300000   | <>
Aguilerella                              | Animal    | Mollusca                   | -182700000    | -174100000   | <>
Alievium                                 | Micro     | Radiolaria                 | -182000000    | -175600000   | <>
Alisporites                              | Plant     | Gymnospermophyta           | -175600000    | -171600000   | <>
Allkaruen                                | Animal    | Chordata                   | -180100000    | -168400000   | Allkaruen
Allocoeniopsis                           | Animal    | Cnidaria                   | -175600000    | -171600000   | <>
Allocosmia                               | Animal    | Mollusca                   | -175600000    | -171600000   | <>
Allognosis                               | Animal    | Arthropoda                 | -182700000    | -170300000   | <>
Allolimulus                              | Animal    | Arthropoda                 | -175600000    | -171600000   | <>
Alocolytoceras                           | Animal    | Mollusca                   | -175600000    | -171600000   | Alocolytoceras
Amaltheocrinus                           | Animal    | Echinodermata              | -189600000    | -171600000   | <>
Amaltheus                                | Animal    | Mollusca                   | -189600000    | -182000000   | Amaltheus
Ambercyclus                              | Animal    | Mollusca                   | -180100000    | -175600000   | <>
Amberleya                                | Animal    | Mollusca                   | -175600000    | -171600000   | <>
Amblycephalonius                         | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Amblylexis                               | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Amblyopteron                             | Animal    | Arthropoda                 | -182700000    | -174100000   | <>
Ambulocapsa                              | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Amdrupia                                 | Plant     | Gymnospermophyta           | -201300000    | -174100000   | <>
Amianta                                  | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Ammobaculites                            | Micro     | Foraminifera               | -175600000    | -171600000   | <>
Ammonites                                | Animal    | Mollusca                   | -201300000    | -174100000   | Ammonites
Ammopalmula                              | Micro     | Foraminifera               | -180100000    | -175600000   | <>
Ampakabastraea                           | Animal    | Cnidaria                   | -182700000    | -174100000   | <>
Amphibrachium                            | Micro     | Radiolaria                 | -182000000    | -175600000   | <>
Amphipromeca                             | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Amphitrochus                             | Animal    | Mollusca                   | -175600000    | -171600000   | <>
Amphorispermum                           | Plant     | Ginkgophyta                | -201300000    | -174100000   | <>
Amphoxyne                                | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Amuria                                   | Micro     | Radiolaria                 | -183000000    | -182000000   | Amuria
Amusium                                  | Animal    | Mollusca                   | -182700000    | -170300000   | Amusium
Amygdalodon                              | Animal    | Chordata                   | -190800000    | -182000000   | Amygdalodon
Analytoceras                             | Animal    | Mollusca                   | -201300000    | -174100000   | Analytoceras
Anancaeon                                | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Anaticapitula                            | Micro     | Radiolaria                 | -182000000    | -175600000   | <>
Anchisauripus                            | Animal    | Chordata                   | -190800000    | -174100000   | Anchisauripus
Andemantastraea                          | Animal    | Cnidaria                   | -175600000    | -171600000   | <>
Androstrobus                             | Plant     | Cycadophyta                | -201300000    | -145000000   | <>
Angaragabus                              | Animal    | Arthropoda                 | -182700000    | -174100000   | <>
Angaria                                  | Animal    | Mollusca                   | -175600000    | -171600000   | Angaria
Angarogryllus                            | Animal    | Arthropoda                 | -182700000    | -174100000   | <>
Angarogyrus                              | Animal    | Arthropoda                 | -182700000    | -174100000   | Angarogyrus
Angarohagla                              | Animal    | Arthropoda                 | -182700000    | -174100000   | <>
Angarolarva                              | Animal    | Arthropoda                 | -182700000    | -174100000   | <>
Angaroneura                              | Animal    | Arthropoda                 | -182700000    | -174100000   | <>
Angulobracchia                           | Micro     | Radiolaria                 | -175600000    | -171600000   | <>
Angulomphalus                            | Animal    | Mollusca                   | -183000000    | -182000000   | <>
Anisicyrtis                              | Micro     | Radiolaria                 | -175600000    | -171600000   | <>
Anisocardia                              | Animal    | Mollusca                   | -182000000    | -175600000   | <>
Anisozygopteron                          | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Ankylokypha                              | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Annea                                    | Animal    | Chordata                   | -175600000    | -168400000   | Annea
Anningella                               | Animal    | Mollusca                   | -201300000    | -174100000   | <>
Annulariopsis                            | Plant     | Sphenophyta                | -182700000    | -174100000   | <>
Anomerus                                 | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Anomia                                   | Animal    | Mollusca                   | -180100000    | -170300000   | Anomia
Anomoepus                                | Animal    | Chordata                   | -182700000    | -174100000   | Anomoepus
Anomothemis                              | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Anomozamites                             | Plant     | Cycadeoideophyta           | -175600000    | -171600000   | <>
Anosmus                                  | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Antefungivora                            | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Antevsia                                 | Plant     | Peltaspermophyta           | -208500000    | -174100000   | <>
Anthrophyopsis                           | Plant     | Cycadophyta                | -201300000    | -174100000   | <>
Anticonulus                              | Animal    | Mollusca                   | -189600000    | -175600000   | <>
Antiptychina                             | Animal    | Brachiopoda                | -175600000    | -171600000   | <>
Antiquicyprina                           | Animal    | Mollusca                   | -175600000    | -161200000   | <>
Antiquilima                              | Animal    | Mollusca                   | -189600000    | -182000000   | <>
Anulifera                                | Animal    | Mollusca                   | -189600000    | -182000000   | Anulifera
Anypostatus                              | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Apeirophlebia                            | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Aphelocythere                            | Animal    | Arthropoda                 | -175600000    | -171600000   | <>
Aphidulum                                | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Aphlebocoris                             | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Apicasia                                 | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Apioderes                                | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Apiopyrenides                            | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Apistogrypotes                           | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Apopnus                                  | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Aposphinctus                             | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Apringia                                 | Animal    | Brachiopoda                | -189600000    | -175600000   | <>
Apsicoria                                | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Apsychus                                 | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Aptilotitus                              | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Araiophyllum                             | Animal    | Cnidaria                   | -175600000    | -171600000   | <>
Araucariacites                           | Plant     | Pinophyta                  | -175600000    | -171600000   | <>
Araucarioxylon                           | Plant     | Pinophyta                  | -201300000    | -174100000   | Araucarioxylon
