Abelmoschomys                            | Animal    | Chordata                   | -13600000     | -10300000    | <>
Abertella                                | Animal    | Echinodermata              | -15970000     | -11608000    | <>
Abies                                    | Plant     | Pinophyta                  | -11608000     | -5333000     | Abies
Aboma                                    | Animal    | Chordata                   | -23030000     | -5333000     | Aboma
Abothrodon                               | Animal    | Chordata                   | -11620000     | -7246000     | <>
Abra                                     | Animal    | Mollusca                   | -11620000     | -7246000     | Abra
Abrocoma                                 | Animal    | Chordata                   | -9000000      | -6800000     | Abrocoma
Abruzzoichthys                           | Animal    | Chordata                   | -15970000     | -11608000    | <>
Absalomichthys                           | Animal    | Chordata                   | -11608000     | -5333000     | Absalomichthys
Acacia                                   | Plant     | Spermatophyta              | -23030000     | -2588000     | Acacia
Acaena                                   | Plant     | Spermatophyta              | -28400000     | -11608000    | Acaena
Acamptogenotia                           | Animal    | Mollusca                   | -11620000     | -7246000     | Acamptogenotia
Acanthastrea                             | Animal    | Cnidaria                   | -11608000     | -5333000     | Acanthastrea
Acanthina                                | Animal    | Mollusca                   | -11608000     | -5333000     | Acanthina
Acanthocardia                            | Animal    | Mollusca                   | -11608000     | -5333000     | Acanthocardia
Acanthocella                             | Animal    | Bryozoa                    | -33900000     | -5333000     | <>
Acanthochitona                           | Animal    | Mollusca                   | -11608000     | -5333000     | Acanthochitona
Acanthocythereis                         | Animal    | Arthropoda                 | -11620000     | -7246000     | <>
Acanthoderes                             | Animal    | Arthropoda                 | -12700000     | -11608000    | Acanthoderes
Acanthodesia                             | Animal    | Bryozoa                    | -11608000     | -5333000     | <>
Acantholyda                              | Animal    | Arthropoda                 | -8700000      | -5333000     | Acantholyda
Acanthosoma                              | Animal    | Arthropoda                 | -11620000     | -7246000     | Acanthosoma
Acarechimys                              | Animal    | Chordata                   | -11608000     | -5333000     | <>
Acar                                     | Animal    | Mollusca                   | -11608000     | -5333000     | Acar
Acentrophryne                            | Animal    | Chordata                   | -13600000     | -10300000    | Acentrophryne
Aceratherium                             | Animal    | Chordata                   | -11100000     | -9700000     | Aceratherium
Acerina                                  | Animal    | Chordata                   | -11608000     | -5333000     | <>
Acerinucleus                             | Animal    | Bryozoa                    | -33900000     | -5333000     | <>
