Abatocrinus                              | Animal    | Echinodermata              | -353800000    | -342800000   | <>
Abrotocrinus                             | Animal    | Echinodermata              | -353800000    | -342800000   | Abrotocrinus
Acambona                                 | Animal    | Brachiopoda                | -358900000    | -346700000   | <>
Acanthatia                               | Animal    | Brachiopoda                | -358900000    | -346700000   | <>
Acanthocladia                            | Animal    | Bryozoa                    | -358900000    | -323200000   | <>
Acanthocosta                             | Animal    | Brachiopoda                | -358900000    | -346700000   | <>
Acanthocrania                            | Animal    | Brachiopoda                | -358900000    | -346700000   | <>
Acanthodes                               | Animal    | Chordata                   | -358900000    | -330900000   | Acanthodes
Acanthopecten                            | Animal    | Mollusca                   | -353800000    | -345000000   | <>
Acanthoplecta                            | Animal    | Brachiopoda                | -353800000    | -345000000   | <>
Achistrum                                | Animal    | Echinodermata              | -358900000    | -323200000   | Achistrum
Achlamydocarpon                          | Plant     | Lycophyta                  | -358900000    | -323200000   | <>
Aclisina                                 | Animal    | Mollusca                   | -358900000    | -346700000   | <>
Acondylacanthus                          | Animal    | Chordata                   | -358900000    | -323200000   | Acondylacanthus
Acratia                                  | Animal    | Arthropoda                 | -358900000    | -346700000   | <>
Acrocanites                              | Animal    | Mollusca                   | -353800000    | -345300000   | <>
Acrocyathus                              | Animal    | Cnidaria                   | -358900000    | -298900000   | <>
Acrolepis                                | Animal    | Chordata                   | -353800000    | -345000000   | Acrolepis
Actinoconchus                            | Animal    | Brachiopoda                | -353800000    | -342800000   | Actinoconchus
Actinocrinites                           | Animal    | Echinodermata              | -353800000    | -342800000   | Actinocrinites
Actinopteria                             | Animal    | Mollusca                   | -358900000    | -323200000   | <>
Acuminothyris                            | Animal    | Brachiopoda                | -358900000    | -346700000   | <>
Acutimitoceras                           | Animal    | Mollusca                   | -358900000    | -346700000   | Acutimitoceras
Adamantina                               | Animal    | Chordata                   | -358900000    | -346700000   | Adamantina
Adiantites                               | Plant     | Ginkgophyta                | -358900000    | -298900000   | <>
Adinocrinus                              | Animal    | Echinodermata              | -353800000    | -342800000   | <>
Adolfia                                  | Animal    | Brachiopoda                | -358900000    | -346700000   | <>
Aganaster                                | Animal    | Echinodermata              | -358900000    | -346700000   | <>
Agaricocrinus                            | Animal    | Echinodermata              | -353800000    | -342800000   | Agaricocrinus
Agnesia                                  | Animal    | Mollusca                   | -353800000    | -342800000   | Agnesia
Aipoceras                                | Animal    | Mollusca                   | -358900000    | -353800000   | Aipoceras
Akmonistion                              | Animal    | Chordata                   | -358900000    | -298900000   | Akmonistion
Albaillella                              | Micro     | Radiolaria                 | -358900000    | -346700000   | <>
Albalimulus                              | Animal    | Arthropoda                 | -358900000    | -346700000   | <>
Alcicornopteris                          | Plant     | Pteridophyta               | -358900000    | -323200000   | <>
Alispirifer                              | Animal    | Brachiopoda                | -353800000    | -342800000   | <>
Alisporites                              | Plant     | Gymnospermophyta           | -358900000    | -252170000   | <>
Allagecrinus                             | Animal    | Echinodermata              | -358900000    | -353800000   | <>
Allocatillocrinus                        | Animal    | Echinodermata              | -358900000    | -298900000   | <>
Alloprosallocrinus                       | Animal    | Echinodermata              | -353800000    | -342800000   | <>
Allorhynchus                             | Animal    | Brachiopoda                | -358900000    | -342800000   | <>
Allorisma                                | Animal    | Mollusca                   | -353800000    | -345000000   | <>
Allotropiophyllum                        | Animal    | Cnidaria                   | -353800000    | -345300000   | <>
Amabilicrinus                            | Animal    | Echinodermata              | -358900000    | -345300000   | <>
Ambocoelia                               | Animal    | Brachiopoda                | -358900000    | -298900000   | <>
Amelacanthus                             | Animal    | Chordata                   | -358900000    | -323200000   | Amelacanthus
Ameropiltonia                            | Animal    | Arthropoda                 | -358900000    | -353800000   | <>
Ameura                                   | Animal    | Arthropoda                 | -358900000    | -323200000   | <>
Ammobaculites                            | Micro     | Foraminifera               | -358900000    | -353800000   | <>
Ammodiscus                               | Micro     | Foraminifera               | -358900000    | -353800000   | Ammodiscus
Ammonellipsites                          | Animal    | Mollusca                   | -353800000    | -342800000   | Ammonellipsites
Amphipsalidocrinus                       | Animal    | Echinodermata              | -358900000    | -353800000   | <>
Amphiscapha                              | Animal    | Mollusca                   | -358900000    | -298900000   | Amphiscapha
Amphissites                              | Animal    | Arthropoda                 | -358900000    | -346700000   | <>
Amplexizaphrentis                        | Animal    | Cnidaria                   | -353800000    | -342800000   | <>
Amplexocarinia                           | Animal    | Cnidaria                   | -353800000    | -345000000   | <>
Amplexus                                 | Animal    | Cnidaria                   | -353800000    | -342800000   | Amplexus
Amygdalophyllum                          | Animal    | Cnidaria                   | -358900000    | -346700000   | <>
Anapiculatisporites                      | Plant     | Bryophyta                  | -358900000    | -298900000   | <>
Aneimites                                | Plant     | Peltaspermophyta           | -358900000    | -298900000   | <>
Anematina                                | Animal    | Mollusca                   | -358900000    | -346700000   | <>
Angiospirifer                            | Animal    | Brachiopoda                | -358900000    | -323200000   | <>
Angulodus                                | Animal    | Chordata                   | -358900000    | -346700000   | <>
Angustispatulata                         | Animal    | Brachiopoda                | -358900000    | -346700000   | <>
Angyomphalus                             | Animal    | Mollusca                   | -358900000    | -346700000   | <>
Anisotrypa                               | Animal    | Bryozoa                    | -358900000    | -323200000   | <>
Ankhelasma                               | Animal    | Cnidaria                   | -353800000    | -342800000   | <>
Annularia                                | Plant     | Sphenophyta                | -358900000    | -252170000   | Annularia
Annuliconcha                             | Animal    | Mollusca                   | -358900000    | -323200000   | <>
Anomphalus                               | Animal    | Mollusca                   | -358900000    | -353800000   | Anomphalus
Anopliopsis                              | Animal    | Brachiopoda                | -358900000    | -353800000   | <>
Antegoniatites                           | Animal    | Mollusca                   | -358900000    | -346700000   | <>
Antholithes                              | Plant     | Pteridospermophyta         | -358900000    | -298900000   | <>
Anthracoceras                            | Animal    | Mollusca                   | -358900000    | -346700000   | Anthracoceras
Anthracodesmus                           | Animal    | Arthropoda                 | -358900000    | -346700000   | <>
Anthracospirifer                         | Animal    | Brachiopoda                | -358900000    | -298900000   | <>
Anthroosasterias                         | Animal    | Echinodermata              | -358900000    | -298900000   | <>
Antiquatonia                             | Animal    | Brachiopoda                | -353800000    | -345000000   | <>
Aorocrinus                               | Animal    | Echinodermata              | -358900000    | -346700000   | <>
Apatognathus                             | Animal    | Chordata                   | -353800000    | -345300000   | <>
Aphelaeceras                             | Animal    | Mollusca                   | -353800000    | -345000000   | Aphelaeceras
Aphelakardia                             | Animal    | Mollusca                   | -353800000    | -342800000   | <>
Aphelecrinus                             | Animal    | Echinodermata              | -358900000    | -353800000   | <>
Aphralysia                               | Micro     | Cyanobacteria              | -358900000    | -353800000   | <>
Aphrophyllum                             | Animal    | Cnidaria                   | -358900000    | -330900000   | <>
Apiculatasporites                        | Plant     | Pteridophyta               | -358900000    | -298900000   | <>
Apiculatisporites                        | Plant     | Pteridophyta               | -358900000    | -346700000   | <>
Apousiella                               | Animal    | Brachiopoda                | -358900000    | -346700000   | <>
Aprathia                                 | Animal    | Arthropoda                 | -353800000    | -345300000   | <>
Aquilonites                              | Animal    | Mollusca                   | -358900000    | -353800000   | Aquilonites
Arabellites                              | Animal    | Annelida                   | -358900000    | -353800000   | <>
Araeonema                                | Animal    | Mollusca                   | -358900000    | -346700000   | <>
Araucarioxylon                           | Plant     | Pinophyta                  | -358900000    | -346700000   | Araucarioxylon
Archaeocidaris                           | Animal    | Echinodermata              | -358900000    | -323200000   | Archaeocidaris
Archaeopteridium                         | Plant     | Aneurophytophyta           | -358900000    | -298900000   | <>
Archaesphaera                            | Micro     | Foraminifera               | -358900000    | -330900000   | <>
Archegonus                               | Animal    | Arthropoda                 | -353800000    | -345300000   | <>
Archimedes                               | Animal    | Bryozoa                    | -353800000    | -342800000   | Archimedes
Argentiproductus                         | Animal    | Brachiopoda                | -353800000    | -345000000   | <>
Arthropitys                              | Plant     | Sphenophyta                | -358900000    | -298900000   | Arthropitys
Astartella                               | Animal    | Mollusca                   | -358900000    | -298900000   | <>
Asterolepis                              | Animal    | Chordata                   | -358900000    | -323200000   | Asterolepis_(fish)
Asterophyllites                          | Plant     | Sphenophyta                | -358900000    | -252170000   | <>
Asteroptychius                           | Animal    | Chordata                   | -358900000    | -323200000   | <>
Asterotheca                              | Plant     | Pteridophyta               | -358900000    | -298900000   | Asterotheca
Asymptoceras                             | Animal    | Mollusca                   | -353800000    | -345000000   | Asymptoceras
Asyrinxia                                | Animal    | Brachiopoda                | -358900000    | -346700000   | <>
Atelestocrinus                           | Animal    | Echinodermata              | -353800000    | -342800000   | <>
Athabascacrinus                          | Animal    | Echinodermata              | -358900000    | -353800000   | <>
Athyris                                  | Animal    | Brachiopoda                | -353800000    | -342800000   | Athyris
Atribonium                               | Animal    | Brachiopoda                | -358900000    | -346700000   | <>
Atrypa                                   | Animal    | Brachiopoda                | -358900000    | -298900000   | Atrypa
Atylephorus                              | Animal    | Brachiopoda                | -353800000    | -345000000   | <>
Aulacella                                | Animal    | Brachiopoda                | -358900000    | -346700000   | <>
Aulacotheca                              | Plant     | Pteridospermophyta         | -358900000    | -298900000   | <>
Aulocystella                             | Animal    | Cnidaria                   | -358900000    | -346700000   | <>
Aulopora                                 | Animal    | Cnidaria                   | -353800000    | -342800000   | Aulopora
Australokaskia                           | Animal    | Arthropoda                 | -353800000    | -345300000   | <>
Australoscutula                          | Animal    | Mollusca                   | -358900000    | -346700000   | <>
Australosutura                           | Animal    | Arthropoda                 | -353800000    | -342800000   | <>
Austrochoristites                        | Animal    | Brachiopoda                | -358900000    | -346700000   | <>
Austroneilsonia                          | Animal    | Mollusca                   | -358900000    | -346700000   | <>
Austroworthenia                          | Animal    | Mollusca                   | -353800000    | -345300000   | <>
Aviculopecten                            | Animal    | Mollusca                   | -353800000    | -342800000   | Aviculopecten
Aviculopinna                             | Animal    | Mollusca                   | -358900000    | -323200000   | <>
Avonia                                   | Animal    | Brachiopoda                | -353800000    | -345000000   | Avonia
Avonichthys                              | Animal    | Chordata                   | -358900000    | -346700000   | <>
Axiodeaneia                              | Animal    | Brachiopoda                | -358900000    | -346700000   | <>
Aytonerpeton                             | Animal    | Chordata                   | -358900000    | -346700000   | Aytonerpeton
Azurduya                                 | Animal    | Brachiopoda                | -358900000    | -323200000   | <>
Bactrognathus                            | Animal    | Chordata                   | -353800000    | -342800000   | Bactrognathus
Baiera                                   | Plant     | Ginkgophyta                | -358900000    | -252170000   | Baiera
Bairdia                                  | Animal    | Arthropoda                 | -353800000    | -342800000   | <>
Bairdiacypris                            | Animal    | Arthropoda                 | -358900000    | -346700000   | <>
Bairdiocypris                            | Animal    | Arthropoda                 | -358900000    | -346700000   | <>
Balanoconcha                             | Animal    | Brachiopoda                | -358900000    | -346700000   | <>
Ballagadus                               | Animal    | Chordata                   | -358900000    | -346700000   | <>
Balvia                                   | Animal    | Mollusca                   | -358900000    | -346700000   | Balvia
Barameda                                 | Animal    | Chordata                   | -358900000    | -346700000   | Barameda
Barroisella                              | Animal    | Brachiopoda                | -358900000    | -353800000   | <>
Barycrinus                               | Animal    | Echinodermata              | -353800000    | -342800000   | <>
Baryschyr                                | Animal    | Echinodermata              | -353800000    | -342800000   | <>
Baschkirina                              | Animal    | Arthropoda                 | -358900000    | -346700000   | <>
Basidechenella                           | Animal    | Arthropoda                 | -353800000    | -342800000   | <>
Batocrinus                               | Animal    | Echinodermata              | -353800000    | -342800000   | <>
Batostomella                             | Animal    | Bryozoa                    | -358900000    | -298900000   | <>
Batrachichnus                            | Animal    | Chordata                   | -358900000    | -323200000   | <>
Baylea                                   | Animal    | Mollusca                   | -353800000    | -342800000   | <>
Becanites                                | Animal    | Mollusca                   | -358900000    | -346700000   | <>
Beecheria                                | Animal    | Brachiopoda                | -358900000    | -323200000   | <>
Beinertia                                | Plant     | Pteridophyta               | -358900000    | -298900000   | <>
Belemnites                               | Animal    | Mollusca                   | -541000000    | -252170000   | Belemnites_(genus)
Belemnocrinus                            | Animal    | Echinodermata              | -358900000    | -353800000   | <>
Belemnospongia                           | Animal    | Porifera                   | -353800000    | -342800000   | <>
Belgibole                                | Animal    | Arthropoda                 | -358900000    | -346700000   | <>
Bellerophon                              | Animal    | Mollusca                   | -353800000    | -342800000   | Bellerophon
Bembexia                                 | Animal    | Mollusca                   | -353800000    | -342800000   | Bembexia
Beyrichiella                             | Animal    | Arthropoda                 | -353800000    | -342800000   | <>
Beyrichoceras                            | Animal    | Mollusca                   | -353800000    | -342800000   | Beyrichoceras
Bibucia                                  | Animal    | Cnidaria                   | -358900000    | -346700000   | <>
Bifossularia                             | Animal    | Cnidaria                   | -358900000    | -346700000   | <>
Bilignea                                 | Plant     | Pteridospermophyta         | -358900000    | -323200000   | <>
Bispathodus                              | Animal    | Chordata                   | -358900000    | -346700000   | <>
Bisphaera                                | Micro     | Foraminifera               | -358900000    | -346700000   | <>
Bitumulina                               | Animal    | Arthropoda                 | -358900000    | -353800000   | <>
Blairocrinus                             | Animal    | Echinodermata              | -358900000    | -346700000   | <>
Blothrocrinus                            | Animal    | Echinodermata              | -358900000    | -345300000   | <>
Bohlenatia                               | Animal    | Arthropoda                 | -358900000    | -346700000   | <>
Bollandia                                | Animal    | Arthropoda                 | -353800000    | -339400000   | <>
Bollandoceras                            | Animal    | Mollusca                   | -358900000    | -330900000   | <>
Borestus                                 | Animal    | Mollusca                   | -358900000    | -342800000   | <>
Botryopteris                             | Plant     | Pteridophyta               | -358900000    | -298900000   | <>
Bouhamedites                             | Animal    | Mollusca                   | -358900000    | -346700000   | <>
Boweria                                  | Plant     | Pteridophyta               | -358900000    | -298900000   | <>
