Acadagnostus                             | Animal    | Arthropoda                 | -485400000    | -477700000   | Acadagnostus
Acanthambonia                            | Animal    | Brachiopoda                | -478600000    | -471800000   | <>
Acanthodus                               | Animal    | Chordata                   | -485400000    | -471800000   | Acanthodus
Acanthograptus                           | Animal    | Hemichordata               | -478600000    | -466000000   | <>
Acanthopleurella                         | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Acanthotoechia                           | Animal    | Brachiopoda                | -478600000    | -466000000   | <>
Acerocare                                | Animal    | Arthropoda                 | -485400000    | -477700000   | <>
Acerocarina                              | Animal    | Arthropoda                 | -485400000    | -477700000   | <>
Acidiphorus                              | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Acmarhachis                              | Animal    | Arthropoda                 | -485400000    | -477700000   | Acmarhachis
Acodina                                  | Animal    | Chordata                   | -485400000    | -477700000   | <>
Acodus                                   | Animal    | Chordata                   | -478600000    | -466000000   | Acodus
Acolocrinus                              | Animal    | Echinodermata              | -485400000    | -443400000   | <>
Acrograptus                              | Animal    | Hemichordata               | -478600000    | -466000000   | <>
Acrothele                                | Animal    | Brachiopoda                | -478600000    | -466000000   | <>
Acrotreta                                | Animal    | Brachiopoda                | -478600000    | -466000000   | <>
Actinoceras                              | Animal    | Mollusca                   | -478600000    | -460900000   | Actinoceras
Actinodonta                              | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Actinopeltis                             | Animal    | Arthropoda                 | -478600000    | -466000000   | Actinopeltis_(trilobite)
Adelograptus                             | Animal    | Hemichordata               | -478600000    | -466000000   | <>
Adelphicrinus                            | Animal    | Echinodermata              | -478600000    | -471800000   | <>
Aethocrinus                              | Animal    | Echinodermata              | -485400000    | -477700000   | <>
Agerina                                  | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Agnostus                                 | Animal    | Arthropoda                 | -485400000    | -471800000   | Agnostus
Airograptus                              | Animal    | Hemichordata               | -485400000    | -477700000   | <>
Akelina                                  | Animal    | Brachiopoda                | -485400000    | -477700000   | <>
Akmolina                                 | Animal    | Brachiopoda                | -485400000    | -477700000   | <>
Akoldinioidia                            | Animal    | Arthropoda                 | -485400000    | -477700000   | <>
Albiconus                                | Animal    | Chordata                   | -485400000    | -477700000   | <>
Alichovia                                | Animal    | Brachiopoda                | -485400000    | -477700000   | <>
Alimbella                                | Animal    | Brachiopoda                | -478600000    | -471800000   | <>
Allograptus                              | Animal    | Hemichordata               | -478600000    | -466000000   | <>
Allopiloceras                            | Animal    | Mollusca                   | -485400000    | -468100000   | <>
Allosaccus                               | Animal    | Porifera                   | -478600000    | -466000000   | <>
Alococoncha                              | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Alphacrinus                              | Animal    | Echinodermata              | -485400000    | -478600000   | Alphacrinus
Altha                                    | Animal    | Arthropoda                 | -478600000    | -466000000   | Altha
Altiplanelaspis                          | Animal    | Arthropoda                 | -485400000    | -477700000   | <>
Alwynopora                               | Animal    | Bryozoa                    | -478600000    | -466000000   | <>
Amblycranium                             | Animal    | Arthropoda                 | -478600000    | -471800000   | <>
Amblysiphonella                          | Animal    | Porifera                   | -485400000    | -443400000   | <>
Amechilus                                | Animal    | Arthropoda                 | -485400000    | -478600000   | <>
Amorphognathus                           | Animal    | Chordata                   | -478600000    | -466000000   | Amorphognathus
Amplexograptus                           | Animal    | Hemichordata               | -478600000    | -466000000   | <>
Amplexopora                              | Animal    | Bryozoa                    | -485400000    | -443400000   | Amplexopora
Ampyx                                    | Animal    | Arthropoda                 | -478600000    | -466000000   | Ampyx
Ampyxina                                 | Animal    | Arthropoda                 | -478600000    | -460900000   | <>
Amsassia                                 | Animal    | Porifera                   | -485400000    | -477700000   | <>
Amzasskiella                             | Animal    | Arthropoda                 | -485400000    | -477700000   | <>
Anacheirurus                             | Animal    | Arthropoda                 | -485400000    | -477700000   | Anacheirurus
Anaspyroceras                            | Animal    | Mollusca                   | -478600000    | -463500000   | <>
Anatifopsis                              | Animal    | Echinodermata              | -478600000    | -466000000   | <>
Anatolepis                               | Animal    | Chordata                   | -478600000    | -466000000   | <>
Anaximander                              | Animal    | Arthropoda                 | -488300000    | -471800000   | <>
Anazyga                                  | Animal    | Brachiopoda                | -485400000    | -443400000   | <>
Ancoragraptus                            | Animal    | Hemichordata               | -485400000    | -477700000   | <>
Ancyginaspis                             | Animal    | Arthropoda                 | -478600000    | -471800000   | <>
Andrarina                                | Animal    | Arthropoda                 | -541000000    | -477700000   | <>
Anebolithus                              | Animal    | Arthropoda                 | -478600000    | -466000000   | Anebolithus
Angarella                                | Animal    | Mollusca                   | -478600000    | -466000000   | Angarella
Angelina                                 | Animal    | Arthropoda                 | -485400000    | -477700000   | Angelina_(trilobite)
Angelinoceras                            | Animal    | Mollusca                   | -478600000    | -463500000   | Angelinoceras
Anglagnostus                             | Animal    | Arthropoda                 | -478600000    | -466000000   | Anglagnostus
Angulocellularia                         | Plant     | Rhodophyta                 | -485400000    | -470000000   | <>
Anguloceras                              | Animal    | Mollusca                   | -485400000    | -477700000   | <>
Angusticardinia                          | Animal    | Brachiopoda                | -478600000    | -471800000   | <>
Anisograptus                             | Animal    | Hemichordata               | -478600000    | -466000000   | <>
Anisotechnophorus                        | Animal    | Mollusca                   | -485400000    | -477700000   | <>
Annamitella                              | Animal    | Arthropoda                 | -478600000    | -463500000   | Annamitella
Annbactroceras                           | Animal    | Mollusca                   | -485400000    | -477700000   | <>
Annoceras                                | Animal    | Mollusca                   | -485400000    | -477700000   | <>
Anomalorthis                             | Animal    | Brachiopoda                | -478600000    | -460900000   | <>
Anrangeroceras                           | Animal    | Mollusca                   | -478600000    | -468100000   | <>
Ansella                                  | Animal    | Chordata                   | -478600000    | -466000000   | <>
Anthaspidella                            | Animal    | Porifera                   | -478600000    | -466000000   | <>
Anthoceras                               | Animal    | Mollusca                   | -478600000    | -466000000   | Anthoceras
Antigonambonites                         | Animal    | Brachiopoda                | -478600000    | -466000000   | <>
Aocaspis                                 | Animal    | Arthropoda                 | -478600000    | -468100000   | <>
Aorograptus                              | Animal    | Hemichordata               | -485400000    | -476800000   | <>
Aostipora                                | Animal    | Bryozoa                    | -478600000    | -466000000   | <>
Apatobolus                               | Animal    | Brachiopoda                | -478600000    | -466000000   | <>
Apatokephaloides                         | Animal    | Arthropoda                 | -485400000    | -477700000   | <>
Apatokephalus                            | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Apatolichas                              | Animal    | Arthropoda                 | -485400000    | -470000000   | Apatolichas
Apektocrinus                             | Animal    | Echinodermata              | -485400000    | -477700000   | <>
Apheoorthina                             | Animal    | Brachiopoda                | -478600000    | -471800000   | <>
Apheoorthis                              | Animal    | Brachiopoda                | -478600000    | -466000000   | <>
Aphetoceras                              | Animal    | Mollusca                   | -478600000    | -466000000   | Aphetoceras
Apocrinoceras                            | Animal    | Mollusca                   | -485400000    | -471800000   | <>
Apodasmocrinus                           | Animal    | Echinodermata              | -485400000    | -443400000   | <>
Apoplanias                               | Animal    | Arthropoda                 | -485400000    | -477700000   | <>
Apoptopegma                              | Animal    | Mollusca                   | -485400000    | -478600000   | <>
Aporthophyla                             | Animal    | Brachiopoda                | -485400000    | -477700000   | <>
Apsotreta                                | Animal    | Brachiopoda                | -478600000    | -466000000   | <>
Araiopleura                              | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Arandaspis                               | Animal    | Chordata                   | -478600000    | -466000000   | Arandaspis
Araneograptus                            | Animal    | Hemichordata               | -485400000    | -470000000   | <>
Archaeoconularia                         | Animal    | Cnidaria                   | -478600000    | -466000000   | <>
Archaeocrinus                            | Animal    | Echinodermata              | -485400000    | -443400000   | <>
Archaeorthis                             | Animal    | Brachiopoda                | -478600000    | -466000000   | <>
Archaeoscyphia                           | Animal    | Porifera                   | -478600000    | -466000000   | <>
Archegocystis                            | Animal    | Echinodermata              | -485400000    | -477700000   | <>
Archeognathus                            | Animal    | Chordata                   | -478600000    | -468100000   | Archeognathus
Archinacella                             | Animal    | Mollusca                   | -478600000    | -468100000   | <>
Arenigomya                               | Animal    | Mollusca                   | -478600000    | -471800000   | <>
Aristocystites                           | Animal    | Echinodermata              | -485400000    | -477700000   | <>
Armenoceras                              | Animal    | Mollusca                   | -478600000    | -460900000   | Armenoceras
Arthrorhachis                            | Animal    | Arthropoda                 | -478600000    | -466000000   | Arthrorhachis
Asaphellina                              | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Asaphellus                               | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Asaphopsis                               | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Asaphopsoides                            | Animal    | Arthropoda                 | -485400000    | -473900000   | <>
Asaphus                                  | Animal    | Arthropoda                 | -478600000    | -449500000   | Asaphus
Aspidaeglina                             | Animal    | Arthropoda                 | -478600000    | -466000000   | Aspidaeglina
Aspidograptus                            | Animal    | Hemichordata               | -485400000    | -477700000   | <>
Astraborthis                             | Animal    | Brachiopoda                | -478600000    | -466000000   | <>
Asymphylotoechia                         | Animal    | Brachiopoda                | -488300000    | -471800000   | <>
Atelelasmoidea                           | Animal    | Brachiopoda                | -478600000    | -466000000   | <>
Athenacrinus                             | Animal    | Echinodermata              | -485400000    | -471800000   | <>
Augeoceras                               | Animal    | Mollusca                   | -485400000    | -471800000   | <>
Aulacoparia                              | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Aulacopleura                             | Animal    | Arthropoda                 | -478600000    | -468100000   | Aulacopleura
Aulocopella                              | Animal    | Porifera                   | -485400000    | -443400000   | <>
Aulocopium                               | Animal    | Porifera                   | -478600000    | -466000000   | <>
Australispongia                          | Animal    | Porifera                   | -485400000    | -477700000   | <>
