Aartsenia                                | Animal    | Mollusca                   | -126000       | -11700       | Aartsenia
Abax                                     | Animal    | Arthropoda                 | -781000       | -126000      | Abax
Abdiunguis                               | Animal    | Arthropoda                 | -126000       | -11700       | <>
Abeskunus                                | Animal    | Mollusca                   | -126000       | -11700       | <>
Abies                                    | Plant     | Pinophyta                  | -126000       | -11700       | Abies
Ablepharus                               | Animal    | Chordata                   | -126000       | -11700       | Ablepharus
Abothrodon                               | Animal    | Chordata                   | -5333000      | -11700       | <>
Abra                                     | Animal    | Mollusca                   | -126000       | -11700       | Abra
Abrocoma                                 | Animal    | Chordata                   | -126000       | -11700       | Abrocoma
Abrothrix                                | Animal    | Chordata                   | -126000       | 2030         | Abrothrix
Acacia                                   | Plant     | Spermatophyta              | -126000       | 2030         | Acacia
Acalypha                                 | Plant     | Spermatophyta              | -126000       | 2030         | Acalypha
Acanthastrea                             | Animal    | Cnidaria                   | -126000       | -11700       | Acanthastrea
Acanthina                                | Animal    | Mollusca                   | -126000       | -11700       | Acanthina
Acanthis                                 | Animal    | Chordata                   | -126000       | -11700       | Acanthis
Acanthisitta                             | Animal    | Chordata                   | -126000       | 2030         | Acanthisitta
Acanthocardia                            | Animal    | Mollusca                   | -126000       | -11700       | Acanthocardia
Acanthochaetetes                         | Animal    | Porifera                   | -126000       | -11700       | <>
Acanthochitona                           | Animal    | Mollusca                   | -126000       | -11700       | Acanthochitona
Acanthodactylus                          | Animal    | Chordata                   | -126000       | -11700       | Acanthodactylus
Acanthodesia                             | Animal    | Bryozoa                    | -126000       | -11700       | <>
Acar                                     | Animal    | Mollusca                   | -126000       | -11700       | Acar
Accipiter                                | Animal    | Chordata                   | -126000       | 2030         | Accipiter
Acerina                                  | Animal    | Chordata                   | -781000       | -126000      | <>
Acer                                     | Plant     | Spermatophyta              | -126000       | -11700       | Acer
Acervulina                               | Micro     | Foraminifera               | -126000       | -11700       | <>
Acesta                                   | Animal    | Mollusca                   | -126000       | -11700       | Acesta
Acharax                                  | Animal    | Mollusca                   | -126000       | -11700       | <>
Achatina                                 | Animal    | Mollusca                   | -126000       | 2030         | Achatina
Achelous                                 | Animal    | Arthropoda                 | -781000       | -126000      | Achelous
Achnanthes                               | Plant     | Ochrophyta                 | -126000       | -11700       | Achnanthes
Acidota                                  | Animal    | Arthropoda                 | -126000       | -11700       | Acidota
Acila                                    | Animal    | Mollusca                   | -126000       | -11700       | Acila
