Abrytusites                              | Animal    | Mollusca                   | -136400000    | -130000000   | Abrytusites
Abyssochrysos                            | Animal    | Mollusca                   | -145000000    | -100500000   | Abyssochrysos
Abyssosaurus                             | Animal    | Chordata                   | -136400000    | -130000000   | Abyssosaurus
Acaeniotyle                              | Micro     | Radiolaria                 | -136400000    | -125000000   | <>
Acamptonectes                            | Animal    | Chordata                   | -136400000    | -130000000   | Acamptonectes
Acanthichthys                            | Animal    | Chordata                   | -145000000    | -66000000    | <>
Acanthochirana                           | Animal    | Arthropoda                 | -145000000    | -66000000    | Acanthochirana
Acanthocircus                            | Micro     | Radiolaria                 | -136400000    | -125000000   | <>
Acanthodiscus                            | Animal    | Mollusca                   | -136400000    | -130000000   | Acanthodiscus
Acanthopora                              | Animal    | Bryozoa                    | -139800000    | -132900000   | Acanthopora
Acastea                                  | Micro     | Radiolaria                 | -136400000    | -125000000   | <>
Acesta                                   | Animal    | Mollusca                   | -139800000    | -129400000   | Acesta
Acharax                                  | Animal    | Mollusca                   | -139800000    | -132900000   | <>
Acicularia                               | Plant     | Chlorophyta                | -139800000    | -132900000   | Acicularia
Acrioceras                               | Animal    | Mollusca                   | -136400000    | -130000000   | Acrioceras
Acrocidaris                              | Animal    | Echinodermata              | -139800000    | -132900000   | <>
Acrocythere                              | Animal    | Arthropoda                 | -140200000    | -136400000   | <>
Acrodus                                  | Animal    | Chordata                   | -145000000    | -100500000   | Acrodus
Acrosalenia                              | Animal    | Echinodermata              | -139800000    | -132900000   | <>
Acrosmilia                               | Animal    | Cnidaria                   | -139800000    | -132900000   | <>
Acroteuthis                              | Animal    | Mollusca                   | -136400000    | -130000000   | Acroteuthis
Actaea                                   | Animal    | Arthropoda                 | -145000000    | -100500000   | Actaea
Acteonina                                | Animal    | Mollusca                   | -139800000    | -132900000   | <>
Acteon                                   | Animal    | Mollusca                   | -136400000    | -130000000   | Acteon
Actinaraea                               | Animal    | Cnidaria                   | -139800000    | -132900000   | <>
Actinastrea                              | Animal    | Cnidaria                   | -136400000    | -130000000   | <>
Actinofungia                             | Animal    | Porifera                   | -139800000    | -132900000   | <>
Actinophlebioides                        | Animal    | Arthropoda                 | -136400000    | -130000000   | <>
Actinoporella                            | Plant     | Chlorophyta                | -136400000    | -130000000   | <>
Actinostromarianina                      | Animal    | Porifera                   | -145000000    | -136400000   | <>
Adelocoenia                              | Animal    | Cnidaria                   | -139800000    | -132900000   | <>
Advenina                                 | Animal    | Brachiopoda                | -140200000    | -136400000   | <>
Aeger                                    | Animal    | Arthropoda                 | -145000000    | -66000000    | Aeger
Aegialodon                               | Animal    | Chordata                   | -140200000    | -136400000   | Aegialodon
Aegirosaurus                             | Animal    | Chordata                   | -140200000    | -136400000   | Aegirosaurus
Aegocrioceras                            | Animal    | Mollusca                   | -136400000    | -130000000   | Aegocrioceras
Aegyptosaurus                            | Animal    | Chordata                   | -145000000    | -136400000   | Aegyptosaurus
Aenigmoilus                              | Animal    | Arthropoda                 | -136400000    | -130000000   | <>
Aequitriradites                          | Plant     | Bryophyta                  | -136400000    | -130000000   | <>
Afropollis                               | Plant     | Angiospermae               | -145000000    | -125000000   | <>
Agathelia                                | Animal    | Cnidaria                   | -136400000    | -130000000   | <>
Agathoxylon                              | Plant     | Pinophyta                  | -145000000    | -100500000   | Agathoxylon
Agriopleura                              | Animal    | Mollusca                   | -136400000    | -130000000   | <>
Aguilerella                              | Animal    | Mollusca                   | -139800000    | -132900000   | <>
Akopovorhynchia                          | Animal    | Brachiopoda                | -140200000    | -136400000   | <>
Albalophosaurus                          | Animal    | Chordata                   | -139800000    | -132900000   | Albalophosaurus
Albisca                                  | Animal    | Arthropoda                 | -139800000    | -125000000   | <>
Algites                                  | Plant     | Phaeophyta                 | -145000000    | -66000000    | <>
Aliaga                                   | Animal    | Chordata                   | -136400000    | -125450000   | Aliaga
Alievium                                 | Micro     | Radiolaria                 | -136400000    | -125000000   | <>
Alisporites                              | Plant     | Gymnospermophyta           | -145000000    | -100500000   | <>
Allobuchia                               | Animal    | Mollusca                   | -145000000    | -100500000   | <>
Alsophilidites                           | Plant     | Pteridophyta               | -163500000    | -100500000   | <>
Ambercyclus                              | Animal    | Mollusca                   | -139800000    | -132900000   | <>
Amblydactylus                            | Animal    | Chordata                   | -139800000    | -125000000   | Amblydactylus
Ammobaculites                            | Micro     | Foraminifera               | -136400000    | -130000000   | <>
Ammodiscus                               | Micro     | Foraminifera               | -136400000    | -130000000   | Ammodiscus
Ammoglobigerina                          | Micro     | Foraminifera               | -136400000    | -130000000   | <>
Ammomarginulina                          | Micro     | Foraminifera               | -140200000    | -136400000   | <>
Amphiastrea                              | Animal    | Cnidaria                   | -139800000    | -132900000   | <>
Amphiaulastrea                           | Animal    | Cnidaria                   | -139800000    | -132900000   | <>
Amphicoryna                              | Micro     | Foraminifera               | -136400000    | -130000000   | <>
Amphidonte                               | Animal    | Mollusca                   | -136400000    | -130000000   | <>
Amphipyndax                              | Micro     | Radiolaria                 | -139800000    | -132900000   | <>
Amphitriscoelus                          | Animal    | Mollusca                   | -136400000    | -113000000   | <>
Amplicella                               | Animal    | Arthropoda                 | -136400000    | -130000000   | Amplicella
Ampullina                                | Animal    | Mollusca                   | -136400000    | -130000000   | Ampullina
Amygdalum                                | Animal    | Mollusca                   | -145000000    | -130000000   | Amygdalum
Anahamulina                              | Animal    | Mollusca                   | -136400000    | -130000000   | Anahamulina
Anatina                                  | Animal    | Mollusca                   | -139800000    | -132900000   | Anatina
Anchisauripus                            | Animal    | Chordata                   | -145000000    | -129400000   | Anchisauripus
Anchispirocyclina                        | Micro     | Foraminifera               | -145000000    | -130000000   | Anchispirocyclina
Ancyloceras                              | Animal    | Mollusca                   | -139800000    | -132900000   | Ancyloceras
Andersenolina                            | Micro     | Foraminifera               | -140200000    | -136400000   | <>
Anemia                                   | Plant     | Pteridophyta               | -140200000    | -130000000   | Anemia
Anfractus                                | Plant     | Haptophyta                 | -136400000    | -130000000   | <>
Angarosphex                              | Animal    | Arthropoda                 | -136400000    | -130000000   | <>
Angioporella                             | Plant     | Chlorophyta                | -136400000    | -130000000   | <>
Anglogryllus                             | Animal    | Arthropoda                 | -136400000    | -130000000   | <>
Anglonautilus                            | Animal    | Mollusca                   | -136400000    | -130000000   | <>
Angulathilda                             | Animal    | Mollusca                   | -140200000    | -136400000   | <>
Angulobracchia                           | Micro     | Radiolaria                 | -136400000    | -125000000   | <>
Anisocardia                              | Animal    | Mollusca                   | -145000000    | -100500000   | <>
Anisocardioides                          | Animal    | Mollusca                   | -139800000    | -132900000   | <>
Anisomyon                                | Animal    | Mollusca                   | -140200000    | -136400000   | <>
Annieporcellana                          | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Annuntidiogenes                          | Animal    | Arthropoda                 | -145000000    | -66000000    | <>
Anomia                                   | Animal    | Mollusca                   | -145000000    | -132900000   | Anomia
Anomoeodus                               | Animal    | Chordata                   | -145000000    | -66000000    | Anomoeodus
Anomoepus                                | Animal    | Chordata                   | -145000000    | -100500000   | Anomoepus
Anomozamites                             | Plant     | Cycadeoideophyta           | -152100000    | -125000000   | <>
Anopaea                                  | Animal    | Mollusca                   | -152100000    | -130000000   | <>
Antiptychina                             | Animal    | Brachiopoda                | -139800000    | -132900000   | <>
Antiquanabittacus                        | Animal    | Arthropoda                 | -136400000    | -130000000   | <>
