Abatocrinus                              | Animal    | Echinodermata              | -345300000    | -342800000   | <>
Abrotocrinus                             | Animal    | Echinodermata              | -345300000    | -342800000   | Abrotocrinus
Acaciapora                               | Animal    | Cnidaria                   | -346700000    | -330900000   | <>
Acanthocladia                            | Animal    | Bryozoa                    | -336000000    | -326400000   | <>
Acanthocrania                            | Animal    | Brachiopoda                | -345300000    | -339400000   | <>
Acanthodes                               | Animal    | Chordata                   | -345000000    | -342800000   | Acanthodes
Acanthonautilus                          | Animal    | Mollusca                   | -339400000    | -326400000   | Acanthonautilus
Acanthopecten                            | Animal    | Mollusca                   | -336000000    | -326400000   | <>
Acanthoplecta                            | Animal    | Brachiopoda                | -336000000    | -326400000   | <>
Acanthotriletes                          | Plant     | Lycophyta                  | -346700000    | -330900000   | <>
Acanthracochaerilus                      | Animal    | Arthropoda                 | -346700000    | -330900000   | <>
Acharax                                  | Animal    | Mollusca                   | -336000000    | -326400000   | <>
Achistrum                                | Animal    | Echinodermata              | -345300000    | -345000000   | Achistrum
Achlamydocarpon                          | Plant     | Lycophyta                  | -339400000    | -336000000   | <>
Aclisina                                 | Animal    | Mollusca                   | -336000000    | -326400000   | <>
Acondylacanthus                          | Animal    | Chordata                   | -358900000    | -323200000   | Acondylacanthus
Acratia                                  | Animal    | Arthropoda                 | -339400000    | -314600000   | <>
Acrocanites                              | Animal    | Mollusca                   | -353800000    | -345300000   | <>
Acrocrinus                               | Animal    | Echinodermata              | -336000000    | -326400000   | <>
Acrocyathus                              | Animal    | Cnidaria                   | -336000000    | -326400000   | <>
Acrolepis                                | Animal    | Chordata                   | -345000000    | -342800000   | Acrolepis
Acteonina                                | Animal    | Mollusca                   | -336000000    | -326400000   | <>
Actinoceras                              | Animal    | Mollusca                   | -339400000    | -336000000   | Actinoceras
Actinoconchus                            | Animal    | Brachiopoda                | -336000000    | -326400000   | Actinoconchus
Actinocrinites                           | Animal    | Echinodermata              | -342800000    | -339400000   | Actinocrinites
Actinopteria                             | Animal    | Mollusca                   | -336000000    | -326400000   | <>
Acuminothyris                            | Animal    | Brachiopoda                | -346700000    | -330900000   | <>
Adamanophyllum                           | Animal    | Cnidaria                   | -336000000    | -326400000   | <>
Adelogyrinus                             | Animal    | Chordata                   | -346700000    | -330900000   | Adelogyrinus
Adetognathus                             | Animal    | Chordata                   | -339400000    | -318100000   | <>
Adiantites                               | Plant     | Ginkgophyta                | -339400000    | -336000000   | <>
Adinocrinus                              | Animal    | Echinodermata              | -336000000    | -326400000   | <>
Admirandopora                            | Animal    | Bryozoa                    | -346700000    | -323200000   | Admirandopora
Adnatoceras                              | Animal    | Mollusca                   | -336000000    | -326400000   | Adnatoceras
Aexitrophocrinus                         | Animal    | Echinodermata              | -336000000    | -326400000   | <>
Aganaster                                | Animal    | Echinodermata              | -345300000    | -342800000   | <>
Agaricocrinus                            | Animal    | Echinodermata              | -345300000    | -342800000   | Agaricocrinus
Agassizocrinus                           | Animal    | Echinodermata              | -336000000    | -318100000   | <>
Agnesia                                  | Animal    | Mollusca                   | -336000000    | -326400000   | Agnesia
Airtonia                                 | Animal    | Brachiopoda                | -345300000    | -345000000   | <>
Akiyosiphyllum                           | Animal    | Cnidaria                   | -346700000    | -323200000   | <>
Akmonistion                              | Animal    | Chordata                   | -358900000    | -298900000   | Akmonistion
Albaillella                              | Micro     | Radiolaria                 | -345300000    | -345000000   | <>
Alcicornopteris                          | Plant     | Pteridophyta               | -358900000    | -323200000   | <>
Alinkioduncanella                        | Animal    | Cnidaria                   | -346700000    | -330900000   | <>
Alispirifer                              | Animal    | Brachiopoda                | -346700000    | -314600000   | <>
Alisporites                              | Plant     | Gymnospermophyta           | -358900000    | -252170000   | <>
Alitaria                                 | Animal    | Brachiopoda                | -336000000    | -326400000   | <>
Allagecrinus                             | Animal    | Echinodermata              | -336000000    | -326400000   | <>
Allocatillocrinus                        | Animal    | Echinodermata              | -336000000    | -326400000   | <>
Alloprosallocrinus                       | Animal    | Echinodermata              | -345300000    | -342800000   | <>
Allorhynchus                             | Animal    | Brachiopoda                | -358900000    | -342800000   | <>
Allorisma                                | Animal    | Mollusca                   | -339400000    | -318100000   | <>
Allotropiophyllum                        | Animal    | Cnidaria                   | -336000000    | -326400000   | <>
Alveolites                               | Animal    | Cnidaria                   | -339400000    | -326400000   | <>
Amabilicrinus                            | Animal    | Echinodermata              | -358900000    | -345300000   | <>
Amaurotoma                               | Animal    | Mollusca                   | -345000000    | -336000000   | <>
Ambocoelia                               | Animal    | Brachiopoda                | -358900000    | -298900000   | <>
Ambozone                                 | Animal    | Mollusca                   | -336000000    | -326400000   | <>
Amelacanthus                             | Animal    | Chordata                   | -358900000    | -323200000   | Amelacanthus
Ameura                                   | Animal    | Arthropoda                 | -358900000    | -323200000   | <>
Ammobaculites                            | Micro     | Foraminifera               | -345300000    | -342800000   | <>
Ammodiscella                             | Micro     | Foraminifera               | -345300000    | -342800000   | <>
Ammodiscus                               | Micro     | Foraminifera               | -336000000    | -326400000   | Ammodiscus
Ammonellipsites                          | Animal    | Mollusca                   | -345300000    | -342800000   | Ammonellipsites
Ammovertella                             | Micro     | Foraminifera               | -345300000    | -342800000   | <>
Ampelocrinus                             | Animal    | Echinodermata              | -336000000    | -326400000   | <>
Amphicrinus                              | Animal    | Echinodermata              | -336000000    | -326400000   | <>
Amphiscapha                              | Animal    | Mollusca                   | -339400000    | -318100000   | Amphiscapha
Amphissites                              | Animal    | Arthropoda                 | -339400000    | -314600000   | <>
Amphoracrinus                            | Animal    | Echinodermata              | -345300000    | -342800000   | <>
Amplexizaphrentis                        | Animal    | Cnidaria                   | -336000000    | -318100000   | <>
Amplexocarinia                           | Animal    | Cnidaria                   | -339400000    | -326400000   | <>
Amplexus                                 | Animal    | Cnidaria                   | -336000000    | -326400000   | Amplexus
Amusium                                  | Animal    | Mollusca                   | -336000000    | -326400000   | Amusium
Amygdalophylloides                       | Animal    | Cnidaria                   | -346700000    | -323200000   | <>
Ananias                                  | Animal    | Mollusca                   | -336000000    | -326400000   | <>
Anapiculatisporites                      | Plant     | Bryophyta                  | -346700000    | -330900000   | <>
Anatolipora                              | Plant     | Chlorophyta                | -336000000    | -326400000   | <>
Aneimites                                | Plant     | Peltaspermophyta           | -346700000    | -330900000   | <>
Anematina                                | Animal    | Mollusca                   | -336000000    | -326400000   | <>
Anemetocrinus                            | Animal    | Echinodermata              | -336000000    | -326400000   | <>
Angiospirifer                            | Animal    | Brachiopoda                | -336000000    | -326400000   | <>
Angochitina                              | Micro     | Sarcodina                  | -336000000    | -326400000   | Angochitina
Angyomphalus                             | Animal    | Mollusca                   | -336000000    | -326400000   | <>
Anisotrypa                               | Animal    | Bryozoa                    | -336000000    | -318100000   | <>
Ankhelasma                               | Animal    | Cnidaria                   | -353800000    | -342800000   | <>
Annularia                                | Plant     | Sphenophyta                | -358900000    | -252170000   | Annularia
Annuliconcha                             | Animal    | Mollusca                   | -336000000    | -326400000   | <>
Anomphalus                               | Animal    | Mollusca                   | -336000000    | -326400000   | Anomphalus
Anopliopsis                              | Animal    | Brachiopoda                | -345300000    | -342800000   | <>
Antalis                                  | Animal    | Mollusca                   | -346700000    | -330900000   | Antalis
Antholithes                              | Plant     | Pteridospermophyta         | -358900000    | -298900000   | <>
Anthracocaris                            | Animal    | Arthropoda                 | -346700000    | -330900000   | <>
Anthracochaerilus                        | Animal    | Arthropoda                 | -345000000    | -342800000   | <>
Anthracomartus                           | Animal    | Arthropoda                 | -336000000    | -323200000   | <>
Anthraconauta                            | Animal    | Mollusca                   | -339400000    | -318100000   | <>
Anthraconeilo                            | Animal    | Mollusca                   | -336000000    | -326400000   | <>
Anthracophausia                          | Animal    | Arthropoda                 | -346700000    | -330900000   | <>
Anthracospirifer                         | Animal    | Brachiopoda                | -336000000    | -318100000   | <>
Anthroosasterias                         | Animal    | Echinodermata              | -358900000    | -298900000   | <>
Antiquatonia                             | Animal    | Brachiopoda                | -336000000    | -326400000   | <>
Antlerpeton                              | Animal    | Chordata                   | -346700000    | -330900000   | Antlerpeton
Antliodus                                | Animal    | Chordata                   | -345000000    | -342800000   | Antliodus
Aoujgalia                                | Plant     | Rhodophyta                 | -339400000    | -326400000   | <>
Apatognathus                             | Animal    | Chordata                   | -345300000    | -345000000   | <>
Aphantomartus                            | Animal    | Arthropoda                 | -336000000    | -326400000   | <>
Aphelaeceras                             | Animal    | Mollusca                   | -339400000    | -318100000   | Aphelaeceras
Aphelakardia                             | Animal    | Mollusca                   | -345300000    | -342800000   | <>
Aphelecrinus                             | Animal    | Echinodermata              | -336000000    | -318100000   | <>
