Abadehella                               | Micro     | Foraminifera               | -268000000    | -265000000   | Abadehella
Abajudon                                 | Animal    | Chordata                   | -268800000    | -2.599e+08   | <>
Acaciapora                               | Animal    | Cnidaria                   | -296400000    | -268000000   | <>
Acanthocladia                            | Animal    | Bryozoa                    | -268800000    | -2.599e+08   | <>
Acanthocrania                            | Animal    | Brachiopoda                | -268800000    | -2.651e+08   | <>
Acanthodes                               | Animal    | Chordata                   | -296400000    | -268000000   | Acanthodes
Acanthopecten                            | Animal    | Mollusca                   | -268800000    | -2.599e+08   | <>
Acanthorota                              | Animal    | Echinodermata              | -268800000    | -2.651e+08   | <>
Acanthoschizorota                        | Animal    | Echinodermata              | -268800000    | -2.651e+08   | <>
Acanthotriletes                          | Plant     | Lycophyta                  | -272500000    | -252300000   | <>
Acentrophorus                            | Animal    | Chordata                   | -268800000    | -2.651e+08   | Acentrophorus
Acharax                                  | Animal    | Mollusca                   | -268800000    | -2.651e+08   | <>
Acheloma                                 | Animal    | Chordata                   | -296400000    | -268000000   | Acheloma
Acoelia                                  | Animal    | Porifera                   | -268800000    | -2.651e+08   | <>
Acosarina                                | Animal    | Brachiopoda                | -268800000    | -2.599e+08   | <>
Acratia                                  | Animal    | Arthropoda                 | -268800000    | -2.651e+08   | <>
Acratina                                 | Animal    | Arthropoda                 | -268800000    | -2.651e+08   | <>
Acritosia                                | Animal    | Brachiopoda                | -268800000    | -2.651e+08   | <>
Acrolepis                                | Animal    | Chordata                   | -268000000    | -252300000   | Acrolepis
Acropyge                                 | Animal    | Arthropoda                 | -268800000    | -2.651e+08   | <>
Acteonina                                | Animal    | Mollusca                   | -296400000    | -268000000   | <>
Actinoconchus                            | Animal    | Brachiopoda                | -268800000    | -2.599e+08   | Actinoconchus
Adamantina                               | Animal    | Chordata                   | -268800000    | -2.651e+08   | Adamantina
Adlatipora                               | Animal    | Bryozoa                    | -268800000    | -2.651e+08   | <>
Adminiculoria                            | Animal    | Brachiopoda                | -268800000    | -2.651e+08   | <>
Adrianites                               | Animal    | Mollusca                   | -268800000    | -2.651e+08   | Adrianites
Aelurosaurus                             | Animal    | Chordata                   | -272300000    | -2.599e+08   | Aelurosaurus
Aeolisaccus                              | Micro     | Foraminifera               | -298900000    | -252170000   | <>
Aequalicosta                             | Animal    | Brachiopoda                | -268800000    | -2.651e+08   | <>
Aerosaurus                               | Animal    | Chordata                   | -303400000    | -268000000   | Aerosaurus
