Abadehceras                              | Animal    | Mollusca                   | -259900000    | -254170000   | <>
Abadehella                               | Micro     | Foraminifera               | -259900000    | -254170000   | Abadehella
Abajudon                                 | Animal    | Chordata                   | -298900000    | -252170000   | <>
Abbrevikhosara                           | Animal    | Arthropoda                 | -259900000    | -254170000   | <>
Abdalodon                                | Animal    | Chordata                   | -259900000    | -254170000   | Abdalodon
Acanthalosia                             | Animal    | Brachiopoda                | -259900000    | -254170000   | <>
Acanthocladia                            | Animal    | Bryozoa                    | -259000000    | -252300000   | <>
Acanthopecten                            | Animal    | Mollusca                   | -259900000    | -252170000   | <>
Acanthophillipsia                        | Animal    | Arthropoda                 | -259900000    | -254170000   | <>
Acanthoscapha                            | Animal    | Arthropoda                 | -259900000    | -254170000   | <>
Acanthotriletes                          | Plant     | Lycophyta                  | -272500000    | -252300000   | <>
Accintisporites                          | Plant     | Gymnospermophyta           | -259900000    | -252170000   | <>
Acentrophorus                            | Animal    | Chordata                   | -259900000    | -254170000   | Acentrophorus
Acerosodontosaurus                       | Animal    | Chordata                   | -259900000    | -252170000   | Acerosodontosaurus
Acharax                                  | Animal    | Mollusca                   | -259900000    | -254170000   | <>
Achistrum                                | Animal    | Echinodermata              | -259900000    | -254170000   | Achistrum
Aclisina                                 | Animal    | Mollusca                   | -259900000    | -254170000   | <>
Acondylacanthus                          | Animal    | Chordata                   | -259900000    | -254170000   | Acondylacanthus
Acosarina                                | Animal    | Brachiopoda                | -259900000    | -252170000   | <>
Acratia                                  | Animal    | Arthropoda                 | -259900000    | -254170000   | <>
Acratina                                 | Animal    | Arthropoda                 | -259900000    | -252170000   | <>
Acratinella                              | Animal    | Arthropoda                 | -259900000    | -254170000   | <>
Acrodenta                                | Animal    | Chordata                   | -259900000    | -254170000   | Acrodenta
Acrodus                                  | Animal    | Chordata                   | -259900000    | -254170000   | Acrodus
Acrolepis                                | Animal    | Chordata                   | -259900000    | -254170000   | Acrolepis
Acropholis                               | Animal    | Chordata                   | -259900000    | -254170000   | <>
Acropyge                                 | Animal    | Arthropoda                 | -259900000    | -254170000   | <>
Acrostichites                            | Plant     | Pteridophyta               | -265100000    | -252170000   | <>
Actinocoelia                             | Animal    | Porifera                   | -259900000    | -254170000   | <>
Actinoconchus                            | Animal    | Brachiopoda                | -259900000    | -254170000   | Actinoconchus
Actinodontophora                         | Animal    | Mollusca                   | -259900000    | -254170000   | <>
Actinopteria                             | Animal    | Mollusca                   | -259900000    | -254170000   | <>
Adelosaurus                              | Animal    | Chordata                   | -259900000    | -254170000   | <>
Ademosyne                                | Animal    | Arthropoda                 | -259900000    | -252170000   | <>
Aelurognathus                            | Animal    | Chordata                   | -259900000    | -252170000   | Aelurognathus
Aelurosaurus                             | Animal    | Chordata                   | -259900000    | -252170000   | Aelurosaurus
Aenigmastropheus                         | Animal    | Chordata                   | -259900000    | -254170000   | Aenigmastropheus
Aenigmocoleus                            | Animal    | Arthropoda                 | -259900000    | -252170000   | <>
Aeolisaccus                              | Micro     | Foraminifera               | -298900000    | -252170000   | <>
Afrocladus                               | Animal    | Arthropoda                 | -259900000    | -252170000   | <>
Agassizodus                              | Animal    | Chordata                   | -259900000    | -254170000   | Agassizodus
Agathammina                              | Micro     | Foraminifera               | -259900000    | -252170000   | <>
Agetopanorpa                             | Animal    | Arthropoda                 | -259900000    | -252170000   | <>
Akidnognathus                            | Animal    | Chordata                   | -259900000    | -252170000   | Akidnognathus
Alatoproductus                           | Animal    | Brachiopoda                | -259900000    | -254170000   | <>
Alatorthotetina                          | Animal    | Brachiopoda                | -259900000    | -254170000   | <>
Albaillella                              | Micro     | Radiolaria                 | -259900000    | -252170000   | <>
Alexandrinia                             | Animal    | Arthropoda                 | -259900000    | -254170000   | Alexandrinia
Alexandronautilus                        | Animal    | Mollusca                   | -259900000    | -254170000   | <>
Alexarasnia                              | Animal    | Arthropoda                 | -259900000    | -254170000   | <>
Algites                                  | Plant     | Phaeophyta                 | -259900000    | -252300000   | <>
Alispiriferella                          | Animal    | Brachiopoda                | -259900000    | -254170000   | <>
Alisporites                              | Plant     | Gymnospermophyta           | -259000000    | -252300000   | <>
Allophyllum                              | Animal    | Cnidaria                   | -259900000    | -254170000   | Allophyllum
