Abakolia                                 | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Absidaticonus                            | Animal    | Mollusca                   | -541000000    | -485400000   | <>
Acadagnostus                             | Animal    | Arthropoda                 | -513000000    | -501000000   | Acadagnostus
Acadolenus                               | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Acanthograptus                           | Animal    | Hemichordata               | -541000000    | -485400000   | <>
Acanthotheca                             | Animal    | Mollusca                   | -507000000    | -505000000   | Acanthotheca
Acanthotretella                          | Animal    | Brachiopoda                | -513000000    | -501000000   | Acanthotretella
Acareorthis                              | Animal    | Brachiopoda                | -513000000    | -501000000   | <>
Acerocare                                | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Achlysopsis                              | Animal    | Arthropoda                 | -513000000    | -505000000   | <>
Acmarhachis                              | Animal    | Arthropoda                 | -505000000    | -498500000   | Acmarhachis
Acontheus                                | Animal    | Arthropoda                 | -513000000    | -501000000   | Acontheus
Acrocephalites                           | Animal    | Arthropoda                 | -505000000    | -501000000   | <>
Acrocephalops                            | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Acrothele                                | Animal    | Brachiopoda                | -505000000    | -501000000   | <>
Acrothyra                                | Animal    | Brachiopoda                | -513000000    | -501000000   | Acrothyra
Acrotreta                                | Animal    | Brachiopoda                | -513000000    | -501000000   | <>
Acuticloudina                            | Animal    | Annelida                   | -507000000    | -505000000   | <>
Adaecyathus                              | Animal    | Porifera                   | -516000000    | -501000000   | <>
Aedotes                                  | Animal    | Arthropoda                 | -505000000    | -498500000   | <>
Aegitellus                               | Animal    | Mollusca                   | -541000000    | -485400000   | <>
Agaso                                    | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Agelagma                                 | Animal    | Arthropoda                 | -505000000    | -498500000   | <>
Agnostogonus                             | Animal    | Arthropoda                 | -505000000    | -498500000   | Agnostogonus
Agnostus                                 | Animal    | Arthropoda                 | -505000000    | -498500000   | Agnostus
Agraulos                                 | Animal    | Arthropoda                 | -505000000    | -501000000   | Agraulos
Aiaiaspis                                | Animal    | Arthropoda                 | -505000000    | -501000000   | <>
Ajrikina                                 | Animal    | Arthropoda                 | -505000000    | -498500000   | <>
Akadocrinus                              | Animal    | Echinodermata              | -513000000    | -498500000   | <>
Akmolina                                 | Animal    | Brachiopoda                | -505000000    | -498500000   | <>
Aksarinaia                               | Animal    | Brachiopoda                | -513000000    | -505000000   | <>
Aladraco                                 | Animal    | Hyolitha                   | -505000000    | -504000000   | <>
Alalcomenaeus                            | Animal    | Arthropoda                 | -513000000    | -501000000   | Alalcomenaeus
Albansia                                 | Animal    | Arthropoda                 | -513000000    | -501000000   | Albansia
Albertella                               | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Albertellina                             | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Albertelloides                           | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Albiconus                                | Animal    | Chordata                   | -541000000    | -485400000   | <>
Aldanaspis                               | Animal    | Arthropoda                 | -505000000    | -501000000   | Aldanaspis
Almohadella                              | Animal    | Brachiopoda                | -513000000    | -501000000   | <>
Alokistocare                             | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Altikolia                                | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Altiocculus                              | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Alueva                                   | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Amecephalites                            | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Amecephalus                              | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Amgaspis                                 | Animal    | Arthropoda                 | -513000000    | -505000000   | <>
Ammagnostus                              | Animal    | Arthropoda                 | -505000000    | -498500000   | <>
Amphigeisina                             | Animal    | Chaetognatha               | -513000000    | -501000000   | <>
Amphoton                                 | Animal    | Arthropoda                 | -505000000    | -501000000   | Amphoton
Amplectobelua                            | Animal    | Arthropoda                 | -513000000    | -505000000   | Amplectobelua
Anabarella                               | Animal    | Mollusca                   | -507000000    | -504000000   | Anabarella
Anabaroconus                             | Animal    | Mollusca                   | -513000000    | -501000000   | <>
Anabolotreta                             | Animal    | Brachiopoda                | -505000000    | -485400000   | <>
Ancalagon                                | Animal    | Priapulida                 | -513000000    | -505000000   | Ancalagon
Andrarina                                | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Angulosuspongia                          | Animal    | Porifera                   | -513000000    | -501000000   | <>
Angulotreta                              | Animal    | Brachiopoda                | -513000000    | -501000000   | <>
Anhuiconus                               | Animal    | Mollusca                   | -507000000    | -505000000   | <>
Ankoura                                  | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Anomalocalyx                             | Animal    | Brachiopoda                | -507000000    | -504000000   | Anomalocalyx
Anomalocaris                             | Animal    | Arthropoda                 | -513000000    | -498500000   | Anomalocaris
Anomocare                                | Animal    | Arthropoda                 | -505000000    | -504000000   | <>
Anomocarella                             | Animal    | Arthropoda                 | -505000000    | -501000000   | <>
Anomocarina                              | Animal    | Arthropoda                 | -505000000    | -501000000   | <>
Anomocarioides                           | Animal    | Arthropoda                 | -505000000    | -501000000   | <>
Anopolenus                               | Animal    | Arthropoda                 | -505000000    | -501000000   | <>
Anoria                                   | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Antagmus                                 | Animal    | Arthropoda                 | -513000000    | -505000000   | <>
Aojia                                    | Animal    | Arthropoda                 | -505000000    | -501000000   | Aojia
Aphelaspis                               | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Apheoorthis                              | Animal    | Brachiopoda                | -541000000    | -485400000   | <>
Aplexura                                 | Animal    | Arthropoda                 | -505000000    | -501000000   | <>
Aragocystites                            | Animal    | Echinodermata              | -513000000    | -501000000   | <>
Araktina                                 | Animal    | Brachiopoda                | -505000000    | -498500000   | <>
Arapahoia                                | Animal    | Arthropoda                 | -513000000    | -485400000   | <>
Archaeocothurnus                         | Animal    | Echinodermata              | -513000000    | -498500000   | <>
Archaeocyathus                           | Animal    | Porifera                   | -513000000    | -505000000   | <>
Archaeolafoea                            | Animal    | Hemichordata               | -513000000    | -501000000   | <>
Archaeorthis                             | Animal    | Brachiopoda                | -541000000    | -485400000   | <>
Archeoentactinia                         | Micro     | Radiolaria                 | -507000000    | -505000000   | <>
Arctohedra                               | Animal    | Brachiopoda                | -507000000    | -504000000   | <>
Arcuolimbus                              | Animal    | Arthropoda                 | -541000000    | -485400000   | Arcuolimbus
Arellanella                              | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Aristaluta                               | Animal    | Arthropoda                 | -513000000    | -507000000   | <>
Armonia                                  | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Arthrochites                             | Animal    | Cnidaria                   | -541000000    | -485400000   | <>
Asaphiscus                               | Animal    | Arthropoda                 | -513000000    | -498500000   | Asaphiscus
Asiapatella                              | Animal    | Mollusca                   | -541000000    | -485400000   | <>
Aspidagnostus                            | Animal    | Arthropoda                 | -505000000    | -498500000   | <>
Aspidograptus                            | Animal    | Hemichordata               | -505000000    | -501000000   | <>
Asthenopsis                              | Animal    | Arthropoda                 | -505000000    | -504000000   | Asthenopsis
Asturiaspis                              | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Asturicystis                             | Animal    | Echinodermata              | -513000000    | -501000000   | <>
Athabaskia                               | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
