Aaptoryctes                              | Animal    | Chordata                   | -56800000     | -55800000    | <>
Abderospira                              | Animal    | Mollusca                   | -56000000     | -33900000    | <>
Abdobalistum                             | Animal    | Chordata                   | -56000000     | -47800000    | <>
Abdounia                                 | Animal    | Chordata                   | -48600000     | -33900000    | Abdounia
Aberisphaera                             | Micro     | Foraminifera               | -59200000     | -47800000    | <>
Abies                                    | Plant     | Pinophyta                  | -55800000     | -48600000    | Abies
Abra                                     | Animal    | Mollusca                   | -55800000     | -48600000    | Abra_(bivalve)
Abraracourcix                            | Animal    | Arthropoda                 | -55800000     | -48600000    | <>
Abromasta                                | Animal    | Chordata                   | -56000000     | -47800000    | <>
Abrosomys                                | Animal    | Chordata                   | -48600000     | -37200000    | <>
Absarokius                               | Animal    | Chordata                   | -50300000     | -46200000    | <>
Abyssocypris                             | Animal    | Arthropoda                 | -56000000     | -47800000    | <>
Acaena                                   | Plant     | Spermatophyta              | -48600000     | -37200000    | Acaena
Acalypha                                 | Plant     | Spermatophyta              | -48600000     | -37200000    | Acalypha
Acanthocardia                            | Animal    | Mollusca                   | -48600000     | -37200000    | Acanthocardia
Acanthocybium                            | Animal    | Chordata                   | -55800000     | -50300000    | Acanthocybium
Acanthodromia                            | Animal    | Arthropoda                 | -56000000     | -47800000    | <>
Acanthogalathea                          | Animal    | Arthropoda                 | -56000000     | -23030000    | Acanthogalathea
Acanthomyites                            | Animal    | Arthropoda                 | -56000000     | -47800000    | <>
Acanthonemus                             | Animal    | Chordata                   | -56000000     | -47800000    | Acanthonemus
Acanthopygaeus                           | Animal    | Chordata                   | -56000000     | -47800000    | Acanthopygaeus
Acanthuroides                            | Animal    | Chordata                   | -56000000     | -47800000    | <>
Acarictis                                | Animal    | Chordata                   | -55800000     | -50300000    | <>
Acarinina                                | Micro     | Foraminifera               | -48600000     | -37200000    | Acarinina
Acar                                     | Animal    | Mollusca                   | -48600000     | -37200000    | Acar
Aceroryctes                              | Animal    | Chordata                   | -55800000     | -50300000    | <>
Acer                                     | Plant     | Spermatophyta              | -48600000     | -37200000    | Acer
Acervulina                               | Micro     | Foraminifera               | -48600000     | -37200000    | <>
Acesta                                   | Animal    | Mollusca                   | -55800000     | -33900000    | Acesta
Acharax                                  | Animal    | Mollusca                   | -56000000     | -47800000    | <>
Acherontisuchus                          | Animal    | Chordata                   | -61700000     | -55800000    | Acherontisuchus
Acicularia                               | Plant     | Chlorophyta                | -56000000     | -47800000    | Acicularia
Acidomomys                               | Animal    | Chordata                   | -56800000     | -55800000    | Acidomomys
Acila                                    | Animal    | Mollusca                   | -48600000     | -37200000    | Acila
Acipenser                                | Animal    | Chordata                   | -55800000     | -50300000    | Acipenser
Acirsa                                   | Animal    | Mollusca                   | -56000000     | -47800000    | Acirsa
Acleistochelys                           | Animal    | Chordata                   | -61700000     | -55800000    | <>
Acmaea                                   | Animal    | Mollusca                   | -55800000     | -48600000    | Acmaea
Acmopyle                                 | Plant     | Coniferophyta              | -100500000    | -55800000    | Acmopyle
Acnemia                                  | Animal    | Arthropoda                 | -50300000     | -46200000    | Acnemia
Acocephalus                              | Animal    | Arthropoda                 | -50300000     | -46200000    | <>
Acoelodus                                | Animal    | Chordata                   | -55800000     | -48000000    | <>
Acoelohyrax                              | Animal    | Chordata                   | -48000000     | -42000000    | <>
Acolaspoides                             | Animal    | Arthropoda                 | -55800000     | -48600000    | Acolaspoides
Acrilla                                  | Animal    | Mollusca                   | -48600000     | -37200000    | <>
Acritoparamys                            | Animal    | Chordata                   | -50300000     | -46200000    | <>
Acrocyon                                 | Animal    | Chordata                   | -48600000     | -15970000    | <>
Acrodontopsis                            | Animal    | Chordata                   | -48600000     | -37200000    | <>
Acropoma                                 | Animal    | Chordata                   | -49500000     | -46200000    | Acropoma
Acropora                                 | Animal    | Cnidaria                   | -48600000     | -37200000    | Acropora
Acroporella                              | Plant     | Chlorophyta                | -59200000     | -47800000    | <>
Acrosmilia                               | Animal    | Cnidaria                   | -48600000     | -37200000    | <>
Acrostichum                              | Plant     | Pteridophyta               | -48600000     | -40400000    | Acrostichum
Acrotitan                                | Animal    | Chordata                   | -48600000     | -37200000    | <>
Acrovena                                 | Plant     | Spermatophyta              | -55800000     | -50300000    | <>
Actaeites                                | Animal    | Arthropoda                 | -56000000     | -47800000    | <>
Actaeonema                               | Animal    | Mollusca                   | -48600000     | -37200000    | <>
Acteocina                                | Animal    | Mollusca                   | -48600000     | -37200000    | Acteocina
Acteon                                   | Animal    | Mollusca                   | -55800000     | -48600000    | Acteon
Actinacis                                | Animal    | Cnidaria                   | -48600000     | -37200000    | <>
Actinastrea                              | Animal    | Cnidaria                   | -48600000     | -37200000    | <>
Actinidia                                | Plant     | Spermatophyta              | -48600000     | -37200000    | Actinidia
Actinocyclina                            | Micro     | Foraminifera               | -56000000     | -47800000    | <>
Actinocythereis                          | Animal    | Arthropoda                 | -55800000     | -37200000    | <>
Actinodonta                              | Animal    | Mollusca                   | -56800000     | -55800000    | <>
Actinosiphon                             | Micro     | Foraminifera               | -58700000     | -55800000    | <>
Aculops                                  | Animal    | Arthropoda                 | -48600000     | -37200000    | Aculops
Acuticosta                               | Animal    | Mollusca                   | -58700000     | -55800000    | <>
Acutostrea                               | Animal    | Mollusca                   | -48600000     | -37200000    | <>
Adamsochrysa                             | Animal    | Arthropoda                 | -56000000     | -47800000    | <>
Adapidium                                | Animal    | Chordata                   | -48600000     | -37200000    | <>
Adapisoriculus                           | Animal    | Chordata                   | -55800000     | -48600000    | <>
Adapoides                                | Animal    | Chordata                   | -48600000     | -37200000    | Adapoides
Adelocera                                | Animal    | Arthropoda                 | -50300000     | -46200000    | Adelocera
Adeonellopsis                            | Animal    | Bryozoa                    | -55800000     | -48600000    | <>
Adeorbis                                 | Animal    | Mollusca                   | -56000000     | -47800000    | Adeorbis
Admetula                                 | Animal    | Mollusca                   | -56000000     | -33900000    | Admetula
Adocetus                                 | Animal    | Arthropoda                 | -55800000     | -50300000    | <>
Adocus                                   | Animal    | Chordata                   | -48600000     | -37200000    | Adocus
Adolomys                                 | Animal    | Chordata                   | -55800000     | -48600000    | <>
Adrana                                   | Animal    | Mollusca                   | -56000000     | -47800000    | Adrana
Adunator                                 | Animal    | Chordata                   | -55800000     | -50300000    | <>
Advenimus                                | Animal    | Chordata                   | -48600000     | -37200000    | <>
Aegialia                                 | Animal    | Arthropoda                 | -50300000     | -46200000    | Aegialia
Aegyptosaepia                            | Animal    | Mollusca                   | -58700000     | -55800000    | <>
