Abies                                    | Plant     | Pinophyta                  | -23030000     | -2588000     | Abies
Abothrodon                               | Animal    | Chordata                   | -5333000      | -11700       | <>
Abra                                     | Animal    | Mollusca                   | -5333000      | -2588000     | Abra_(bivalve)
Abrocoma                                 | Animal    | Chordata                   | -5333000      | -3600000     | Abrocoma
Abyssocythere                            | Animal    | Arthropoda                 | -7246000      | -3600000     | <>
Abyssothyris                             | Animal    | Brachiopoda                | -5333000      | -3600000     | Abyssothyris
Acacia                                   | Plant     | Spermatophyta              | -23030000     | -2588000     | Acacia
Acalypha                                 | Plant     | Spermatophyta              | -5333000      | -781000      | Acalypha
Acanthastrea                             | Animal    | Cnidaria                   | -5333000      | -2588000     | Acanthastrea
Acanthina                                | Animal    | Mollusca                   | -5333000      | -2588000     | Acanthina
Acanthocardia                            | Animal    | Mollusca                   | -5333000      | -2588000     | Acanthocardia
Acanthochelys                            | Animal    | Chordata                   | -6800000      | -3000000     | Acanthochelys
Acanthochitona                           | Animal    | Mollusca                   | -5333000      | -3600000     | Acanthochitona
Acanthocybium                            | Animal    | Chordata                   | -5333000      | -3600000     | Acanthocybium
Acanthocythereis                         | Animal    | Arthropoda                 | -7246000      | -3600000     | <>
Acanthotrophon                           | Animal    | Mollusca                   | -5333000      | -3600000     | Acanthotrophon
Acanthurus                               | Animal    | Chordata                   | -5333000      | -3600000     | Acanthurus
Acar                                     | Animal    | Mollusca                   | -5333000      | -2588000     | Acar
Aceratherium                             | Animal    | Chordata                   | -23030000     | -2588000     | Aceratherium
Acerorhinus                              | Animal    | Chordata                   | -7750000      | -4900000     | Acerorhinus
Acer                                     | Plant     | Spermatophyta              | -10300000     | -1800000     | Acer
Acervulina                               | Micro     | Foraminifera               | -5333000      | -11700       | <>
Acesta                                   | Animal    | Mollusca                   | -5333000      | -3600000     | Acesta
Acharax                                  | Animal    | Mollusca                   | -5333000      | -2588000     | <>
Achatina                                 | Animal    | Mollusca                   | -5333000      | -11700       | Achatina
Achirus                                  | Animal    | Chordata                   | -5333000      | -3600000     | Achirus
Achlyoscapter                            | Animal    | Chordata                   | -10300000     | -4900000     | <>
Acila                                    | Animal    | Mollusca                   | -5333000      | -2588000     | Acila
Acilia                                   | Animal    | Mollusca                   | -5333000      | -3600000     | Acilia
Acinonyx                                 | Animal    | Chordata                   | -5333000      | -11700       | Acinonyx
Acipenser                                | Animal    | Chordata                   | -15970000     | -781000      | Acipenser
Acirsa                                   | Animal    | Mollusca                   | -5333000      | -3600000     | Acirsa
Aclis                                    | Animal    | Mollusca                   | -5333000      | -3600000     | Aclis
Acmaea                                   | Animal    | Mollusca                   | -5333000      | -3600000     | Acmaea
Acomys                                   | Animal    | Chordata                   | -23030000     | -2588000     | Acomys
Acroloxus                                | Animal    | Mollusca                   | -5333000      | -11700       | Acroloxus
Acropora                                 | Animal    | Cnidaria                   | -11608000     | -2588000     | Acropora
Acrosterigma                             | Animal    | Mollusca                   | -5333000      | -3600000     | Acrosterigma
Acrostichum                              | Plant     | Pteridophyta               | -23030000     | -2588000     | Acrostichum
Actenomys                                | Animal    | Chordata                   | -4000000      | -3000000     | <>
Acteocina                                | Animal    | Mollusca                   | -5333000      | -2588000     | Acteocina
Acteon                                   | Animal    | Mollusca                   | -11608000     | -3600000     | Acteon
Actinidia                                | Plant     | Spermatophyta              | -11608000     | -3600000     | Actinidia
Actinocyclus                             | Plant     | Ochrophyta                 | -5333000      | -3600000     | Actinocyclus
Actinocythereis                          | Animal    | Arthropoda                 | -5333000      | -3600000     | <>
Actinoptychus                            | Plant     | Ochrophyta                 | -5333000      | -3600000     | Actinoptychus
Actinotocarcinus                         | Animal    | Arthropoda                 | -15970000     | -1806000     | Actinotocarcinus
Actitis                                  | Animal    | Chordata                   | -4900000      | -1800000     | Actitis
Actumnus                                 | Animal    | Arthropoda                 | -23030000     | -2588000     | Actumnus
Acuticythereis                           | Animal    | Arthropoda                 | -5333000      | -3600000     | <>
Adcrocuta                                | Animal    | Chordata                   | -5333000      | -3600000     | Adcrocuta
Adelocythara                             | Animal    | Mollusca                   | -5333000      | -3600000     | <>
Adelphailurus                            | Animal    | Chordata                   | -10300000     | -4900000     | Adelphailurus
Adeonella                                | Animal    | Bryozoa                    | -5333000      | -2588000     | <>
Adeonellopsis                            | Animal    | Bryozoa                    | -5333000      | -2588000     | <>
Adeorbis                                 | Animal    | Mollusca                   | -5333000      | -3600000     | Adeorbis
Admete                                   | Animal    | Mollusca                   | -5333000      | -1806000     | Admete
Admetula                                 | Animal    | Mollusca                   | -7246000      | -3600000     | Admetula
Adrana                                   | Animal    | Mollusca                   | -5333000      | -2588000     | Adrana
Adusta                                   | Animal    | Mollusca                   | -5333000      | -11700       | <>
Aechmella                                | Animal    | Bryozoa                    | -5333000      | -2588000     | <>
Aechmophorus                             | Animal    | Chordata                   | -4900000      | -1800000     | Aechmophorus
