Aartsenia                                 | Animal    | Mollusca                   | -126000       | 2030         | Aartsenia
Abax                                      | Animal    | Arthropoda                 | -781000       | 2030         | <>
Abdiunguis                                | Animal    | Arthropoda                 | -126000       | 2030         | <>
Abelater                                  | Animal    | Arthropoda                 | -38000000     | 2030         | Abelater
Abertella                                 | Animal    | Echinodermata              | -20440000     | 2030         | <>
Abeskunus                                 | Animal    | Mollusca                   | -126000       | 2030         | <>
Abia                                      | Animal    | Arthropoda                 | -20440000     | 2030         | Abia
Abies                                     | Plant     | Pinophyta                  | -126000       | 2030         | Abies
Ablabesmyia                               | Animal    | Arthropoda                 | -20440000     | 2030         | Ablabesmyia
Ablepharus                                | Animal    | Chordata                   | -126000       | 2030         | Ablepharus
Abra                                      | Animal    | Mollusca                   | -126000       | 2030         | Abra_(bivalve)
Abrothrix                                 | Animal    | Chordata                   | -126000       | 2030         | Abrothrix
Absyrtus                                  | Animal    | Arthropoda                 | -37200000     | 2030         | <>
Abyssocypris                              | Animal    | Arthropoda                 | -56000000     | 2030         | <>
Abyssothyris                              | Animal    | Brachiopoda                | -5333000      | 2030         | Abyssothyris
Acabaria                                  | Animal    | Cnidaria                   | -66000000     | 2030         | Acabaria
Acaena                                    | Plant     | Spermatophyta              | -48600000     | 2030         | Acaena
Acaenitus                                 | Animal    | Arthropoda                 | -28100000     | 2030         | <>
Acallepitrix                              | Animal    | Arthropoda                 | -20440000     | 2030         | Acallepitrix
Acalles                                   | Animal    | Arthropoda                 | -28400000     | 2030         | Acalles
Acallomyia                                | Animal    | Arthropoda                 | -37200000     | 2030         | <>
Acalyptomerus                             | Animal    | Arthropoda                 | -99600000     | 2030         | <>
Acamptus                                  | Animal    | Arthropoda                 | -20440000     | 2030         | Acamptus
Acanthastrea                              | Animal    | Cnidaria                   | -126000       | 2030         | Acanthastrea
Acanthephyra                              | Animal    | Arthropoda                 | -11700        | 2030         | Acanthephyra
Acanthicus                                | Animal    | Chordata                   | -13800000     | 2030         | Acanthicus
Acanthina                                 | Animal    | Mollusca                   | -126000       | 2030         | Acanthina
Acanthis                                  | Animal    | Chordata                   | -126000       | 2030         | Acanthis
Acanthisitta                              | Animal    | Chordata                   | -126000       | 2030         | Acanthisitta
Acanthocardia                             | Animal    | Mollusca                   | -126000       | 2030         | Acanthocardia
Acanthocarpus                             | Animal    | Arthropoda                 | -33900000     | 2030         | Acanthocarpus_(crab)
Acanthocella                              | Animal    | Bryozoa                    | -33900000     | 2030         | <>
Acanthochaetetes                          | Animal    | Porifera                   | -126000       | 2030         | <>
Acanthochelys                             | Animal    | Chordata                   | -6800000      | 2030         | Acanthochelys
Acanthochermes                            | Animal    | Arthropoda                 | -38000000     | 2030         | <>
Acanthochitona                            | Animal    | Mollusca                   | -126000       | 2030         | Acanthochitona
Acanthocinus                              | Animal    | Arthropoda                 | -3600000      | 2030         | Acanthocinus
Acanthocybium                             | Animal    | Chordata                   | -55800000     | 2030         | Acanthocybium
Acanthocythereis                          | Animal    | Arthropoda                 | -1806000      | 2030         | <>
Acanthodactylus                           | Animal    | Chordata                   | -126000       | 2030         | Acanthodactylus
Acanthoderes                              | Animal    | Arthropoda                 | -12700000     | 2030         | Acanthoderes
Acanthodesia                              | Animal    | Bryozoa                    | -126000       | 2030         | <>
Acanthodesmia                             | Micro     | Radiolaria                 | -190800000    | 2030         | <>
Acantholyda                               | Animal    | Arthropoda                 | -23030000     | 2030         | Acantholyda
Acanthopleura                             | Animal    | Mollusca                   | -11700        | 2030         | Acanthopleura
Acanthoportunus                           | Animal    | Arthropoda                 | -46200000     | 2030         | <>
Acanthosoma                               | Animal    | Arthropoda                 | -33900000     | 2030         | Acanthosoma
Acanthosphaera                            | Micro     | Radiolaria                 | -247200000    | 2030         | Acanthosphaera
Acanthostichus                            | Animal    | Arthropoda                 | -20440000     | 2030         | Acanthostichus
Acanthotrophon                            | Animal    | Mollusca                   | -5333000      | 2030         | Acanthotrophon
Acanthurus                                | Animal    | Chordata                   | -11700        | 2030         | Acanthurus
Acaricoris                                | Animal    | Arthropoda                 | -20440000     | 2030         | Acaricoris
Acar                                      | Animal    | Mollusca                   | -126000       | 2030         | Acar
Acasta                                    | Animal    | Arthropoda                 | -20440000     | 2030         | <>
Accipiter                                 | Animal    | Chordata                   | -126000       | 2030         | Accipiter
Acentrogobius                             | Animal    | Chordata                   | -20440000     | 2030         | Acentrogobius
Acentrophryne                             | Animal    | Chordata                   | -23030000     | 2030         | Acentrophryne
Acericecis                                | Animal    | Arthropoda                 | -33900000     | 2030         | Acericecis
Acerotella                                | Animal    | Arthropoda                 | -38000000     | 2030         | Acerotella
Acer                                      | Plant     | Spermatophyta              | -126000       | 2030         | Acer
Acervulina                                | Micro     | Foraminifera               | -126000       | 2030         | <>
Acesta                                    | Animal    | Mollusca                   | -126000       | 2030         | Acesta
Acetabularia                              | Plant     | Chlorophyta                | -66000000     | 2030         | Acetabularia
Acetes                                    | Animal    | Arthropoda                 | -11700        | 2030         | Acetes
Achaearanea                               | Animal    | Arthropoda                 | -20440000     | 2030         | Achaearanea
Achaeus                                   | Animal    | Arthropoda                 | -11700        | 2030         | <>
Achalcus                                  | Animal    | Arthropoda                 | -38000000     | 2030         | Achalcus
Acharax                                   | Animal    | Mollusca                   | -126000       | 2030         | <>
Achatina                                  | Animal    | Mollusca                   | -126000       | 2030         | Achatina
Achelous                                  | Animal    | Arthropoda                 | -781000       | 2030         | <>
Achenium                                  | Animal    | Arthropoda                 | -28100000     | 2030         | Achenium
Acheta                                    | Animal    | Arthropoda                 | -28100000     | 2030         | Acheta
Achrysocharoides                          | Animal    | Arthropoda                 | -20440000     | 2030         | Achrysocharoides
Acicnemis                                 | Animal    | Arthropoda                 | -11700        | 2030         | <>
Acicula                                   | Animal    | Mollusca                   | -15970000     | 2030         | Acicula
Acidota                                   | Animal    | Arthropoda                 | -126000       | 2030         | <>
Acila                                     | Animal    | Mollusca                   | -126000       | 2030         | Acila
Acilius                                   | Animal    | Arthropoda                 | -126000       | 2030         | Acilius_(beetle)
Acinonyx                                  | Animal    | Chordata                   | -126000       | 2030         | Acinonyx
Acipenser                                 | Animal    | Chordata                   | -126000       | 2030         | Acipenser
Acirsa                                    | Animal    | Mollusca                   | -72100000     | 2030         | Acirsa
Aclerogamasus                             | Animal    | Arthropoda                 | -38000000     | 2030         | Aclerogamasus
Aclis                                     | Animal    | Mollusca                   | -5333000      | 2030         | Aclis
Aclypea                                   | Animal    | Arthropoda                 | -126000       | 2030         | Aclypea
Acmaea                                    | Animal    | Mollusca                   | -126000       | 2030         | Acmaea
Acmaeodera                                | Animal    | Arthropoda                 | -11700        | 2030         | Acmaeodera
Acmopyle                                  | Plant     | Coniferophyta              | -100500000    | 2030         | Acmopyle
Acnemia                                   | Animal    | Arthropoda                 | -50300000     | 2030         | Acnemia
Acocephalus                               | Animal    | Arthropoda                 | -50300000     | 2030         | <>
Acoenitus                                 | Animal    | Arthropoda                 | -12700000     | 2030         | <>
Acomys                                    | Animal    | Chordata                   | -2588000      | 2030         | Acomys
Acorylus                                  | Animal    | Mollusca                   | -781000       | 2030         | <>
Acrantophis                               | Animal    | Chordata                   | -11700        | 2030         | Acrantophis
Acridotheres                              | Animal    | Chordata                   | -126000       | 2030         | Acridotheres
Acrilla                                   | Animal    | Mollusca                   | -70600000     | 2030         | <>
Acris                                     | Animal    | Chordata                   | -126000       | 2030         | Acris
Acrobates                                 | Animal    | Chordata                   | -126000       | 2030         | Acrobates
Acrobrochus                               | Animal    | Brachiopoda                | -23030000     | 2030         | Acrobrochus
Acrocephalus                              | Animal    | Chordata                   | -11700        | 2030         | Acrocephalus_(bird)
Acrochordus                               | Animal    | Chordata                   | -20440000     | 2030         | Acrochordus
Acrocyrtus                                | Animal    | Arthropoda                 | -15970000     | 2030         | <>
Acroloxus                                 | Animal    | Mollusca                   | -5333000      | 2030         | Acroloxus
Acromyrmex                                | Animal    | Arthropoda                 | -11700        | 2030         | Acromyrmex
Acropiesta                                | Animal    | Arthropoda                 | -38000000     | 2030         | <>
Acropoma                                  | Animal    | Chordata                   | -49500000     | 2030         | Acropoma
Acropora                                  | Animal    | Cnidaria                   | -126000       | 2030         | Acropora
Acroprivesa                               | Animal    | Arthropoda                 | -11700        | 2030         | <>
Acropyga                                  | Animal    | Arthropoda                 | -20440000     | 2030         | Acropyga
Acrosterigma                              | Animal    | Mollusca                   | -126000       | 2030         | Acrosterigma
Acrostichum                               | Plant     | Pteridophyta               | -48600000     | 2030         | Acrostichum
Acrotrichis                               | Animal    | Arthropoda                 | -781000       | 2030         | Acrotrichis
Acrulia                                   | Animal    | Arthropoda                 | -126000       | 2030         | Acrulia
Acsmithia                                 | Plant     | Spermatophyta              | -33900000     | 2030         | Acsmithia
Actaea                                    | Animal    | Arthropoda                 | -126000       | 2030         | Actaea_(crab)
Actaeodes                                 | Animal    | Arthropoda                 | -11700        | 2030         | Actaeodes
Actaeonema                                | Animal    | Mollusca                   | -48600000     | 2030         | <>
Actaeopyramis                             | Animal    | Mollusca                   | -126000       | 2030         | Actaeopyramis
Actenobius                                | Animal    | Arthropoda                 | -105300000    | 2030         | Actenobius
Acteocina                                 | Animal    | Mollusca                   | -126000       | 2030         | Acteocina
Acteon                                    | Animal    | Mollusca                   | -126000       | 2030         | Acteon
Actinocyclus                              | Plant     | Ochrophyta                 | -5333000      | 2030         | Actinocyclus
Actinocythereis                           | Animal    | Arthropoda                 | -55800000     | 2030         | <>
Actinomma                                 | Micro     | Radiolaria                 | -247200000    | 2030         | <>
Actinopora                                | Animal    | Bryozoa                    | -70600000     | 2030         | Actinopora
Actinopsis                                | Animal    | Cnidaria                   | -11700        | 2030         | Actinopsis_(cnidarian)
