Agmata                   | Category | F       | <>      | Agmata
Aneurophytophyta         | Category | F       | <>      | <>
Angiospermae             | Category | F       | <>      | Angiospermae
Annelida                 | Category | F       | <>      | Annelida
Anthocerophyta           | Category | F       | <>      | Anthocerophyta
Arthropoda               | Category | F       | <>      | Arthropoda
Brachiopoda              | Category | F       | <>      | Brachiopoda
Bryophyta                | Category | F       | <>      | Bryophyta
Bryozoa                  | Category | F       | <>      | Bryozoa
Calcispongea             | Category | F       | <>      | <>
Cercozoa                 | Category | F       | <>      | Cercozoa
Chaetognatha             | Category | F       | <>      | Chaetognatha
Charophyta               | Category | F       | <>      | Charophyta
Chlorophyta              | Category | F       | <>      | Chlorophyta
Chordata                 | Category | F       | <>      | Chordata
Ciliophora               | Category | F       | <>      | Ciliophora
Cladoxylophyta           | Category | F       | <>      | <>
Cnidaria                 | Category | F       | <>      | Cnidaria
Coniferophyta            | Category | F       | <>      | Coniferophyta
Ctenophora               | Category | F       | <>      | Ctenophora
Cyanobacteria            | Category | F       | <>      | Cyanobacteria
Cycadeoideophyta         | Category | F       | <>      | <>
Cycadophyta              | Category | F       | <>      | Cycadophyta
Echinodermata            | Category | F       | <>      | Echinodermata
Entoprocta               | Category | F       | <>      | Entoprocta
Equisetophyta            | Category | F       | <>      | Equisetophyta
Filicophyta              | Category | F       | <>      | Filicophyta
Foraminifera             | Category | F       | <>      | Foraminifera
Ginkgophyta              | Category | F       | <>      | Ginkgophyta
Gnetophyta               | Category | F       | <>      | Gnetophyta
Gymnospermophyta         | Category | F       | <>      | Gymnospermophyta
Haptophyta               | Category | F       | <>      | Haptophyta
Hemichordata             | Category | F       | <>      | Hemichordata
Hyolitha                 | Category | F       | <>      | Hyolitha
Isoetophyta              | Category | F       | <>      | <>
Lophotrochozoa           | Category | F       | <>      | Lophotrochozoa
Lycophyta                | Category | F       | <>      | Lycophyta
Lycopodophyta            | Category | F       | <>      | <>
Magnoliophyta            | Category | F       | <>      | Magnoliophyta
Mollusca                 | Category | F       | <>      | Mollusca
Myzozoa                  | Category | F       | <>      | Myzozoa
Nematoda                 | Category | F       | <>      | Nematoda
Nematomorpha             | Category | F       | <>      | Nematomorpha
Nemertea                 | Category | F       | <>      | Nemertea
Ochrophyta               | Category | F       | <>      | Ochrophyta
Onychophora              | Category | F       | <>      | Onychophora
Peltaspermophyta         | Category | F       | <>      | <>
Petalonamae              | Category | F       | <>      | Petalonamae
Pezizomycotina           | Category | F       | <>      | Pezizomycotina
Phaeophyta               | Category | F       | <>      | Phaeophyta
Phoronida                | Category | F       | <>      | Phoronida
Pinophyta                | Category | F       | <>      | Pinophyta
Platyhelminthes          | Category | F       | <>      | Platyhelminthes
Pogonophora              | Category | F       | <>      | Pogonophora
Porifera                 | Category | F       | <>      | Porifera
Prasinophyta             | Category | F       | <>      | <>
Priapulida               | Category | F       | <>      | Priapulida
Problematica             | Category | F       | <>      | Problematica
Progymnospermophyta      | Category | F       | <>      | Progymnospermophyta
Psilophytophyta          | Category | F       | <>      | <>
Pteridophyta             | Category | F       | <>      | Pteridophyta
Pteridospermophyta       | Category | F       | <>      | Pteridospermophyta
Radiolaria               | Category | F       | <>      | Radiolaria
Rhizopodea               | Category | F       | <>      | Rhizopodea
Rhodophyta               | Category | F       | <>      | Rhodophyta
Rotifera                 | Category | F       | <>      | Rotifera
Sarcodina                | Category | F       | <>      | Sarcodina
Sarcomastigophora        | Category | F       | <>      | Sarcomastigophora
Sipuncula                | Category | F       | <>      | Sipuncula
Spermatophyta            | Category | F       | <>      | Spermatophyta
Sphenophyta              | Category | F       | <>      | Sphenophyta
Thallophyta              | Category | F       | <>      | Thallophyta
Tracheophyta             | Category | F       | <>      | Tracheophyta
Vetulicolia              | Category | F       | <>      | Vetulicolia
Zosterophyllophyta       | Category | F       | <>      | Zosterophyllophyta
