geological-timescale     | Geologic_time_scale      |  The geologic time scale (GTS) is a system of chronological dating that classifies geological strata (stratigraphy) in time. It is used by geologists, paleontologists, and other Earth scientists to describe the timing and relationships of events in geologic history. The time scale was developed through the study of physical rock layers and relationships as well as the times when different organisms appeared, evolved and became extinct through the study of fossilized remains and imprints. The table of geologic time spans, presented here, agrees with the nomenclature, dates and standard color codes set forth by the International Commission on Stratigraphy (ICS).
precambrian              | Precambrian              |  The Precambrian (or Pre-Cambrian, sometimes abbreviated pЄ, or Cryptozoic) is the earliest part of Earth's history, set before the current Phanerozoic Eon. The Precambrian is so named because it preceded the Cambrian, the first period of the Phanerozoic eon, which is named after Cambria, the Latinised name for Wales, where rocks from this age were first studied. The Precambrian accounts for 88% of the Earth's geologic time.
hadean                   | Hadean                   |  The Hadean is a geologic eon of the Earth pre-dating the Archean. It began with the formation of the Earth about 4.6 billion years ago and ended, as defined by the International Commission on Stratigraphy (ICS), 4 billion years ago. As of 2016, the ICS describes its status as "informal". Geologist Preston Cloud coined the term in 1972, originally to label the period before the earliest-known rocks on Earth. W. Brian Harland later coined an almost synonymous term, the "Priscoan period", from priscus, the Latin word for 'ancient'. Other, older texts refer to the eon as the Pre-Archean.
archean                  | Archean                  |  The Archean Eon, is one of the four geologic eons of Earth's history, occurring 3,875 to 2,750 million years ago (4 to 2.5 Gya). During the Archean, the Earth's crust had cooled enough to allow the formation of continents and the beginning of life on Earth.
proterozoic              | Proterozoic              |  The Proterozoic is a geological eon spanning the time from the appearance of oxygen in Earth's atmosphere to just before the proliferation of complex life (such as trilobites or corals) on the Earth. The name Proterozoic combines the two forms of ultimately Greek origin: protero- meaning "former, earlier", and -zoic, a suffix related to zoe "life". The Proterozoic Eon extended from 2500 mya to 541 mya (million years ago), and is the most recent part of the Precambrian "supereon." The Proterozoic is the longest eon of the Earth's geologic time scale and it is subdivided into three geologic eras (from oldest to youngest): the Paleoproterozoic, Mesoproterozoic, and Neoproterozoic.
phanerozoic              | Phanerozoic              |  The Phanerozoic Eon is the current geologic eon in the geologic time scale, and the one during which abundant animal and plant life has existed. It covers 541 million years to the present, and it began with the Cambrian Period when animals first developed hard shells preserved in the fossil record. The time before the Phanerozoic, called the Precambrian, is now divided into the Hadean, Archaean and Proterozoic eons.
eoarchean                | Eoarchean                |  The Eoarchean is the first era of the Archean Eon of the geologic record for which the Earth has a solid crust. It spans 400 million years from the end of the Hadean Eon 4 billion years ago (4000 Mya) to the start of the Paleoarchean Era 3600 Mya. The beginnings of life on Earth have been dated to this era and evidence of cyanobacteria date to 3500 Mya, just outside this era. At that time, the atmosphere was without oxygen and the pressure values ranged from 10 to 100 bar (around 10 to 100 present-time atmospheres).
paleoarchean             | Paleoarchean             |  The Paleoarchean, also spelled Palaeoarchaean (formerly known as early Archean), is a geologic era within the Archaean eon. It spans the period of time 3,600 to 3,200 million years ago—the era is defined chronometrically and is not referenced to a specific level of a rock section on Earth. The name derives from Greek "Palaios" ancient. The oldest ascertained life form of fossilized bacteria in microbial mats, 3,480 million years old, found in the Dresser Formation in Western Australia, is from this era. The first supercontinent Vaalbara formed during this period.
mesoarchean              | Mesoarchean              |  The Mesoarchean is a geologic era within the Archean Eon, spanning 3,200 to 2,800 million years ago. The era is defined chronometrically and is not referenced to a specific level in a rock section on Earth. Fossils from Australia show that stromatolites have grown on Earth since the Mesoarchean. The Pongola glaciation occurred around 2,900 million years ago. The first supercontinent Vaalbara broke up during this era about 2,800 million years ago.
neoarchean               | Neoarchean               |  The Neoarchean is a geologic era within the Archaean Eon. The Neoarchean spans the period from 2,800 to 2,500 million years ago—the period being defined chronometrically and not referenced to a specific level in a rock section on Earth.
