#NAME                            | TAG
Ambulocetus                      | Walking-With-Beasts
Ancylotherium                    | Walking-With-Beasts
Andrewsarchus                    | Walking-With-Beasts
Apidium Parapithecidae           | Walking-With-Beasts
Australopithecus-afarensis       | Walking-With-Beasts
Basilosaurus                     | Walking-With-Beasts
Bison                            | Walking-With-Beasts
Chalicotherium                   | Walking-With-Beasts
Cynodictis                       | Walking-With-Beasts
Deinotherium                     | Walking-With-Beasts
Didelphodon                      | Walking-With-Beasts
Dinofelis                        | Walking-With-Beasts
Doedicurus                       | Walking-With-Beasts
Dorudon                          | Walking-With-Beasts
Embolotherium                    | Walking-With-Beasts
Entelodon                        | Walking-With-Beasts
Eurotamandua                     | Walking-With-Beasts
Gastornis                        | Walking-With-Beasts
Godinotia                        | Walking-With-Beasts
Gypsonictops                     | Walking-With-Beasts
Hapalodectes                     | Walking-With-Beasts
Homo-neanderthalensis            | Walking-With-Beasts
Homo-sapien                      | Walking-With-Beasts
Hyaenodon                        | Walking-With-Beasts
Hyainailouros                    | Walking-With-Beasts
Paraceratherium                  | Walking-With-Beasts
Kentisuchus                      | Walking-With-Beasts
Leptictidium                     | Walking-With-Beasts
Macrauchenia                     | Walking-With-Beasts
Megaloceros                      | Walking-With-Beasts
Megatherium                      | Walking-With-Beasts
Meniscoessus                     | Walking-With-Beasts
Mesonyx                          | Walking-With-Beasts
Propalaeotherium                 | Walking-With-Beasts
Smilodon                         | Walking-With-Beasts
Titanomyrma                      | Walking-With-Beasts
Puppigerus                       | Walking-With-Beasts
Physogaleus                      | Walking-With-Beasts
Moeritherium                     | Walking-With-Beasts
Palaeopython                     | Walking-With-Beasts
Panthera                         | Walking-With-Beasts
Phorusrhacos                     | Walking-With-Beasts
Canis                            | Walking-With-Beasts
Sciurus                          | Walking-With-Beasts
Phacochoerus                     | Walking-With-Beasts
Ceratotherium                    | Walking-With-Beasts
Saiga                            | Walking-With-Beasts
Mammuthus                        | Walking-With-Beasts
Coelodonta                       | Walking-With-Beasts
