#NAME                            | TAG
triassic                         | Walking-With-Dinosaurs
jurassic                         | Walking-With-Dinosaurs
cretaceous                       | Walking-With-Dinosaurs
Enteropia                        | Walking-With-Dinosaurs
Hybodus                          | Walking-With-Dinosaurs
Thrinaxodon                      | Walking-With-Dinosaurs
Perisphinctes                    | Walking-With-Dinosaurs
Euparkeria                       | Walking-With-Dinosaurs
Leptolepis                       | Walking-With-Dinosaurs
Mesolimulus                      | Walking-With-Dinosaurs
Postosuchus                      | Walking-With-Dinosaurs
Peteinosaurus                    | Walking-With-Dinosaurs
Placerias                        | Walking-With-Dinosaurs
Plateosaurus                     | Walking-With-Dinosaurs
Coelophysis                      | Walking-With-Dinosaurs
Cylindroteuthis                  | Walking-With-Dinosaurs
Liopleurodon                     | Walking-With-Dinosaurs
Cryptoclidus                     | Walking-With-Dinosaurs
Ophthalmosaurus                  | Walking-With-Dinosaurs
Eustreptospondylus               | Walking-With-Dinosaurs
Stegosaurus                      | Walking-With-Dinosaurs
Dryosaurus                       | Walking-With-Dinosaurs
Allosaurus                       | Walking-With-Dinosaurs
Brachiosaurus                    | Walking-With-Dinosaurs
Diplodocus                       | Walking-With-Dinosaurs
Ornitholestes                    | Walking-With-Dinosaurs
Archaeopteryx                    | Walking-With-Dinosaurs
Anurognathus                     | Walking-With-Dinosaurs
Rhamphorhynchus                  | Walking-With-Dinosaurs
Pterodactylus                    | Walking-With-Dinosaurs
Saurophthirus                    | Walking-With-Dinosaurs
Utahraptor                       | Walking-With-Dinosaurs
Polacanthus                      | Walking-With-Dinosaurs
Dakotadon                        | Walking-With-Dinosaurs
Iguanodon                        | Walking-With-Dinosaurs
Koolasuchus                      | Walking-With-Dinosaurs
Deinonychus                      | Walking-With-Dinosaurs
Leaellynasaura                   | Walking-With-Dinosaurs
Tapejara                         | Walking-With-Dinosaurs
Plesiochelys                     | Walking-With-Dinosaurs
Muttaburrasaurus                 | Walking-With-Dinosaurs
Ornithocheirus                   | Walking-With-Dinosaurs
Steropodon                       | Walking-With-Dinosaurs
Plesiopleurodon                  | Walking-With-Dinosaurs
Pteranodon                       | Walking-With-Dinosaurs
Dinilysia                        | Walking-With-Dinosaurs
Protoceratops                    | Walking-With-Dinosaurs
Deinosuchus                      | Walking-With-Dinosaurs
Velociraptor                     | Walking-With-Dinosaurs
Didelphodon                      | Walking-With-Dinosaurs
Iberomesornis                    | Walking-With-Dinosaurs
Tyrannosaurus                    | Walking-With-Dinosaurs
Thescelosaurus                   | Walking-With-Dinosaurs
Edmontosaurus                    | Walking-With-Dinosaurs
Dromaeosaurus                    | Walking-With-Dinosaurs
Ankylosaurus                     | Walking-With-Dinosaurs
Torosaurus                       | Walking-With-Dinosaurs
Triceratops                      | Walking-With-Dinosaurs
Quetzalcoatlus                   | Walking-With-Dinosaurs
Purgatorius                      | Walking-With-Dinosaurs
