#NAME                            | TAG
paleozoic                        | Walking-With-Monsters
precambrian                      | Walking-With-Monsters
cambrian                         | Walking-With-Monsters
carboniferous                    | Walking-With-Monsters
permian                          | Walking-With-Monsters
Haikouichthys                    | Walking-With-Monsters
Triarthrus                       | Walking-With-Monsters
Anomalocaris                     | Walking-With-Monsters
Cameroceras                      | Walking-With-Monsters
Pterygotus                       | Walking-With-Monsters
Brontoscorpio                    | Walking-With-Monsters
Cephalaspis                      | Walking-With-Monsters
Jaekelopterus                    | Walking-With-Monsters
Alkenopterus                     | Walking-With-Monsters
Adelophthalmus                   | Walking-With-Monsters
Panderichthys                    | Walking-With-Monsters
Eusthenopteron                   | Walking-With-Monsters
Stethacanthus                    | Walking-With-Monsters
Tiktaalik                        | Walking-With-Monsters
Hyneria                          | Walking-With-Monsters
Hynerpeton                       | Walking-With-Monsters
Ichthyostega                     | Walking-With-Monsters
Acanthostega                     | Walking-With-Monsters
Conifer                          | Walking-With-Monsters
Arthropleura                     | Walking-With-Monsters
Proterogyrinus                   | Walking-With-Monsters
Petrolacosaurus                  | Walking-With-Monsters
Arthrolycosa                     | Walking-With-Monsters
Meganeura                        | Walking-With-Monsters
Edaphosaurus                     | Walking-With-Monsters
Seymouria                        | Walking-With-Monsters
Dimetrodon                       | Walking-With-Monsters
Rhinesuchus                      | Walking-With-Monsters
Gorgonops                        | Walking-With-Monsters
Diictodon                        | Walking-With-Monsters
Scutosaurus                      | Walking-With-Monsters
Euchambersia                     | Walking-With-Monsters
Lystrosaurus                     | Walking-With-Monsters
Proterosuchus                    | Walking-With-Monsters
