Aaleniella | Arthropoda | 0 | hypersaline,marine,brackish,freshwater
Abbasites | Mollusca | 0 |
Abbasitoides | Mollusca | 0 |
Abiadisaurus | Chordata | 0 | brackish,freshwater,terrestrial
Acaeniotylopsis | Radiolaria | 0 | marine
Acanthocircus | Radiolaria | 0 | marine
Acanthodesmia | Radiolaria | 1 | marine
Acanthorhynchia | Brachiopoda | 0 |
Acanthostrophia | Mollusca | 0 |
Acanthothiris | Brachiopoda | 0 |
Acanthothyropsis | Brachiopoda | 0 |
Acastea | Radiolaria | 0 | marine
Acesta | Mollusca | 1 | marine
Achistrum | Echinodermata | 0 | marine
Acmaea | Mollusca | 1 |
Acrocoelites | Mollusca | 0 |
Acrocythere | Arthropoda | 0 | hypersaline,marine,brackish,freshwater
Acrodus | Chordata | 0 | marine
Acrosalenia | Echinodermata | 0 | marine
Acrosmilia | Cnidaria | 0 | marine
Acrostichopteris | Pteridophyta | 0 |
Acteonina | Mollusca | 0 |
Actinaraea | Cnidaria | 0 | marine
Actinastrea | Cnidaria | 0 | marine
Actinomma | Radiolaria | 1 | marine
Actinostreon | Mollusca | 0 | marine,brackish
Acuneopsis | Mollusca | 0 | freshwater
Adelocoenia | Cnidaria | 0 | marine
Adeorbisina | Mollusca | 1 |
Adiantites | Ginkgophyta | 0 |
Adiantopteris | Pteridophyta | 0 |
Advenaster | Echinodermata | 0 | marine
Aeger | Arthropoda | 0 |
Aequitriradites | Bryophyta | 0 |
Africogryphaea | Mollusca | 0 | marine,brackish
Afropollis | Angiospermae | 0 |
Afrovenator | Chordata | 0 | terrestrial
Agrilium | Arthropoda | 0 | terrestrial
Aldorfia | Myzozoa | 0 |
Algites | Phaeophyta | 0 |
Alisporites | Gymnospermophyta | 0 |
Allkaruen | Chordata | 0 | marine
Allocoeniopsis | Cnidaria | 0 | marine
Allocosmia | Mollusca | 0 |
Allognosis | Arthropoda | 0 | terrestrial
Allolimulus | Arthropoda | 0 |
Alocolytoceras | Mollusca | 0 |
Alsophilites | Pteridophyta | 0 |
Amaltheocrinus | Echinodermata | 0 | marine
Ambercyclus | Mollusca | 1 |
Amberleya | Mollusca | 0 |
Ambulocapsa | Arthropoda | 0 |
Amiodon | Mollusca | 0 |
Ammobaculites | Foraminifera | 1 |
Ammodiscus | Foraminifera | 1 |
Ammolagena | Foraminifera | 1 |
Amphitrochus | Mollusca | 0 |
Amusium | Mollusca | 1 | marine
Andemantastraea | Cnidaria | 0 | marine
Androstrobus | Cycadophyta | 0 |
Angaria | Mollusca | 1 |
Angulasina | Mollusca | 0 |
Angulobracchia | Radiolaria | 0 | marine
Anhuilong | Chordata | 0 | terrestrial
Anisicyrtis | Radiolaria | 1 | marine
Anisocardia | Mollusca | 0 |
Ankylokypha | Arthropoda | 0 |
Annea | Chordata | 0 | marine
Annulariopsis | Sphenophyta | 0 |
Anomia | Mollusca | 1 | marine
Anomoepus | Chordata | 0 | terrestrial
Anomozamites | Cycadeoideophyta | 0 |
Anoptychia | Mollusca | 0 |
Antexitus | Radiolaria | 0 | marine
Antiptychina | Brachiopoda | 0 |
Antiquicyprina | Mollusca | 0 |
